dataset,trial_id,block,cue,cue_sample,cue_end_sample,cue_duration_s,next_cue_sample,record_stop_sample,target_sample,target_s,target_status,platform_end_sample,platform_sign,click_sample,click_side,response_sample,response_s,rt_s,response_status,correctness,correctness_reason,timeout,timeout_reason,n_platforms,n_clicks,cue_platform_disagree,valid_events,event_issue,horizon_s,gap_s,retained,end_s,behavior_duration_s,behavior_event,behavior_survival_eligible,eeg_administrative_cutoff,window_status,bound_reason,behavior_status,filter_start_sample,filter_stop_sample,filter_mode,reason,epoch_start_sample,epoch_end_exclusive,saturation_fraction,PTP,max_jump,past_slopes
A1,33,1,1,74269,74321,0.203125,76422,223845,74837,2.21875,platform_onset_hypothesis,75138,1.0,,,75138,3.39453125,1.17578125,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.29453125,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,47511,90403,causal,retained,74205,75113,0.0,110.7909744652939,13.662672640256172,"[[-12.803462941128117, -30.884835077833316, -41.519839860390775], [15.359193889087404, 27.253260469207987, -3.9097881151599525], [-1.9080288126294314, -12.499669076948335, -7.6969255949970545]]"
A1,34,1,-1,76422,76474,0.203125,78674,223845,76989,2.21484375,platform_onset_hypothesis,77391,-1.0,,,77391,3.78515625,1.5703125,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.68515625,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,47511,90403,causal,retained,76358,77366,0.0,146.16506098639638,10.088925619740756,"[[-34.69190836858224, 11.945120789085124, -4.230649650910323], [16.39968217411723, -7.435119050713993, -82.49078145930423], [0.3919668744625193, -0.8910679559488233, 2.753804262492258]]"
A1,35,1,1,78674,78726,0.203125,80791,223845,79241,2.21484375,platform_onset_hypothesis,79509,1.0,,,79509,3.26171875,1.046875,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.16171875,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,47511,90403,causal,retained,78610,79484,0.0,114.8853316269295,7.495258831453764,"[[8.056984286317284, -21.613256728110926, -28.67235267883264], [3.024145088418099, -0.7029429065255455, 2.148051811758896], [0.7406350809439093, -6.995863166072933, -4.379760830695809]]"
A1,36,1,-1,80791,80843,0.203125,82931,223845,81358,2.21484375,platform_onset_hypothesis,81646,-1.0,,,81646,3.33984375,1.125,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,False,3.23984375,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,47511,90403,causal,quality,80727,81621,0.24417670682730924,1083.79606304577,12.581197794470995,
A1,37,1,-1,82931,82983,0.203125,85076,223845,83499,2.21875,platform_onset_hypothesis,83790,-1.0,,,83790,3.35546875,1.13671875,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.25546875,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,47511,90403,causal,retained,82867,83765,0.0,205.4560272647781,27.922536292131014,"[[63.65414317618232, -37.330826084194086, 18.612023962000762], [33.90552626561249, -182.8498291504848, -220.39216477914218], [-26.532008714175777, 45.373610106988004, 20.884817921904748]]"
A1,38,1,-1,85076,85128,0.203125,87204,223845,85643,2.21484375,platform_onset_hypothesis,85922,-1.0,,,85922,3.3046875,1.08984375,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,False,3.2046875,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,47511,90403,causal,block_boundary_24s_buffer,85012,85897,,,,
A1,39,1,-1,87204,87256,0.203125,89353,223845,87772,2.21875,platform_onset_hypothesis,88067,-1.0,,,88067,3.37109375,1.15234375,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,False,3.27109375,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,47511,90403,causal,block_boundary_24s_buffer,87140,88042,,,,
A1,40,1,-1,89353,89405,0.203125,91453,223845,89920,2.21484375,platform_onset_hypothesis,90170,-1.0,,,90170,3.19140625,0.9765625,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,False,3.09140625,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,47511,90403,causal,block_boundary_24s_buffer,89289,90145,,,,
A1,41,2,-1,91453,91505,0.203125,93554,223845,92021,2.21875,platform_onset_hypothesis,92268,-1.0,,,92268,3.18359375,0.96484375,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,False,3.08359375,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,90403,133255,causal,block_boundary_24s_buffer,91389,92243,,,,
A1,42,2,1,93554,93606,0.203125,95698,223845,94122,2.21875,platform_onset_hypothesis,94412,1.0,,,94412,3.3515625,1.1328125,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,False,3.2515625,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,90403,133255,causal,block_boundary_24s_buffer,93490,94387,,,,
A1,43,2,-1,95698,95751,0.20703125,97879,223845,96266,2.21875,platform_onset_hypothesis,96596,-1.0,,,96596,3.5078125,1.2890625,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,False,3.4078125,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,90403,133255,causal,block_boundary_24s_buffer,95634,96571,,,,
A1,44,2,1,97879,97931,0.203125,99995,223845,98446,2.21484375,platform_onset_hypothesis,98713,1.0,,,98713,3.2578125,1.04296875,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.1578125,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,90403,133255,causal,retained,97815,98688,0.0,164.22164739384004,10.202633950214064,"[[-1.4670012459005761, 29.922778199899874, 33.55107106665192], [6.026496287495727, -46.47424504799397, -30.75568093924602], [-2.1025970896136688, 2.9848685097581544, 8.73193822426608]]"
A1,45,2,-1,99995,100048,0.20703125,102096,223845,100563,2.21875,platform_onset_hypothesis,100811,-1.0,,,100811,3.1875,0.96875,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.0875,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,90403,133255,causal,retained,99931,100786,0.0,469.91509423544153,8.467832026832362,"[[4.708453964557066, -448.5738389540687, -176.67799917320087], [-9.969724486681603, -94.00262067003374, 12.86263112027192], [-0.41185375471321684, 5.899013540274128, 3.0779708842804845]]"
A1,46,2,-1,102096,102148,0.203125,104233,223845,102663,2.21484375,platform_onset_hypothesis,102949,-1.0,,,102949,3.33203125,1.1171875,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,False,3.23203125,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,90403,133255,causal,quality,102032,102924,0.11352657004830918,1012.652179088296,15.495293902745061,
A1,47,2,-1,104233,104285,0.203125,106421,223845,104800,2.21484375,platform_onset_hypothesis,105138,-1.0,,,105138,3.53515625,1.3203125,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.43515625,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,90403,133255,causal,retained,104169,105113,0.0,264.7895759860892,11.756649675719956,"[[38.41821767605698, -28.926020154866478, 5.274610263718046], [33.94466117556641, -89.05459558440057, -107.33346484068437], [-7.456165612155611, 46.11616997860847, 45.601957304956926]]"
