dataset,trial_id,block,setting,horizon_s,model,stage,channel,n_samples,MSE
A1,51,2,stimulus,2.0,N0,retrieval,0,273,921.9350862066526
A1,51,2,stimulus,2.0,N0,retrieval,1,273,192173.1777902646
A1,51,2,stimulus,2.0,N0,retrieval,2,273,200164.50307402227
A1,52,2,stimulus,2.0,N0,encoding,0,205,1627.007134236918
A1,52,2,stimulus,2.0,N0,encoding,1,205,44056.15571586761
A1,52,2,stimulus,2.0,N0,encoding,2,205,39664.20586774257
A1,52,2,stimulus,2.0,N0,maintenance,0,363,17073.200776421163
A1,52,2,stimulus,2.0,N0,maintenance,1,363,1027908.5810635685
A1,52,2,stimulus,2.0,N0,maintenance,2,363,680744.1495670103
A1,52,2,stimulus,2.0,N0,retrieval,0,289,55657.5233180197
A1,52,2,stimulus,2.0,N0,retrieval,1,289,1344756.3454200132
A1,52,2,stimulus,2.0,N0,retrieval,2,289,873032.9647391638
A1,53,2,stimulus,2.0,N0,encoding,0,205,2021.9884934244146
A1,53,2,stimulus,2.0,N0,encoding,1,205,77881.59424662501
A1,53,2,stimulus,2.0,N0,encoding,2,205,68384.57727614045
A1,53,2,stimulus,2.0,N0,maintenance,0,362,8696.988594350903
A1,53,2,stimulus,2.0,N0,maintenance,1,362,534834.448894049
A1,53,2,stimulus,2.0,N0,maintenance,2,362,268292.14699277974
A1,53,2,stimulus,2.0,N0,retrieval,0,239,23760.439825648886
A1,53,2,stimulus,2.0,N0,retrieval,1,239,515153.5348765759
A1,53,2,stimulus,2.0,N0,retrieval,2,239,200425.41182963245
A1,54,2,stimulus,2.0,N0,encoding,0,205,1325.3848770172744
A1,54,2,stimulus,2.0,N0,encoding,1,205,12059.496548429714
A1,54,2,stimulus,2.0,N0,encoding,2,205,92262.40060862117
A1,54,2,stimulus,2.0,N0,maintenance,0,363,1341.5630639133599
A1,54,2,stimulus,2.0,N0,maintenance,1,363,51903.0405042971
A1,54,2,stimulus,2.0,N0,maintenance,2,363,393014.7481098015
A1,54,2,stimulus,2.0,N0,retrieval,0,273,4352.554994250805
A1,54,2,stimulus,2.0,N0,retrieval,1,273,107789.25489706884
A1,54,2,stimulus,2.0,N0,retrieval,2,273,433339.03006520955
A1,55,2,stimulus,2.0,N0,encoding,0,205,188.06098782581742
A1,55,2,stimulus,2.0,N0,encoding,1,205,1732.387053908627
A1,55,2,stimulus,2.0,N0,encoding,2,205,1600.68059109185
A1,55,2,stimulus,2.0,N0,maintenance,0,362,561.4650139557251
A1,55,2,stimulus,2.0,N0,maintenance,1,362,3395.0991073750815
A1,55,2,stimulus,2.0,N0,maintenance,2,362,2282.370306204921
A1,55,2,stimulus,2.0,N0,retrieval,0,250,89.20531276663858
A1,55,2,stimulus,2.0,N0,retrieval,1,250,2320.4750297202813
A1,55,2,stimulus,2.0,N0,retrieval,2,250,7778.647304968085
A1,56,2,stimulus,2.0,N0,encoding,0,205,216.7301849668538
A1,56,2,stimulus,2.0,N0,encoding,1,205,7327.810976963193
A1,56,2,stimulus,2.0,N0,encoding,2,205,1950.4964065785773
A1,56,2,stimulus,2.0,N0,maintenance,0,363,498.229280913511
A1,56,2,stimulus,2.0,N0,maintenance,1,363,6599.906830762022
A1,56,2,stimulus,2.0,N0,maintenance,2,363,2328.3515511518067
A1,56,2,stimulus,2.0,N0,retrieval,0,282,556.9060729093052
A1,56,2,stimulus,2.0,N0,retrieval,1,282,5501.053761851461
