dataset,trial_id,block,cue,model,stage,channel,n_samples,MSE,zero_MSE,baseline_MSE,normalized_MSE
B1,7,0,1,M1,maintenance,0,362,53376.457950504,52248.72402775717,66265.89003405103,0.8288716918122319
B1,7,0,1,M1,maintenance,1,362,12013.084916698164,13874.098804777897,21707.61591574986,0.1832004494404497
B1,7,0,1,M1,maintenance,2,362,9404.455951001735,11524.1090515989,5775.4353707174205,0.1371221208380676
B1,8,0,-1,M1,encoding,0,205,187.7431781366129,404.3892687378161,469.2132132722871,0.0029154239839706366
B1,8,0,-1,M1,encoding,1,205,1078.3204356142326,483.8386946713542,2595.6241034958607,0.01644446782947121
B1,8,0,-1,M1,encoding,2,205,11986.372876164693,5832.370946073686,10922.748283460109,0.17476788434109464
B1,8,0,-1,M1,maintenance,0,362,1946.862075892492,1493.0253373302037,4537.382663321704,0.030232408153918096
B1,8,0,-1,M1,maintenance,1,362,725.4733469206323,979.9225804539432,3832.707101284795,0.011063523161164587
B1,8,0,-1,M1,maintenance,2,362,2604.432699004083,3850.76799868295,1307.4139916826593,0.03797405582291153
B1,9,0,-1,M1,encoding,0,205,396.937556370248,237.8174624912947,195.24384048423659,0.006163959103421811
B1,9,0,-1,M1,encoding,1,205,600.5892798443257,562.1584043512469,1950.823142402535,0.009159031735774833
B1,9,0,-1,M1,encoding,2,205,1697.1743935194472,178.07045134721875,884.0296394052865,0.024745732606324674
B1,9,0,-1,M1,maintenance,0,363,78.94242429337017,118.22292973843048,558.6368297739149,0.0012258801593856403
B1,9,0,-1,M1,maintenance,1,363,377.2820691819017,138.55100990051568,625.6327354397044,0.0057535799604540375
B1,9,0,-1,M1,maintenance,2,363,969.3988724559047,90.92085247425307,1129.6030337871514,0.014134366732296315
B1,10,0,-1,M1,encoding,0,205,232.290086897823,117.53840318104422,104.19762000126944,0.0036071834795922586
B1,10,0,-1,M1,encoding,1,205,445.8250194201525,169.7900200033769,1317.4297210796024,0.0067988651121612025
B1,10,0,-1,M1,encoding,2,205,974.2375087663743,230.88321897973842,505.9010076317719,0.014204916700982704
B1,10,0,-1,M1,maintenance,0,363,2818.6442786346174,3412.5579671713913,1562.8912442227943,0.04377012903357486
B1,10,0,-1,M1,maintenance,1,363,10636.52639914862,8922.488777141045,5440.830608898684,0.16220782840722808
B1,10,0,-1,M1,maintenance,2,363,42334.401525895475,31898.454596599713,42707.8322277143,0.6172587709364287
