dataset,trial_id,block,cue,model,stage,channel,n_samples,MSE,zero_MSE,baseline_MSE,normalized_MSE
A1,49,2,-1,M3,maintenance,2,363,2920.7589167737633,3249.6244872244692,3929.001945214733,0.04805198549150931
A1,50,2,-1,M3,encoding,0,205,106.6179844925031,117.8493057944677,115.37947998985786,0.04834478202943742
A1,50,2,-1,M3,encoding,1,205,4662.086544101515,3565.8337264177776,3151.3257557238826,0.10859276138479156
A1,50,2,-1,M3,encoding,2,205,5117.775506416252,6066.316953589332,5473.773983338588,0.08419704651788072
A1,50,2,-1,M3,maintenance,0,362,198.6271007063976,355.00374912651125,104.72968591888653,0.09006532935787319
A1,50,2,-1,M3,maintenance,1,362,4886.9731470758725,17663.2456295118,3589.738558664792,0.1138309861548419
A1,50,2,-1,M3,maintenance,2,362,59909.16310682197,101689.2076115166,56583.07284728773,0.9856185732704402
A1,51,2,1,M3,encoding,0,205,273.94724976600315,296.8482216116605,318.74441518027663,0.12421844345062186
A1,51,2,1,M3,encoding,1,205,48225.49075661275,50131.98624609536,51444.70201587615,1.1233037312495002
A1,51,2,1,M3,encoding,2,205,47084.4719007953,53569.075400536334,55245.85166986477,0.7746282473568643
A1,51,2,1,M3,maintenance,0,362,3254.5755303399774,2838.8661438054924,4126.583907721955,1.4757523823167986
A1,51,2,1,M3,maintenance,1,362,436152.48040547397,414399.5952852573,518475.57345292566,10.15918554578967
A1,51,2,1,M3,maintenance,2,362,594155.7673686044,600049.773819011,734721.7770998387,9.774981478043099
A1,52,2,1,M3,encoding,0,205,1592.3684166172354,1487.819614001276,1428.4856626817025,0.7220423869233219
A1,52,2,1,M3,encoding,1,205,44001.497701814595,40354.96031189357,39152.29420907144,1.0249153668226207
A1,52,2,1,M3,encoding,2,205,41867.65285297092,37376.643656630375,35733.36647209595,0.6888017480322355
A1,52,2,1,M3,maintenance,0,363,17793.945297747323,16875.754327362694,19666.18745423801,8.06847372849949
A1,52,2,1,M3,maintenance,1,363,1053589.1662812447,1019016.2526307546,1167219.8563775583,24.540976631232912
A1,52,2,1,M3,maintenance,2,363,676658.6911352501,676314.4672201934,807675.5655023672,11.132309969988956
A1,53,2,1,M3,encoding,0,205,1997.7458057631018,1862.8082066970399,1799.0023613877145,0.9058564180289027
A1,53,2,1,M3,encoding,1,205,77938.78703421596,73154.5844938825,71297.3325398008,1.8154077628041583
A1,53,2,1,M3,encoding,2,205,72810.02389686444,65708.42242655871,63346.09418576211,1.197862032308083
A1,53,2,1,M3,maintenance,0,362,9205.38551290309,8573.055631848136,10502.88212234003,4.17408337098638
A1,53,2,1,M3,maintenance,1,362,553840.7616418432,528875.4277429796,633855.3417831517,12.90046787103022
A1,53,2,1,M3,maintenance,2,362,266917.13336827484,265735.6674257278,347523.7193850712,4.391289587918107
A1,54,2,-1,M3,encoding,0,205,1170.7982454270239,1201.540784382956,1145.581092258738,0.5308859124006161
A1,54,2,-1,M3,encoding,1,205,11359.548172712717,9067.062670303487,8431.810309776542,0.264594981772517
A1,54,2,-1,M3,encoding,2,205,88342.80171739378,83429.9690738325,80797.96503396897,1.4534054837680748
A1,54,2,-1,M3,maintenance,0,363,1512.013969449696,1310.5503011329547,1964.3330347442143,0.68560652432564
A1,54,2,-1,M3,maintenance,1,363,77439.04182895357,49054.0913022781,84418.11322455652,1.803767328566207
A1,54,2,-1,M3,maintenance,2,363,470751.73318322375,384157.2465051301,482673.56336850923,7.7447526816110965
A1,55,2,1,M3,encoding,0,205,217.03455795002643,212.35511267234662,224.27370303094384,0.09841199350084433
A1,55,2,1,M3,encoding,1,205,1390.0914127329675,1053.2669530917603,908.8619239117317,0.03237903536495825
A1,55,2,1,M3,encoding,2,205,2461.0199134092727,1258.3062884761641,951.898932565649,0.04048841295812358
A1,55,2,1,M3,maintenance,0,362,554.0562598004096,539.2043478428888,724.9460088514708,0.2512308710354547
A1,55,2,1,M3,maintenance,1,362,4978.100231359443,2983.783894194281,15334.6243592302,0.11595358547291282
A1,55,2,1,M3,maintenance,2,362,3291.467026491258,2613.3502467237304,1797.3726967850116,0.05415083213284942
A1,56,2,-1,M3,encoding,0,205,248.7228838344331,237.7551441550386,258.6577716876516,0.11278072514636835
A1,56,2,-1,M3,encoding,1,205,6237.67581828347,5216.763624832774,4730.951108768823,0.14529254987502266
A1,56,2,-1,M3,encoding,2,205,1925.9264036451502,1000.4140423726617,741.4805160449216,0.031685116862673196
A1,56,2,-1,M3,maintenance,0,363,681.0668057419656,448.8506805171944,1047.8840524964412,0.3088224414277474
A1,56,2,-1,M3,maintenance,1,363,17118.036083297662,5865.666462403459,20269.315706782727,0.3987259331600512
A1,56,2,-1,M3,maintenance,2,363,12080.741414154103,1801.6870713494477,13906.601855633899,0.19875095059226122
A1,57,2,-1,M3,encoding,0,205,2083.0552759143447,1929.662281686082,1980.7205167333013,0.9445390826763354
A1,57,2,-1,M3,encoding,1,205,1328.8556492555144,958.0996047332442,1117.5605889012293,0.030952686757179635
A1,57,2,-1,M3,encoding,2,205,1407.8699651532374,695.0281638194796,747.9851841776582,0.02316211267933114
A1,57,2,-1,M3,maintenance,0,362,165.59267267050342,233.13609116243376,233.86692683414282,0.07508622212315767
A1,57,2,-1,M3,maintenance,1,362,22503.510894874424,7573.711675725865,26236.817227996875,0.5241683880834334
A1,57,2,-1,M3,maintenance,2,362,22600.097323171696,5810.668731692617,25005.800497219876,0.3718141687227322
A1,64,3,1,M0,encoding,0,205,1391.6548740962996,1391.4418155212704,1391.4702315304366,0.794576117607249
A1,64,3,1,M0,encoding,1,205,1969.9008456769632,1924.6788054985143,2103.7319448504354,0.03733273119831299
A1,64,3,1,M0,encoding,2,205,31594.931997441978,31179.804590867214,37131.92764630227,0.456235063756346
A1,64,3,1,M0,maintenance,0,362,372.70047339206917,372.79369826513323,406.15660522398116,0.2127962188689621
A1,64,3,1,M0,maintenance,1,362,129671.00040151297,129414.92993306072,124334.50657856639,2.4574701883243266
A1,64,3,1,M0,maintenance,2,362,33201.74989135827,33425.13087565394,34262.472195213246,0.47943773006799006
A1,65,3,-1,M0,encoding,0,205,541.2310150860475,544.2908092717241,544.3111281305784,0.3090200355709339
A1,65,3,-1,M0,encoding,1,205,326.0219992862326,312.8846735934234,176.64653231813338,0.006178631625444475
A1,65,3,-1,M0,encoding,2,205,75.84569445333476,75.78797804152204,281.1812159699534,0.0010952220200177395
A1,65,3,-1,M0,maintenance,0,363,1081.8335979352566,1078.29682534498,1111.4601628342953,0.6176812628940611
A1,65,3,-1,M0,maintenance,1,363,7931.544240452594,8002.722443231832,6742.365115233031,0.15031528605420044
A1,65,3,-1,M0,maintenance,2,363,7352.009701026754,7343.01995708226,4805.949389181934,0.10616400804270713
A1,66,3,1,M0,encoding,0,205,678.0838986993568,678.0166266394393,678.037608763487,0.38715724830152026
A1,66,3,1,M0,encoding,1,205,18489.19288554027,18386.014511512152,19877.226410189407,0.35039939679422183
A1,66,3,1,M0,encoding,2,205,34569.524974506654,34207.92206811091,39973.324167774976,0.4991885860696763
A1,66,3,1,M0,maintenance,0,362,2500.5641239252936,2500.8594510782914,2603.481281828158,1.4277164334345178
A1,66,3,1,M0,maintenance,1,362,85174.61505669734,85487.93722312534,90191.081310593,1.6141934330398815
A1,66,3,1,M0,maintenance,2,362,102490.88466715554,103251.34620326922,115877.5330869481,1.479982147274437
A1,67,3,-1,M0,encoding,0,205,62.33026529503331,62.75792227066396,62.75991736953221,0.03558794721982938
A1,67,3,-1,M0,encoding,1,205,3624.857353525586,3581.5581881704074,2969.072670734072,0.06869676994574499
A1,67,3,-1,M0,encoding,2,205,2519.3034253669744,2524.1933914863093,1475.9248015941216,0.036379080005202756
A1,67,3,-1,M0,maintenance,0,363,1205.2886281022784,1207.4522443361639,1156.7325256826994,0.6881688675402183
A1,67,3,-1,M0,maintenance,1,363,55083.805886734735,55292.23797831069,51674.31183346428,1.043925090474703
A1,67,3,-1,M0,maintenance,2,363,38994.95298424552,38968.857998481704,31849.556012916284,0.5630923612174055
A1,68,3,-1,M0,encoding,0,205,1897.3455446550167,1889.4328721909937,1889.4005101681391,1.0833041184944483
A1,68,3,-1,M0,encoding,1,205,861.195567930554,894.8218584305878,1155.0430952521067,0.01632101570862625
A1,68,3,-1,M0,encoding,2,205,821.2268547671956,817.1646977570134,1395.531052710463,0.011858626138947522
A1,68,3,-1,M0,maintenance,0,362,6071.790128109004,6083.56587242975,5917.530301693321,3.4667355511198594
A1,68,3,-1,M0,maintenance,1,362,3508.4039424789353,3447.877736053306,4337.6942768629915,0.06648979394425125
A1,68,3,-1,M0,maintenance,2,362,1350.560134837355,1355.8644920729823,3020.8182996458204,0.01950226983473764
A1,69,3,1,M0,encoding,0,205,581.5216481911165,581.594266410141,581.6010750612991,0.33202428427113895
A1,69,3,1,M0,encoding,1,205,708.5013835989745,695.8225185894363,699.3315968612271,0.013427219834734173
A1,69,3,1,M0,encoding,2,205,650.0448991186094,632.6465153547741,469.8406731111317,0.009386735696024847
