dataset,trial_id,block,cue,model,stage,channel,n_samples,MSE,zero_MSE,baseline_MSE,normalized_MSE
B2,85,4,-1,M0,retrieval,1,374,866195.9842952675,892119.0287685879,810163.7381051067,6.381580647376185
B2,85,4,-1,M0,retrieval,2,374,881160.0176147465,947292.2944835032,671110.878284523,4.464655256846312
B2,86,4,1,M0,encoding,0,205,13273.133336789213,1329.6982412450081,11936.138777707642,0.16461868669463
B2,86,4,1,M0,encoding,1,205,16881.89703689901,2872.0603277673754,15190.36140547676,0.1243750714329659
B2,86,4,1,M0,encoding,2,205,25190.868565388704,2515.566645924061,13490.729402294692,0.12763691215749173
B2,86,4,1,M0,maintenance,0,363,12523.202864749255,13424.2046201029,60210.70079891553,0.15531775026258737
B2,86,4,1,M0,maintenance,1,363,20599.916623968584,20939.438263854383,50729.846038114796,0.15176707309724613
B2,86,4,1,M0,maintenance,2,363,22224.993734054955,23559.144008061478,91501.58173912638,0.11260943883578246
B2,86,4,1,M0,retrieval,0,304,34989.879852247745,20548.258633173416,85385.6324306072,0.4339584273530145
B2,86,4,1,M0,retrieval,1,304,35027.506382397354,28702.586434401615,45673.323262384765,0.2580603707573365
B2,86,4,1,M0,retrieval,2,304,55697.88567678586,34922.94968444403,116465.83302207707,0.28220964763611095
B2,87,4,-1,M0,encoding,0,205,15281.138764547144,27856.042214896657,8759.006272532732,0.18952276985312563
B2,87,4,-1,M0,encoding,1,205,9319.195232375427,14687.554319279623,2761.4720396772673,0.06865789846905475
B2,87,4,-1,M0,encoding,2,205,7033.271977052228,11886.38061547281,2285.6063223547403,0.03563613200491926
B2,87,4,-1,M0,maintenance,0,362,40391.68059425354,39124.78681248931,4745.692379802841,0.5009537118402402
B2,87,4,-1,M0,maintenance,1,362,44290.08832728127,43742.390130801105,17884.038871469984,0.32630117856054847
B2,87,4,-1,M0,maintenance,2,362,5875.978596331542,5342.134639409488,11548.879320081474,0.029772366204543273
B2,87,4,-1,M0,retrieval,0,275,92680.02886380773,78707.3775401624,151166.75872599275,1.1494546349574366
B2,87,4,-1,M0,retrieval,1,275,182335.23641226228,173393.4767247783,200542.38922747754,1.3433299589468115
B2,87,4,-1,M0,retrieval,2,275,300217.5108626874,265173.8566965864,415872.2463777967,1.5211399306322555
B2,88,4,1,M0,encoding,0,205,73480.65647002448,107882.29041702441,67051.61816216448,0.9113363708949828
B2,88,4,1,M0,encoding,1,205,145788.570314178,195925.02433970917,141873.46927774072,1.0740773864041149
B2,88,4,1,M0,encoding,2,205,169235.65050374132,244523.5274686289,182305.7217335995,0.8574819800751352
B2,88,4,1,M0,maintenance,0,363,588414.9103166595,584348.4406591511,393159.3616907937,7.297756099487697
B2,88,4,1,M0,maintenance,1,363,557410.5057253123,556972.3670065724,439467.6096303493,4.10664579434054
B2,88,4,1,M0,maintenance,2,363,861460.4945627888,856949.223905544,586696.3547371518,4.364841854747828
B2,88,4,1,M0,retrieval,0,277,679638.5642578637,754872.2012415635,517394.5585881786,8.429148192541067
B2,88,4,1,M0,retrieval,1,277,460164.59182684275,487390.69364163216,427193.29430782766,3.3901998012599024
B2,88,4,1,M0,retrieval,2,277,744466.8510329259,832788.5278087078,574401.5704915236,3.7720593008853163
B2,89,4,-1,M0,encoding,0,205,255499.59943309717,200943.27093955936,282302.32525793975,3.1688078046426713
B2,89,4,-1,M0,encoding,1,205,281290.9332578083,251469.1317704343,329413.92544035084,2.0723725444431427
B2,89,4,-1,M0,encoding,2,205,480084.6953650201,432978.64579808945,537303.7327846868,2.432489690913351
B2,89,4,-1,M0,maintenance,0,362,124452.12162591841,125823.1070039259,227443.29647654077,1.5435047850860293
B2,89,4,-1,M0,maintenance,1,362,98031.13575492763,97327.04910942048,87142.99594081327,0.7222310078970564
B2,89,4,-1,M0,maintenance,2,362,156089.728713931,156999.93340184347,257707.48756535002,0.7908743178438833
B2,89,4,-1,M0,retrieval,0,302,9430.425544886977,15032.135476967776,2454.9691500819868,0.11695989400392158
B2,89,4,-1,M0,retrieval,1,302,209473.1157345794,224623.6315603437,184396.80708652642,1.543264579556984
B2,89,4,-1,M0,retrieval,2,302,54434.489386760535,74309.22836961642,14080.318388058986,0.2758082803759275
B2,90,4,1,M0,encoding,0,205,7195.028130273224,3417.3153806588616,4203.988957006524,0.0892356048479969
B2,90,4,1,M0,encoding,1,205,12801.786156287379,1349.7284160307972,10682.646403068411,0.09431541160200486
B2,90,4,1,M0,encoding,2,205,13504.757749143644,4523.669232116179,4436.924616316776,0.0684258096961356
B2,90,4,1,M0,maintenance,0,363,15848.650982155157,16885.69590609734,61744.71606994738,0.19656128243152687
B2,90,4,1,M0,maintenance,1,363,42030.73724736187,42558.77337419694,81006.37917802627,0.30965571796196023
B2,90,4,1,M0,maintenance,2,363,16930.784758200887,18199.206424559783,73983.56827427367,0.08578477877134447
B2,90,4,1,M0,retrieval,0,300,62967.63255847616,42551.63363425075,126294.97122225711,0.7809496607192095
B2,90,4,1,M0,retrieval,1,300,90406.83069307257,79401.90917305322,106475.77782819174,0.6660599813458167
B2,90,4,1,M0,retrieval,2,300,56819.89615232691,35189.213505443025,117037.25180663941,0.28789464226560074
B2,91,4,-1,M0,encoding,0,205,229236.32308169376,178675.7883103247,254761.47225138944,2.8430801899518046
B2,91,4,-1,M0,encoding,1,205,468715.8357982683,430985.34123185364,530846.792259946,3.4531999236668893
B2,91,4,-1,M0,encoding,2,205,391190.08821116324,350098.86989020504,443787.0569712449,1.9820791330113956
B2,91,4,-1,M0,maintenance,0,362,114478.57985183774,115396.410427915,207163.31956081578,1.4198089472696096
B2,91,4,-1,M0,maintenance,1,362,170627.69318044308,170164.32360964737,193273.44729606158,1.2570762326872935
B2,91,4,-1,M0,maintenance,2,362,162058.3909863481,163203.7397156657,276758.4640296274,0.8211162930336136
B2,91,4,-1,M0,retrieval,0,269,19131.788865171253,32171.059953061413,1484.1530322019546,0.23728006622024134
B2,91,4,-1,M0,retrieval,1,269,116771.39147126215,129778.55975192098,99938.0045767138,0.8602972831679363
B2,91,4,-1,M0,retrieval,2,269,22151.696971295645,37109.63747794727,1676.1178875226208,0.11223805932397826
B2,92,4,-1,M0,encoding,0,205,6916.557296557239,1718.1775332120628,11752.881038791114,0.08578189864570743
B2,92,4,-1,M0,encoding,1,205,12838.188466045702,9715.572475813131,22817.431038952676,0.09458360064892425
B2,92,4,-1,M0,encoding,2,205,5640.600994548412,3639.1383961768297,12514.172681882164,0.02857975666015019
B2,92,4,-1,M0,maintenance,0,363,32686.381584141505,33884.99181322195,101122.32628265664,0.40538952428564484
B2,92,4,-1,M0,maintenance,1,363,47939.31962163486,48170.65561671575,80937.24625933668,0.35318639187032064
B2,92,4,-1,M0,maintenance,2,363,48446.858566455536,49904.354509140954,139045.4892323515,0.2454701954838171
B2,92,4,-1,M0,retrieval,0,346,4635.261438827102,3575.5398492712807,13783.201620587079,0.05748835871564908
B2,92,4,-1,M0,retrieval,1,346,29013.59200037989,34159.801008810355,19765.058457177034,0.21375367766352785
B2,92,4,-1,M0,retrieval,2,346,9104.960212286493,13554.566954479431,3105.74797087737,0.04613294709535298
B2,93,4,1,M0,encoding,0,205,3520.5641103320704,7684.410437327035,2021.4850958299817,0.04366343843324244
B2,93,4,1,M0,encoding,1,205,3120.039164061573,2414.741271146045,1887.4826772739107,0.022986462543612942
B2,93,4,1,M0,encoding,2,205,6358.278252171386,6874.747619755,2384.8396603557294,0.03221607864130294
B2,93,4,1,M0,maintenance,0,362,3261.5372877246828,2979.3858826782775,7190.977587817053,0.04045088460180284
B2,93,4,1,M0,maintenance,1,362,5033.214869374907,5157.496443957218,23200.02191516652,0.03708152333518554
B2,93,4,1,M0,maintenance,2,362,1196.2115744374594,1042.923953835636,16791.699326131602,0.006060956225146853
B2,93,4,1,M0,retrieval,0,271,2600.6217263860513,535.8189362912121,17604.00855096387,0.03225394654934986
B2,93,4,1,M0,retrieval,1,271,24484.018069793703,18571.991814111865,32572.729256369235,0.1803826601797581
B2,93,4,1,M0,retrieval,2,271,5821.764179055081,167.04232806607737,26109.688105244397,0.029497672983957276
B2,94,4,-1,M0,encoding,0,205,32078.25285202194,48870.72947829302,23968.297245770416,0.3978472695156035
B2,94,4,-1,M0,encoding,1,205,38753.367732656436,49218.712337688805,25448.679749266877,0.2855101455412326
B2,94,4,-1,M0,encoding,2,205,65459.9282898385,80722.61378514799,48076.892822618756,0.3316718951265306
B2,94,4,-1,M0,maintenance,0,363,43620.68092387341,42815.03013951017,6851.765202148261,0.5410010601272675
B2,94,4,-1,M0,maintenance,1,363,38907.87749707009,38723.627334171266,14322.212685783423,0.28664847513440783
B2,94,4,-1,M0,maintenance,2,363,45510.07473223101,44446.15857318508,7541.693182230837,0.23059012021759642
B2,94,4,-1,M0,retrieval,0,378,21296.348955220685,30713.752246159882,968.5753559372689,0.26412580266047686
B2,94,4,-1,M0,retrieval,1,378,22365.873158135022,26585.99095999761,14189.89773528995,0.16477751674610802
B2,94,4,-1,M0,retrieval,2,378,7232.965376534249,12061.567790076157,2347.348272193727,0.03664793708904953
B2,95,4,1,M0,encoding,0,205,8181.707739108969,14073.95038650905,5811.273883699951,0.10147279837823256
B2,95,4,1,M0,encoding,1,205,5836.558185322732,10915.936518244795,4183.070068840679,0.04300004553016272
B2,95,4,1,M0,encoding,2,205,13010.923144333417,19943.606223204224,9607.857742401124,0.06592365206267094
B2,95,4,1,M0,maintenance,0,362,85222.89704107425,86525.32219524954,151539.22984635213,1.0569683157124832
B2,95,4,1,M0,maintenance,1,362,196178.9214756496,196707.81486798968,248814.86091268327,1.4453214184901853
B2,95,4,1,M0,maintenance,2,362,161850.18045953967,163721.87896981282,266372.5263502295,0.8200613334298373
B2,95,4,1,M0,retrieval,0,265,436936.50783518795,371850.6215948117,574869.3054478362,5.419060613924788
B2,95,4,1,M0,retrieval,1,265,499796.4221168502,470021.89304830297,531030.253494793,3.6821818997506717
B2,95,4,1,M0,retrieval,2,265,628779.2836967851,541636.040547029,787805.7158211964,3.185894364512902
B2,96,4,1,M0,encoding,0,205,114798.16877656526,70067.34793188806,117606.27460936595,1.4237726164150843
B2,96,4,1,M0,encoding,1,205,218907.0562205162,157850.73924271791,216712.806033432,1.6127678480147962
B2,96,4,1,M0,encoding,2,205,188129.00547180977,111130.17393142021,163245.50399792366,0.9532106955086697
B2,96,4,1,M0,maintenance,0,363,137618.37560600793,139339.08508638025,257411.24496518474,1.7067979114259009
B2,96,4,1,M0,maintenance,1,363,116026.56507584317,115820.48292143122,167456.62473530092,0.8548098763952904
B2,96,4,1,M0,maintenance,2,363,167499.3016146681,169137.2374485775,317932.3726455116,0.848684259978501
B2,96,4,1,M0,retrieval,0,410,26332.184029177613,17186.831416720346,78046.21365948599,0.3265822351584328
B2,96,4,1,M0,retrieval,1,410,8947.27548377074,8758.390470563774,14072.746449446782,0.0659178305016378
B2,96,4,1,M0,retrieval,2,410,21182.519708586213,13619.298727387075,70547.43282456414,0.10732743892101823
B2,97,4,-1,M0,encoding,0,205,8714.502163475952,12360.44956391532,7017.831660804484,0.10808072705581265
B2,97,4,-1,M0,encoding,1,205,14937.570428985617,19578.201237757108,9898.261184997138,0.1100505106197064
B2,97,4,-1,M0,encoding,2,205,14639.279886825194,19036.464221263715,10608.889150749408,0.07417419832561498
B2,97,4,-1,M0,maintenance,0,363,23170.224595295836,22242.626671905095,1239.5247220712529,0.28736635476457034
B2,97,4,-1,M0,maintenance,1,363,44744.955870096834,44343.72381045602,17727.213682129423,0.3296523530764555
B2,97,4,-1,M0,maintenance,2,363,35897.59793123133,34495.85058646574,2440.5689752214084,0.18188569171087762
B2,97,4,-1,M0,retrieval,0,410,70712.48644474742,53816.02165932671,136527.6797049194,0.8770044236037201
B2,97,4,-1,M0,retrieval,1,410,73207.07989897141,64677.580938485225,85594.51337407989,0.5393431657551389
B2,97,4,-1,M0,retrieval,2,410,74023.04978024977,53768.527323905226,136444.0805764141,0.3750594576723991
B2,98,4,-1,M0,encoding,0,205,6153.996462901839,2994.2156580920746,6564.477398185711,0.07632431543789191
B2,98,4,-1,M0,encoding,1,205,3210.1727045535213,3146.447389936235,4557.448998776237,0.023650509096715917
B2,98,4,-1,M0,encoding,2,205,6081.139734790237,5857.680941217055,6259.789944984506,0.030811875189301435
B2,98,4,-1,M0,maintenance,0,363,1603.3185116048878,1395.5546607995805,11397.381479152336,0.019884994826506578
B2,98,4,-1,M0,maintenance,1,363,5044.667152114444,4901.508118064833,801.5441573656542,0.037165896464620415
B2,98,4,-1,M0,maintenance,2,363,3376.688246405291,2977.2513580893906,11859.185481517432,0.01710897978650211
B2,98,4,-1,M0,retrieval,0,327,9180.87349409617,13954.27225498191,1625.0099752151878,0.11386485006661176
B2,98,4,-1,M0,retrieval,1,327,20917.557399002224,24821.72525361188,12897.310069818779,0.1541072481379114
B2,98,4,-1,M0,retrieval,2,327,14122.090677074933,20537.291901972883,795.5540541195163,0.07155370774735859
B2,99,4,1,M0,encoding,0,205,22632.45421390575,41734.61118209139,17552.03503814774,0.28069671228593013
B2,99,4,1,M0,encoding,1,205,14929.273568514947,29903.05358378617,11738.852154749919,0.10998938463300878
B2,99,4,1,M0,encoding,2,205,34363.109115768195,63886.21762889385,35119.25685622172,0.1741107547873044
B2,99,4,1,M0,maintenance,0,363,48224.096188328454,47254.794473276765,6994.190613624219,0.5980944499031526
B2,99,4,1,M0,maintenance,1,363,22927.522391095685,22965.19869733825,5878.177065017756,0.16891539078461623
B2,99,4,1,M0,maintenance,2,363,70887.76775299669,69824.5943173434,11902.338410042064,0.3591736331855336
B2,99,4,1,M0,retrieval,0,299,121799.3451987649,101873.30845407379,197679.56159185187,1.5106039951631187
B2,99,4,1,M0,retrieval,1,299,318023.5203393616,299685.213537347,345447.55159521237,2.3429948644466436
B2,99,4,1,M0,retrieval,2,299,130293.66276516825,108733.42877456994,206604.34043395406,0.6601709959252854
B2,84,4,-1,M1,encoding,0,205,3014.5071236198164,3288.75865297267,5832.047763170811,0.03738711810770846
B2,84,4,-1,M1,encoding,1,205,3517.0074621167887,9602.377679466934,3875.348277612032,0.0259110722790784
B2,84,4,-1,M1,encoding,2,205,1375.9681613239115,8346.392920691465,5928.226155248909,0.0069717456102211025
B2,84,4,-1,M1,maintenance,0,363,4696.127427377261,3052.7518363213417,8660.04206114866,0.058243242950234884
B2,84,4,-1,M1,maintenance,1,363,12963.005927976772,17017.16617249756,2518.367983864699,0.09550317625762665
B2,84,4,-1,M1,maintenance,2,363,5599.712916652174,8749.83930649066,5085.336175343036,0.02837258524034843
B2,84,4,-1,M1,retrieval,0,329,6610.689458494083,4636.8635740248665,15951.628352376252,0.08198840388252875
B2,84,4,-1,M1,retrieval,1,329,16792.960756082353,17437.44849347532,19178.256938741986,0.12371984552705163
B2,84,4,-1,M1,retrieval,2,329,16969.15089029128,11621.578489764635,30621.974975178855,0.08597917201422658
B2,85,4,-1,M1,encoding,0,205,150138.8014518163,223769.43111318018,156928.44567552826,1.8620812199934205
B2,85,4,-1,M1,encoding,1,205,307436.23021606077,350117.03711581114,272162.1284888832,2.264994450009276
B2,85,4,-1,M1,encoding,2,205,268866.748832873,333380.65510400507,257155.35903101505,1.362292114453032
B2,85,4,-1,M1,maintenance,0,362,137992.26282048164,177050.63997024306,81219.97556757422,1.7114350095892996
B2,85,4,-1,M1,maintenance,1,362,165625.1069989069,179765.60237490304,121593.05142181137,1.2202203620278422
B2,85,4,-1,M1,maintenance,2,362,195231.8748615194,231738.59145686252,109270.1239573276,0.9891994631848315
B2,85,4,-1,M1,retrieval,0,374,341502.09111388214,433085.9941914429,259222.74092344104,4.235444963610699
B2,85,4,-1,M1,retrieval,1,374,853299.6467115325,892119.0287685879,810163.7381051067,6.286568641042131
