iteration,model,n,BA,AUC
2035,early_lateral,275,0.5228835978835978,0.5101587301587301
2035,lateral_3windows,275,0.5194444444444445,0.5186772486772486
2036,all_9windows,275,0.5482804232804233,0.5360317460317461
2036,early_lateral,275,0.5461640211640211,0.5303703703703704
2036,lateral_3windows,275,0.4740740740740741,0.46878306878306875
2037,all_9windows,275,0.5279100529100529,0.5215873015873016
2037,early_lateral,275,0.5243386243386243,0.5282010582010582
2037,lateral_3windows,275,0.5387566137566138,0.558888888888889
2038,all_9windows,275,0.5212962962962963,0.5238095238095237
2038,early_lateral,275,0.48478835978835977,0.43597883597883597
2038,lateral_3windows,275,0.5097883597883598,0.5160317460317461
2039,all_9windows,275,0.45357142857142857,0.4296296296296297
2039,early_lateral,275,0.5097883597883598,0.5186772486772486
2039,lateral_3windows,275,0.4841269841269841,0.49439153439153444
2040,all_9windows,275,0.4328042328042328,0.4038624338624339
2040,early_lateral,275,0.49523809523809526,0.4873015873015873
2040,lateral_3windows,275,0.47738095238095235,0.43603174603174605
2041,all_9windows,275,0.5238095238095237,0.5222222222222223
2041,early_lateral,275,0.5097883597883598,0.5310582010582011
2041,lateral_3windows,275,0.5423280423280423,0.5563492063492063
2042,all_9windows,275,0.5091269841269841,0.523015873015873
2042,early_lateral,275,0.501058201058201,0.5073015873015873
2042,lateral_3windows,275,0.5157407407407407,0.5286772486772486
2043,all_9windows,275,0.4899470899470899,0.5138095238095238
2043,early_lateral,275,0.49378306878306877,0.5191534391534391
2043,lateral_3windows,275,0.49034391534391536,0.5192592592592593
2044,all_9windows,275,0.528968253968254,0.5412169312169313
2044,early_lateral,275,0.501058201058201,0.5060846560846561
2044,lateral_3windows,275,0.5231481481481481,0.513015873015873
2045,all_9windows,275,0.48796296296296293,0.4982010582010582
2045,early_lateral,275,0.5170634920634921,0.5174074074074074
2045,lateral_3windows,275,0.5023809523809524,0.5287830687830688
2046,all_9windows,275,0.5162698412698412,0.466931216931217
2046,early_lateral,275,0.5447089947089947,0.5148148148148148
2046,lateral_3windows,275,0.5193121693121693,0.5031746031746032
2047,all_9windows,275,0.5202380952380952,0.4992063492063492
2047,early_lateral,275,0.47698412698412695,0.44772486772486775
2047,lateral_3windows,275,0.5025132275132276,0.5090476190476191
2048,all_9windows,275,0.4978835978835978,0.4650793650793651
2048,early_lateral,275,0.4985449735449735,0.45746031746031746
2048,lateral_3windows,275,0.5568783068783069,0.5424338624338624
2049,all_9windows,275,0.5096560846560847,0.5257671957671958
2049,early_lateral,275,0.5316137566137566,0.5475661375661375
2049,lateral_3windows,275,0.5386243386243386,0.5506878306878307
2050,all_9windows,275,0.5076719576719577,0.44502645502645505
2050,early_lateral,275,0.4433862433862434,0.42534391534391536
2050,lateral_3windows,275,0.4392857142857143,0.4183597883597884
2051,all_9windows,275,0.46335978835978836,0.48211640211640217
2051,early_lateral,275,0.49523809523809526,0.5111640211640212
2051,lateral_3windows,275,0.4988095238095238,0.5167724867724868
2052,all_9windows,275,0.5357142857142857,0.5283068783068783
2052,early_lateral,275,0.46812169312169316,0.44666666666666666
2052,lateral_3windows,275,0.4802910052910053,0.4596825396825397
2053,all_9windows,275,0.5318783068783068,0.544867724867725
2053,early_lateral,275,0.5301587301587302,0.5106878306878307
2053,lateral_3windows,275,0.5085978835978836,0.5108994708994709
2054,all_9windows,275,0.47764550264550265,0.4961375661375661
2054,early_lateral,275,0.5207671957671958,0.5157142857142857
2054,lateral_3windows,275,0.4988095238095238,0.511957671957672
2055,all_9windows,275,0.5171957671957672,0.5032275132275132
2055,early_lateral,275,0.49523809523809526,0.5240740740740741
2055,lateral_3windows,275,0.5386243386243386,0.5257142857142857
2056,all_9windows,275,0.5317460317460317,0.51
2056,early_lateral,275,0.5044973544973546,0.46989417989417986
2056,lateral_3windows,275,0.5091269841269841,0.4617460317460318
2057,all_9windows,275,0.45357142857142857,0.448994708994709
2057,early_lateral,275,0.5083333333333333,0.506031746031746
2057,lateral_3windows,275,0.4621693121693121,0.455978835978836
2058,all_9windows,275,0.49656084656084654,0.5109523809523809
2058,early_lateral,275,0.4843915343915344,0.5124338624338625
2058,lateral_3windows,275,0.4804232804232804,0.4997354497354497
2059,all_9windows,275,0.4992063492063492,0.48767195767195765
2059,early_lateral,275,0.4719576719576719,0.49862433862433864
2059,lateral_3windows,275,0.48664021164021165,0.4873015873015873
2060,all_9windows,275,0.5173280423280424,0.4462962962962963
2060,early_lateral,275,0.5167989417989418,0.4968783068783069
2060,lateral_3windows,275,0.48703703703703705,0.47190476190476194
2061,all_9windows,275,0.4902116402116402,0.48873015873015874
2061,early_lateral,275,0.5083333333333333,0.533015873015873
2061,lateral_3windows,275,0.523015873015873,0.5360846560846562
2062,all_9windows,275,0.5396825396825397,0.5201587301587302
2062,early_lateral,275,0.5170634920634921,0.5076719576719577
2062,lateral_3windows,275,0.4809523809523809,0.48507936507936505
2063,all_9windows,275,0.4562169312169312,0.42312169312169323
2063,early_lateral,275,0.4835978835978836,0.4712698412698413
2063,lateral_3windows,275,0.49431216931216926,0.4708994708994709
2064,all_9windows,275,0.4802910052910053,0.4786243386243386
2064,early_lateral,275,0.4719576719576719,0.4513227513227514
2064,lateral_3windows,275,0.44285714285714284,0.40174603174603174
2065,all_9windows,275,0.4126984126984127,0.40380952380952384
2065,early_lateral,275,0.4658730158730159,0.445925925925926
2065,lateral_3windows,275,0.43267195767195765,0.3955026455026455
2066,all_9windows,275,0.43412698412698414,0.36904761904761907
2066,early_lateral,275,0.4358465608465608,0.38132275132275134
2066,lateral_3windows,275,0.4752645502645503,0.4143915343915344
2067,all_9windows,275,0.5128306878306879,0.4984126984126984
