dataset,origin,held_block,method,alpha,gate,level,weight,contrast_normalized,RMSE,normalized_RMSE,contrast_RMSE,positive_mean_error,latency_error_ms,latency_pairs,objective
A1,semisynthetic,0,gated,0.25,2.0,2.0,0.25,0.3905518028837339,72.12089589999731,0.7460103307218513,37.7567772983509,5.167962227820264,82.03125,2,0.9947430446814116
A1,semisynthetic,1,shrink,0.0,0.0,0.0,0.5,1.0350749253097522e-16,1.2210829454974246e-14,1.2630742874748178e-16,1.0006635010634383e-14,7.401486830834377e-17,0.0,2,1.7882677637850988e-16
A1,semisynthetic,1,shrink,0.05,0.0,0.0,0.5,0.03873973157400735,4.847947191102912,0.05014661343602206,3.7451815785705787,0.22478678134955174,0.0,2,0.07184164808017642
A1,semisynthetic,1,shrink,0.1,0.0,0.0,0.5,0.0774794631480145,9.695894382205816,0.10029322687204405,7.4903631571411395,0.44992875995444015,1.953125,2,0.14368697028029556
A1,semisynthetic,1,shrink,0.15,0.0,0.0,0.5,0.1162191947220218,14.543841573308733,0.15043984030806615,11.235544735711713,0.6759941409600095,1.953125,2,0.21554184404964769
A1,semisynthetic,1,shrink,0.25,0.0,0.0,0.5,0.19369865787003626,24.23973595551455,0.25073306718011024,18.72590789285285,1.128258196919344,60.546875,2,0.35925297036576626
A1,semisynthetic,1,gated,0.0,0.0,0.0,0.5,1.0350749253097522e-16,1.2210829454974246e-14,1.2630742874748178e-16,1.0006635010634383e-14,7.401486830834377e-17,0.0,2,1.7882677637850988e-16
A1,semisynthetic,1,gated,0.0,1.0,0.0,0.5,1.0350749253097522e-16,1.2210829454974246e-14,1.2630742874748178e-16,1.0006635010634383e-14,7.401486830834377e-17,0.0,2,1.7882677637850988e-16
A1,semisynthetic,1,gated,0.0,2.0,0.0,0.5,1.0350749253097522e-16,1.2210829454974246e-14,1.2630742874748178e-16,1.0006635010634383e-14,7.401486830834377e-17,0.0,2,1.7882677637850988e-16
A1,semisynthetic,1,gated,0.05,0.0,0.0,0.5,0.017360128276583748,2.088319409675559,0.02160133805915441,1.6782984801760241,0.006896632468981497,0.0,2,0.030352740177997523
A1,semisynthetic,1,gated,0.05,1.0,0.0,0.5,0.006411970962771967,0.6052402044682083,0.006260535722234502,0.6198802768219324,0.0011735591604835616,0.0,2,0.00947866036587726
A1,semisynthetic,1,gated,0.05,2.0,0.0,0.5,1.0350749253097522e-16,1.2210829454974246e-14,1.2630742874748178e-16,1.0006635010634383e-14,7.401486830834377e-17,0.0,2,1.7882677637850988e-16
A1,semisynthetic,1,gated,0.1,0.0,0.0,0.5,0.034720256553167496,4.176638819351123,0.043202676118308865,3.356596960352048,0.013797313525053164,0.0,2,0.060705522234118715
A1,semisynthetic,1,gated,0.1,1.0,0.0,0.5,0.012823941925543883,1.210480408936419,0.01252107144446903,1.2397605536438598,0.002347118320967049,0.0,2,0.01895732073175452
A1,semisynthetic,1,gated,0.1,2.0,0.0,0.5,1.0350749253097522e-16,1.2210829454974246e-14,1.2630742874748178e-16,1.0006635010634383e-14,7.401486830834377e-17,0.0,2,1.7882677637850988e-16
A1,semisynthetic,1,gated,0.15,0.0,0.0,0.5,0.05208038482975117,6.264958229026686,0.06480401417746331,5.034895440528065,0.020697994581125423,0.0,2,0.09105830429023987
A1,semisynthetic,1,gated,0.15,1.0,0.0,0.5,0.01923591288831583,1.815720613404629,0.01878160716670355,1.8596408304657903,0.0035206774814499444,0.0,2,0.02843598109763178
A1,semisynthetic,1,gated,0.15,2.0,0.0,0.5,1.0350749253097522e-16,1.2210829454974246e-14,1.2630742874748178e-16,1.0006635010634383e-14,7.401486830834377e-17,0.0,2,1.7882677637850988e-16
A1,semisynthetic,1,gated,0.25,0.0,0.0,0.5,0.08680064138291864,10.441597048377814,0.10800669029577224,8.39149240088011,0.03449935669326935,0.0,2,0.15176386840248224
A1,semisynthetic,1,gated,0.25,1.0,0.0,0.5,0.0320598548138597,3.0262010223410507,0.031302678611172606,3.099401384109649,0.005867795802415736,0.0,2,0.0473933018293863
A1,semisynthetic,1,gated,0.25,2.0,0.0,0.5,1.0350749253097522e-16,1.2210829454974246e-14,1.2630742874748178e-16,1.0006635010634383e-14,7.401486830834377e-17,0.0,2,1.7882677637850988e-16
A1,semisynthetic,1,shrink,0.0,0.0,1.0,0.25,0.3098807829637971,42.307822316348954,0.4376272940661291,29.95786890500101,2.740130400681773,78.125,1,0.6209112822397277
A1,semisynthetic,1,shrink,0.05,0.0,1.0,0.25,0.3158919411038133,40.60690384249153,0.42003318715191745,30.539000415653202,2.845195698019088,78.125,1,0.6074095378614796
A1,semisynthetic,1,shrink,0.1,0.0,1.0,0.25,0.32528062640981986,39.53217905004707,0.4089163563383044,31.446655936907366,2.950260995356403,78.125,1,0.602073833166825
A1,semisynthetic,1,shrink,0.15,0.0,1.0,0.25,0.3377653061519865,39.13527119449455,0.4048107866987175,32.65361816108777,3.0553262926937177,78.125,1,0.6052973868642767
A1,semisynthetic,1,shrink,0.25,0.0,1.0,0.25,0.37069621020743876,40.42070242165552,0.41810714086803097,35.83722863599631,3.2654568873683494,78.125,1,0.6372327599932269
A1,semisynthetic,1,gated,0.0,0.0,1.0,0.25,0.3098807829637971,42.307822316348954,0.4376272940661291,29.95786890500101,2.740130400681773,78.125,1,0.6209112822397277
A1,semisynthetic,1,gated,0.0,1.0,1.0,0.25,0.3098807829637971,42.307822316348954,0.4376272940661291,29.95786890500101,2.740130400681773,78.125,1,0.6209112822397277
A1,semisynthetic,1,gated,0.0,2.0,1.0,0.25,0.3098807829637971,42.307822316348954,0.4376272940661291,29.95786890500101,2.740130400681773,78.125,1,0.6209112822397277
A1,semisynthetic,1,gated,0.05,0.0,1.0,0.25,0.3134832103415729,41.75649749883175,0.43192445296413456,30.30613524824115,2.7399107557174323,78.125,1,0.6170073828441333
