dataset,origin,held_block,family,seed,level,method,n,RMSE,normalized_RMSE,contrast_RMSE,positive_mean_error,latency_error_ms,latency_pairs,objective
A1,semisynthetic,1,asymmetric_burst,20260928,2.0,uncorrected,12,33.84902637342341,0.6270569616592673,42.68172193005431,4.675923609715717,53.90625,5,1.1090207767364095
A1,semisynthetic,1,asymmetric_burst,20260928,2.0,V7,12,31.010528403063283,0.5744734724523957,38.6512957969335,4.377580768802955,32.03125,5,1.0135784081643102
A1,semisynthetic,1,asymmetric_burst,20260928,2.0,shrink,12,33.84902637342341,0.6270569616592673,42.68172193005431,4.675923609715717,53.90625,5,1.1090207767364095
A1,semisynthetic,1,asymmetric_burst,20260928,2.0,gated,12,33.84902637342341,0.6270569616592673,42.68172193005431,4.675923609715717,53.90625,5,1.1090207767364095
A1,semisynthetic,1,asymmetric_burst,20260929,0.0,uncorrected,12,0.0,0.0,0.0,0.0,0.0,5,0.0
A1,semisynthetic,1,asymmetric_burst,20260929,0.0,V7,12,6.177472142359287,0.11443835546667185,1.1894816912400343,0.3554725847051882,12.5,5,0.13204116448026806
A1,semisynthetic,1,asymmetric_burst,20260929,0.0,shrink,12,0.0,0.0,0.0,0.0,0.0,5,0.0
A1,semisynthetic,1,asymmetric_burst,20260929,0.0,gated,12,0.0,0.0,0.0,0.0,0.0,5,0.0
A1,semisynthetic,1,asymmetric_burst,20260929,0.5,uncorrected,12,7.050675314434028,0.13061454091885755,3.9969147165589067,0.7243332835317645,29.6875,5,0.1810545390521259
A1,semisynthetic,1,asymmetric_burst,20260929,0.5,V7,12,7.701906453870908,0.1426786698875364,3.5964059647963738,0.695320698730951,35.15625,5,0.18887147218751382
A1,semisynthetic,1,asymmetric_burst,20260929,0.5,shrink,12,7.050675314434028,0.13061454091885755,3.9969147165589067,0.7243332835317645,29.6875,5,0.1810545390521259
A1,semisynthetic,1,asymmetric_burst,20260929,0.5,gated,12,7.050675314434028,0.13061454091885755,3.9969147165589067,0.7243332835317645,29.6875,5,0.1810545390521259
A1,semisynthetic,1,asymmetric_burst,20260929,1.0,uncorrected,12,14.101350628868056,0.2612290818377151,7.993829433117814,1.4977910562424472,30.46875,5,0.36301911470582987
A1,semisynthetic,1,asymmetric_burst,20260929,1.0,V7,12,12.681313095015927,0.23492272928281357,7.378895491862407,1.3759568320911846,35.15625,5,0.3287599099812674
A1,semisynthetic,1,asymmetric_burst,20260929,1.0,shrink,12,14.101350628868056,0.2612290818377151,7.993829433117814,1.4977910562424472,30.46875,5,0.36301911470582987
A1,semisynthetic,1,asymmetric_burst,20260929,1.0,gated,12,14.101350628868056,0.2612290818377151,7.993829433117814,1.4977910562424472,30.46875,5,0.36301911470582987
A1,semisynthetic,1,asymmetric_burst,20260929,2.0,uncorrected,12,28.202701257736116,0.5224581636754302,15.987658866235629,2.9559443091444386,30.46875,5,0.725303934715697
A1,semisynthetic,1,asymmetric_burst,20260929,2.0,V7,12,24.45244828478438,0.45298431208721657,14.709383878474066,2.7039324794947794,33.59375,5,0.6393214432324091
A1,semisynthetic,1,asymmetric_burst,20260929,2.0,shrink,12,28.202701257736116,0.5224581636754302,15.987658866235629,2.9559443091444386,30.46875,5,0.725303934715697
A1,semisynthetic,1,asymmetric_burst,20260929,2.0,gated,12,28.202701257736116,0.5224581636754302,15.987658866235629,2.9559443091444386,30.46875,5,0.725303934715697
A1,semisynthetic,1,direction_step,20260927,0.0,uncorrected,12,0.0,0.0,0.0,0.0,0.0,5,0.0
