dataset,trial_id,block,gap_s,model,stage,MSE,method
A2,8,0,0.05,M1,encoding,1455.683320669356,frozen_main_fit_common_trial_rescore
A2,8,0,0.05,M1,maintenance,3708.751340126105,frozen_main_fit_common_trial_rescore
A2,8,0,0.05,M1,retrieval,10797.525716506076,frozen_main_fit_common_trial_rescore
A2,8,0,0.05,M2,encoding,1410.6236137316805,frozen_main_fit_common_trial_rescore
A2,8,0,0.05,M2,maintenance,3417.0893999108002,frozen_main_fit_common_trial_rescore
A2,8,0,0.05,M2,retrieval,1895.0911322969266,frozen_main_fit_common_trial_rescore
A2,8,0,0.05,M3,encoding,2026.0607337102385,frozen_main_fit_common_trial_rescore
A2,8,0,0.05,M3,maintenance,11376.544117616462,frozen_main_fit_common_trial_rescore
A2,8,0,0.05,M3,retrieval,3002.2614990013167,frozen_main_fit_common_trial_rescore
A2,8,0,0.05,M2_no_feedback,encoding,1410.6236137316805,frozen_main_fit_common_trial_rescore
A2,8,0,0.05,M2_no_feedback,maintenance,3417.0893999108002,frozen_main_fit_common_trial_rescore
A2,8,0,0.05,M2_no_feedback,retrieval,1895.0911322969266,frozen_main_fit_common_trial_rescore
A2,8,0,0.05,M2_no_direct_memory,encoding,1360.961099993015,frozen_main_fit_common_trial_rescore
A2,8,0,0.05,M2_no_direct_memory,maintenance,4259.665146840419,frozen_main_fit_common_trial_rescore
A2,8,0,0.05,M2_no_direct_memory,retrieval,5952.144067613843,frozen_main_fit_common_trial_rescore
A2,9,0,0.05,M0,encoding,26624.05047877161,frozen_main_fit_common_trial_rescore
A2,9,0,0.05,M0,maintenance,70227.96425423151,frozen_main_fit_common_trial_rescore
A2,9,0,0.05,M0,retrieval,15558.427873936327,frozen_main_fit_common_trial_rescore
A2,9,0,0.05,M1,encoding,16489.999726518756,frozen_main_fit_common_trial_rescore
A2,9,0,0.05,M1,maintenance,80946.4697227732,frozen_main_fit_common_trial_rescore
A2,9,0,0.05,M1,retrieval,21145.37794755836,frozen_main_fit_common_trial_rescore
A2,9,0,0.05,M2,encoding,16243.547417747775,frozen_main_fit_common_trial_rescore
A2,9,0,0.05,M2,maintenance,83616.94483437629,frozen_main_fit_common_trial_rescore
A2,9,0,0.05,M2,retrieval,30844.33722753518,frozen_main_fit_common_trial_rescore
A2,9,0,0.05,M3,encoding,21513.32565436557,frozen_main_fit_common_trial_rescore
A2,9,0,0.05,M3,maintenance,67493.88171784041,frozen_main_fit_common_trial_rescore
A2,9,0,0.05,M3,retrieval,24381.398516289915,frozen_main_fit_common_trial_rescore
A2,9,0,0.05,M2_no_feedback,encoding,16243.547417747775,frozen_main_fit_common_trial_rescore
A2,9,0,0.05,M2_no_feedback,maintenance,83616.94483437629,frozen_main_fit_common_trial_rescore
A2,9,0,0.05,M2_no_feedback,retrieval,30844.33722753518,frozen_main_fit_common_trial_rescore
A2,9,0,0.05,M2_no_direct_memory,encoding,17186.785144801335,frozen_main_fit_common_trial_rescore
A2,9,0,0.05,M2_no_direct_memory,maintenance,80240.04833485646,frozen_main_fit_common_trial_rescore
A2,9,0,0.05,M2_no_direct_memory,retrieval,28402.284002905162,frozen_main_fit_common_trial_rescore
A2,10,0,0.05,M0,encoding,62069.52574043325,frozen_main_fit_common_trial_rescore
A2,10,0,0.05,M0,maintenance,59054.71668256082,frozen_main_fit_common_trial_rescore
A2,10,0,0.05,M0,retrieval,23112.251365113392,frozen_main_fit_common_trial_rescore
A2,10,0,0.05,M1,encoding,45958.77508939511,frozen_main_fit_common_trial_rescore
A2,10,0,0.05,M1,maintenance,61412.8440568641,frozen_main_fit_common_trial_rescore
A2,10,0,0.05,M1,retrieval,28190.510625863768,frozen_main_fit_common_trial_rescore
A2,10,0,0.05,M2,encoding,45389.50097933403,frozen_main_fit_common_trial_rescore
A2,10,0,0.05,M2,maintenance,65416.65061047681,frozen_main_fit_common_trial_rescore
A2,10,0,0.05,M2,retrieval,44737.89720831738,frozen_main_fit_common_trial_rescore
A2,10,0,0.05,M3,encoding,54197.575751213255,frozen_main_fit_common_trial_rescore
