dataset,trial_id,block,cue,model,stage,channel,n_samples,MSE,zero_MSE,baseline_MSE,normalized_MSE
B2,13,0,1,M1,maintenance,2,362,39370.51660601772,60275.4302696095,29498.052740905176,0.20181772000639941
B2,13,0,1,M1,retrieval,0,329,114522.26794137074,52593.08931634111,194440.32402931424,0.9910256234421453
B2,13,0,1,M1,retrieval,1,329,212543.5562426267,122059.60277814462,318826.0048683023,1.0250944670342381
B2,13,0,1,M1,retrieval,2,329,239751.64965983934,136748.6753479252,334136.8135044627,1.2289940664564731
B2,15,0,1,M1,encoding,0,205,12792.04701419803,34312.080133130396,37842.79124335984,0.1106967805932459
B2,15,0,1,M1,encoding,1,205,31704.725006369634,12065.280511507828,11649.000350541122,0.15291142557985227
B2,15,0,1,M1,encoding,2,205,170865.97662077504,253625.522769678,264419.4862383136,0.875878317100893
B2,15,0,1,M1,maintenance,0,362,16596.69098370723,37165.697050617666,29087.473977765865,0.14362050564371862
B2,15,0,1,M1,maintenance,1,362,433919.3645917747,513890.98269250744,327734.7622847847,2.0927867569613565
B2,15,0,1,M1,maintenance,2,362,127011.98319500173,105159.65586476208,170772.78385155517,0.6510777879401349
B2,15,0,1,M1,retrieval,0,347,313149.2945165707,402560.66813149484,176255.8655882461,2.709857047082139
B2,15,0,1,M1,retrieval,1,347,856031.1284275622,1007813.6612835577,619961.1128351861,4.128625627955779
B2,15,0,1,M1,retrieval,2,347,35116.094566930034,51956.875524358045,8038.84523960657,0.18000907155847898
B2,17,0,-1,M1,encoding,0,205,4363.349837815724,10490.980679064585,12098.647410198097,0.03775852129937965
B2,17,0,-1,M1,encoding,1,205,12426.030128339591,10540.803185654659,21815.136112988104,0.0599305617961003
B2,17,0,-1,M1,encoding,2,205,27665.813225119797,33362.98060880725,36895.798155807664,0.14181808694791545
B2,17,0,-1,M1,maintenance,0,362,6591.853600349671,12721.79490734727,13051.048258680676,0.05704301828243807
B2,17,0,-1,M1,maintenance,1,362,30525.589918814094,28010.151243277935,9087.893015513524,0.14722447427675414
B2,17,0,-1,M1,maintenance,2,362,20481.68137172811,25220.1325604961,21688.87711727568,0.1049914147102632
B2,17,0,-1,M1,retrieval,0,304,12996.204947976032,2107.4470500633784,34316.28812714906,0.11246347406902114
B2,17,0,-1,M1,retrieval,1,304,12284.964984312739,13787.855000306865,19615.224126180332,0.05925020666706385
B2,17,0,-1,M1,retrieval,2,304,16121.275402710497,1149.6154052444547,37757.30033807192,0.08263948065322008
B2,2,0,-1,M2,encoding,0,205,10662.20399587535,12526.900900381486,14660.776387364182,0.09226605054389239
