dataset,trial_id,block,cue,cue_sample,cue_end_sample,cue_duration_s,target_sample,target_status,platform_end_sample,platform_sign,click_sample,click_side,response_sample,response_status,target_s,response_s,rt_s,correctness,correctness_reason,timeout,timeout_reason,cue_platform_disagree,valid_events,n_platforms,n_clicks,end_s,gap_s,filter_mode,pretarget_only,filter_start_sample,filter_stop_sample,retained,reason,epoch_start_sample,epoch_end_exclusive,saturation_fraction,PTP,max_jump
A1,37,1,-1,82931,82983,0.203125,83499,platform_onset_hypothesis,83790,-1.0,,,83790,platform_end_proxy,2.21875,3.35546875,1.13671875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.25546875,0.1,causal,False,47511,90403,True,retained,82867,83765,0.0,205.45602726555586,27.92253629213019
A1,38,1,-1,85076,85128,0.203125,85643,platform_onset_hypothesis,85922,-1.0,,,85922,platform_end_proxy,2.21484375,3.3046875,1.08984375,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.2046875,0.1,causal,False,47511,90403,False,block_boundary_24s_buffer,85012,85897,,,
A1,39,1,-1,87204,87256,0.203125,87772,platform_onset_hypothesis,88067,-1.0,,,88067,platform_end_proxy,2.21875,3.37109375,1.15234375,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.27109375,0.1,causal,False,47511,90403,False,block_boundary_24s_buffer,87140,88042,,,
A1,40,1,-1,89353,89405,0.203125,89920,platform_onset_hypothesis,90170,-1.0,,,90170,platform_end_proxy,2.21484375,3.19140625,0.9765625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.09140625,0.1,causal,False,47511,90403,False,block_boundary_24s_buffer,89289,90145,,,
A1,41,2,-1,91453,91505,0.203125,92021,platform_onset_hypothesis,92268,-1.0,,,92268,platform_end_proxy,2.21875,3.18359375,0.96484375,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.08359375,0.1,causal,False,90403,133255,False,block_boundary_24s_buffer,91389,92243,,,
A1,42,2,1,93554,93606,0.203125,94122,platform_onset_hypothesis,94412,1.0,,,94412,platform_end_proxy,2.21875,3.3515625,1.1328125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.2515625,0.1,causal,False,90403,133255,False,block_boundary_24s_buffer,93490,94387,,,
A1,43,2,-1,95698,95751,0.20703125,96266,platform_onset_hypothesis,96596,-1.0,,,96596,platform_end_proxy,2.21875,3.5078125,1.2890625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.4078125,0.1,causal,False,90403,133255,False,block_boundary_24s_buffer,95634,96571,,,
A1,44,2,1,97879,97931,0.203125,98446,platform_onset_hypothesis,98713,1.0,,,98713,platform_end_proxy,2.21484375,3.2578125,1.04296875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.1578125,0.1,causal,False,90403,133255,True,retained,97815,98688,0.0,164.22164739384274,10.202633950214079
A1,45,2,-1,99995,100048,0.20703125,100563,platform_onset_hypothesis,100811,-1.0,,,100811,platform_end_proxy,2.21875,3.1875,0.96875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.0875,0.1,causal,False,90403,133255,True,retained,99931,100786,0.0,469.9150942354724,8.467832026832546
A1,46,2,-1,102096,102148,0.203125,102663,platform_onset_hypothesis,102949,-1.0,,,102949,platform_end_proxy,2.21484375,3.33203125,1.1171875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.23203125,0.1,causal,False,90403,133255,False,quality,102032,102924,0.11352657004830918,1012.652179088439,15.495293902744379
