dataset,trial_id,block,gap_s,model,stage,MSE,method
B2,25,1,0.05,M3,retrieval,683941.1629312305,frozen_main_fit_common_trial_rescore
B2,25,1,0.05,M2_no_feedback,encoding,104301.84046166549,frozen_main_fit_common_trial_rescore
B2,25,1,0.05,M2_no_feedback,maintenance,769768.9527110897,frozen_main_fit_common_trial_rescore
B2,25,1,0.05,M2_no_feedback,retrieval,661706.805272002,frozen_main_fit_common_trial_rescore
B2,25,1,0.05,M2_no_direct_memory,encoding,103627.51361848401,frozen_main_fit_common_trial_rescore
B2,25,1,0.05,M2_no_direct_memory,maintenance,780305.9874355582,frozen_main_fit_common_trial_rescore
B2,25,1,0.05,M2_no_direct_memory,retrieval,654772.8029663365,frozen_main_fit_common_trial_rescore
B2,26,1,0.05,M0,encoding,22405.584361006317,frozen_main_fit_common_trial_rescore
B2,26,1,0.05,M0,maintenance,216380.73457256993,frozen_main_fit_common_trial_rescore
B2,26,1,0.05,M0,retrieval,392130.9541937206,frozen_main_fit_common_trial_rescore
B2,26,1,0.05,M1,encoding,10697.882316509304,frozen_main_fit_common_trial_rescore
B2,26,1,0.05,M1,maintenance,176971.0516934515,frozen_main_fit_common_trial_rescore
B2,26,1,0.05,M1,retrieval,339388.7630631238,frozen_main_fit_common_trial_rescore
B2,26,1,0.05,M2,encoding,10623.965517633864,frozen_main_fit_common_trial_rescore
B2,26,1,0.05,M2,maintenance,180054.45714542436,frozen_main_fit_common_trial_rescore
