dataset,fold,seed,level,stage,n,candidate,RMSE,normalized_RMSE,contrast_RMSE,positive_mean_error,latency_error_ms,latency_pairs,objective
VisualCogA_Task-1,3,2053,1.0,V4,18,保守双分量,82.1186122752642,0.51870789393444,47.35802218011292,9.570038132189195,20.5078125,4,0.7287278129216557
VisualCogA_Task-1,3,2053,2.0,预处理,18,保守双分量,81.06672307940605,0.5120635630779098,37.324720085547874,14.126966851985017,113.28125,4,0.7191796141881827
VisualCogA_Task-1,3,2053,2.0,V3,18,保守双分量,155.76705852266954,0.9839133983392271,94.23445336388552,20.22147979517716,63.4765625,4,1.4092629950899953
VisualCogA_Task-1,3,2053,2.0,V4,18,保守双分量,92.66072868677163,0.5852979013629005,61.16975464886919,12.954546125752055,72.265625,4,0.860317680865055
VisualCogA_Task-1,4,2027,0.0,预处理,18,保守双分量,7.547014642035182e-15,7.398016518425298e-17,8.111246939010637e-15,1.5543122344752192e-15,0.0,4,1.289719718440583e-16
VisualCogA_Task-1,4,2027,0.0,V3,18,保守双分量,85.98799016228672,0.842903587418035,24.794952297119394,11.403328765815628,23.4375,4,1.0762127252162415
VisualCogA_Task-1,4,2027,0.0,V4,18,保守双分量,29.92511819551607,0.2933431684273991,9.55443742204437,4.097702206700723,10.7421875,4,0.38034023238344145
VisualCogA_Task-1,4,2027,0.5,预处理,18,保守双分量,20.978293078352134,0.2056412582766163,16.144769784851057,6.5641248322340475,34.1796875,4,0.3491167195696452
VisualCogA_Task-1,4,2027,0.5,V3,18,保守双分量,88.78663321718844,0.8703374914600653,32.75680647137624,11.754311423302108,59.5703125,4,1.146110492609604
VisualCogA_Task-1,4,2027,0.5,V4,18,保守双分量,36.054936025370615,0.3534311577995422,18.717458481413715,6.179879804477333,58.59375,4,0.5057495139205869
VisualCogA_Task-1,4,2027,1.0,预处理,18,保守双分量,41.87530089664242,0.4104857118229322,32.411754256915,13.091959916346958,55.6640625,4,0.6976799107110196
VisualCogA_Task-1,4,2027,1.0,V3,18,保守双分量,90.59858796672273,0.8880993109390309,33.56669805508876,12.160642876305857,54.6875,4,1.1718249168510777
VisualCogA_Task-1,4,2027,1.0,V4,18,保守双分量,43.807628447483225,0.42942749452533535,28.86521379401593,10.253895159632986,96.6796875,4,0.6714187435948088
VisualCogA_Task-1,4,2027,2.0,预处理,18,保守双分量,83.7795261047343,0.8212549563326772,64.29345013465897,26.175496982585077,77.1484375,4,1.392962820410947
VisualCogA_Task-1,4,2027,2.0,V3,18,保守双分量,94.09594980515344,0.9223824571615263,38.25816458974679,12.412711280520726,61.5234375,4,1.2315732047080301
VisualCogA_Task-1,4,2027,2.0,V4,18,保守双分量,63.501858656385096,0.622481632239101,51.48621554319281,19.506433124239702,57.6171875,4,1.0660435794149232
VisualCogA_Task-1,4,2039,0.0,预处理,18,保守双分量,7.547014642035182e-15,7.398016518425298e-17,8.111246939010637e-15,1.5543122344752192e-15,0.0,4,1.289719718440583e-16
VisualCogA_Task-1,4,2039,0.0,V3,18,保守双分量,85.98799016228672,0.842903587418035,24.794952297119394,11.403328765815628,23.4375,4,1.0762127252162415
VisualCogA_Task-1,4,2039,0.0,V4,18,保守双分量,29.92511819551607,0.2933431684273991,9.55443742204437,4.097702206700723,10.7421875,4,0.38034023238344145
VisualCogA_Task-1,4,2039,0.5,预处理,18,保守双分量,21.266206793938004,0.20846355361432758,17.228022133147817,4.639993697031944,18.229166666666668,3,0.33838690851324155
VisualCogA_Task-1,4,2039,0.5,V3,18,保守双分量,87.8106094825122,0.8607699471342699,27.704933781507094,10.813149668402453,45.572916666666664,3,1.1025564645810848
VisualCogA_Task-1,4,2039,0.5,V4,18,保守双分量,33.49073546710636,0.3282953935452426,14.785665273846387,5.580058015021909,20.833333333333332,3,0.4554631067231968
VisualCogA_Task-1,4,2039,1.0,预处理,18,保守双分量,42.317240848931704,0.41481786065563475,34.601574578952004,8.64766453442916,74.21875,3,0.6691794649800782
