dataset,trial_id,block,cue,onset_sample,duration_ms,filter_start,filter_end,prestim_start,prestim_end,retained,reason
A2,14,0,-1,34166,203.125,0,48707,27958,34166,True,retained
A2,15,0,-1,36415,203.125,0,48707,30207,36415,True,retained
A2,16,0,-1,38699,203.125,0,48707,32491,38699,True,retained
A2,17,0,1,40943,207.03125,0,48707,34735,40943,True,retained
A2,18,0,1,43164,203.125,0,48707,36956,43164,False,boundary
A2,19,0,-1,45420,203.125,0,48707,39212,45420,False,boundary
A2,20,0,-1,47593,203.125,0,48707,41385,47593,False,boundary
A2,21,1,1,49821,203.125,48707,92847,43613,49821,False,boundary
A2,22,1,-1,52005,207.03125,48707,92847,45797,52005,False,boundary
A2,23,1,1,54226,203.125,48707,92847,48018,54226,False,boundary
A2,24,1,1,56418,203.125,48707,92847,50210,56418,True,retained
A2,25,1,-1,58631,203.125,48707,92847,52423,58631,True,retained
A2,26,1,-1,60795,203.125,48707,92847,54587,60795,True,retained
A2,27,1,1,62972,203.125,48707,92847,56764,62972,True,retained
A2,28,1,1,65181,203.125,48707,92847,58973,65181,True,retained
A2,29,1,1,67405,203.125,48707,92847,61197,67405,True,retained
A2,30,1,-1,69685,203.125,48707,92847,63477,69685,False,quality
A2,31,1,-1,71941,203.125,48707,92847,65733,71941,True,retained
A2,32,1,-1,74110,203.125,48707,92847,67902,74110,True,retained
A2,33,1,1,76262,203.125,48707,92847,70054,76262,False,quality
A2,34,1,-1,78455,203.125,48707,92847,72247,78455,True,retained
A2,35,1,-1,80691,203.125,48707,92847,74483,80691,True,retained
A2,36,1,1,82915,207.03125,48707,92847,76707,82915,True,retained
A2,37,1,1,85072,203.125,48707,92847,78864,85072,True,retained
A2,38,1,-1,87272,207.03125,48707,92847,81064,87272,False,boundary
A2,39,1,1,89489,203.125,48707,92847,83281,89489,False,boundary
A2,40,1,-1,91757,207.03125,48707,92847,85549,91757,False,boundary
A2,41,2,-1,93938,203.125,92847,137084,87730,93938,False,boundary
A2,42,2,-1,96182,207.03125,92847,137084,89974,96182,False,boundary
A2,43,2,-1,98375,203.125,92847,137084,92167,98375,False,boundary
A2,44,2,-1,100571,203.125,92847,137084,94363,100571,True,retained
A2,45,2,-1,102843,207.03125,92847,137084,96635,102843,False,quality
A2,46,2,-1,105004,203.125,92847,137084,98796,105004,True,retained
A2,47,2,-1,107201,203.125,92847,137084,100993,107201,True,retained
A2,48,2,-1,109365,203.125,92847,137084,103157,109365,True,retained
A2,49,2,1,111601,207.03125,92847,137084,105393,111601,True,retained
A2,50,2,1,113838,203.125,92847,137084,107630,113838,True,retained
A2,51,2,-1,116071,203.125,92847,137084,109863,116071,True,retained
A2,52,2,1,118295,203.125,92847,137084,112087,118295,True,retained
A2,53,2,1,120443,203.125,92847,137084,114235,120443,True,retained
A2,54,2,-1,122664,203.125,92847,137084,116456,122664,True,retained
A2,55,2,-1,124876,203.125,92847,137084,118668,124876,True,retained
A2,56,2,1,127057,203.125,92847,137084,120849,127057,True,retained
A2,57,2,1,129277,203.125,92847,137084,123069,129277,True,retained
A2,58,2,1,131502,203.125,92847,137084,125294,131502,False,boundary
A2,59,2,1,133738,203.125,92847,137084,127530,133738,False,boundary
A2,60,2,1,135966,207.03125,92847,137084,129758,135966,False,boundary
A2,61,3,-1,138203,203.125,137084,181171,131995,138203,False,boundary
A2,62,3,1,140443,203.125,137084,181171,134235,140443,False,boundary
A2,63,3,-1,142628,203.125,137084,181171,136420,142628,False,boundary
A2,64,3,-1,144828,203.125,137084,181171,138620,144828,True,retained
A2,65,3,1,147025,203.125,137084,181171,140817,147025,True,retained
A2,66,3,-1,149201,203.125,137084,181171,142993,149201,True,retained
A2,67,3,1,151386,203.125,137084,181171,145178,151386,True,retained
A2,68,3,1,153562,203.125,137084,181171,147354,153562,True,retained
A2,69,3,-1,155802,207.03125,137084,181171,149594,155802,True,retained
A2,70,3,-1,158051,203.125,137084,181171,151843,158051,True,retained
A2,71,3,1,160243,203.125,137084,181171,154035,160243,True,retained
A2,72,3,1,162412,203.125,137084,181171,156204,162412,True,retained
A2,73,3,1,164560,203.125,137084,181171,158352,164560,True,retained
A2,74,3,1,166789,203.125,137084,181171,160581,166789,True,retained
A2,75,3,-1,169005,203.125,137084,181171,162797,169005,True,retained
A2,76,3,-1,171185,207.03125,137084,181171,164977,171185,True,retained
A2,77,3,-1,173442,203.125,137084,181171,167234,173442,True,retained
A2,78,3,1,175618,203.125,137084,181171,169410,175618,False,boundary
A2,79,3,-1,177883,203.125,137084,181171,171675,177883,False,boundary
A2,80,3,1,180047,203.125,137084,181171,173839,180047,False,boundary
A2,81,4,-1,182295,207.03125,181171,230157,176087,182295,False,boundary
A2,82,4,1,184492,203.125,181171,230157,178284,184492,False,boundary
A2,83,4,1,186720,207.03125,181171,230157,180512,186720,False,boundary
A2,84,4,-1,188925,203.125,181171,230157,182717,188925,True,retained
A2,85,4,1,191109,203.125,181171,230157,184901,191109,True,retained
A2,86,4,-1,193322,203.125,181171,230157,187114,193322,False,quality
A2,87,4,-1,195470,203.125,181171,230157,189262,195470,True,retained
A2,88,4,1,197671,203.125,181171,230157,191463,197671,True,retained
A2,89,4,-1,199803,203.125,181171,230157,193595,199803,True,retained
A2,90,4,-1,202000,203.125,181171,230157,195792,202000,True,retained
A2,91,4,-1,204304,203.125,181171,230157,198096,204304,True,retained
A2,92,4,-1,206500,207.03125,181171,230157,200292,206500,True,retained
A2,93,4,1,208749,203.125,181171,230157,202541,208749,True,retained
A2,94,4,-1,210925,203.125,181171,230157,204717,210925,True,retained
A2,95,4,-1,213150,203.125,181171,230157,206942,213150,True,retained
A2,96,4,-1,215326,203.125,181171,230157,209118,215326,True,retained
A2,97,4,-1,217535,203.125,181171,230157,211327,217535,True,retained
A2,98,4,-1,219715,203.125,181171,230157,213507,219715,True,retained
A2,99,4,-1,221904,203.125,181171,230157,215696,221904,True,retained
A2,100,4,-1,224096,203.125,181171,230157,217888,224096,False,boundary
B1,1,0,-1,5154,207.03125,0,47236,-1054,5154,False,boundary
B1,2,0,-1,7486,207.03125,0,47236,1278,7486,True,retained
B1,3,0,1,9647,203.125,0,47236,3439,9647,True,retained
B1,4,0,-1,11776,203.125,0,47236,5568,11776,True,retained
B1,5,0,1,13888,203.125,0,47236,7680,13888,True,retained
B1,6,0,1,16049,203.125,0,47236,9841,16049,True,retained
B1,7,0,1,18233,203.125,0,47236,12025,18233,True,retained
B1,8,0,-1,20378,203.125,0,47236,14170,20378,True,retained
B1,9,0,-1,22478,203.125,0,47236,16270,22478,True,retained
B1,10,0,-1,24782,207.03125,0,47236,18574,24782,True,retained
B1,11,0,1,26963,203.125,0,47236,20755,26963,True,retained
B1,12,0,-1,29103,207.03125,0,47236,22895,29103,True,retained
B1,13,0,1,31236,203.125,0,47236,25028,31236,True,retained
B1,14,0,1,33360,207.03125,0,47236,27152,33360,False,quality
B1,15,0,-1,35553,203.125,0,47236,29345,35553,True,retained
B1,16,0,1,37666,203.125,0,47236,31458,37666,True,retained
B1,17,0,-1,39798,203.125,0,47236,33590,39798,True,retained
B1,18,0,-1,41899,203.125,0,47236,35691,41899,False,boundary
B1,19,0,1,44055,203.125,0,47236,37847,44055,False,boundary
B1,20,0,-1,46168,203.125,0,47236,39960,46168,False,boundary
B1,21,1,1,48304,203.125,47236,90008,42096,48304,False,boundary
B1,22,1,1,50461,203.125,47236,90008,44253,50461,False,boundary
B1,23,1,1,52617,203.125,47236,90008,46409,52617,False,boundary
B1,24,1,1,54762,203.125,47236,90008,48554,54762,True,retained
B1,25,1,1,56882,207.03125,47236,90008,50674,56882,True,retained
B1,26,1,1,58975,203.125,47236,90008,52767,58975,True,retained
