dataset,model,held_block,n_train,n_test,scale,recurrence,ridge,delta_MSE,zero_MSE,S_delta,RMSE,R2,Corr
B1,zero,4,55,14,1.25,0.2,3.0,380.9189232899665,380.9189232899665,0.0,31.223104810116936,-0.7821847869319118,-0.05257363615890664
B2,full,0,55,14,1.25,0.1,0.1,14199.341043575403,1849.7114604083993,-6.676516768966939,177.00160304661642,-3.041841545746256,0.10036674185178353
B2,full,1,55,14,1.25,0.2,1.0,8841.931007964651,14810.067520869352,0.4029783459457429,100.25082548650582,-0.3000720756473947,0.6519599431548531
B2,full,2,58,11,1.25,0.2,0.3,3038.1478143022196,8589.549533544889,0.6462971891090099,63.97121384222825,0.2922052237419638,0.6132425251106226
B2,full,3,55,14,1.25,0.2,0.1,13285.799583555292,25123.256124781285,0.4711752522217717,110.10865748282176,-0.5857983288147488,0.499180206715667
B2,full,4,53,16,1.25,0.2,0.3,1683.3712828925818,4815.052683107518,0.6503940052829962,56.07569857714229,-0.1172276518128017,0.5992132545169847
B2,no_shape,0,55,14,1.25,0.2,0.1,1849.7114604083993,1849.7114604083993,0.0,165.79594050636388,-2.5462771175152867,0.4896423907241448
B2,no_shape,1,55,14,1.25,0.2,10.0,14810.067520869352,14810.067520869352,0.0,122.64051817463222,-0.9456264827691754,0.22843709905241336
B2,no_shape,2,58,11,1.25,0.2,0.3,8589.549533544889,8589.549533544889,0.0,74.17383859800083,0.048432326061766395,0.39153768158086494
B2,no_shape,3,55,14,1.25,0.2,0.1,25123.256124781285,25123.256124781285,0.0,125.54896829514203,-1.0617277546050787,0.035045389501083164
B2,no_shape,4,53,16,1.25,0.2,0.3,4815.052683107518,4815.052683107518,0.0,64.17065247469495,-0.46307032299087014,0.36125829414178523
B2,no_recurrence,0,55,14,1.25,0.0,0.1,14286.513811782082,1849.7114604083993,-6.72364453460636,177.4048931100874,-3.060280830871707,0.09258705200309525
B2,no_recurrence,1,55,14,1.25,0.0,1.0,8641.996506500871,14810.067520869352,0.4164782507356465,101.26023798411345,-0.32638439235315597,0.6411721360884255
B2,no_recurrence,2,58,11,1.25,0.0,0.3,2997.917960258755,8589.549533544889,0.6509807704640453,64.39345138733135,0.2828308878519554,0.5973118880408747
B2,no_recurrence,3,55,14,1.25,0.0,0.1,13160.43608504065,25123.256124781285,0.4761651905439379,109.19046245362006,-0.5594606894278349,0.5049137475712815
B2,no_recurrence,4,53,16,1.25,0.0,0.3,1703.4976942001922,4815.052683107518,0.6462141109740057,56.04538989362849,-0.11602026433065493,0.5817388389632321
B2,symmetric_readout,0,55,14,1.25,0.0,0.1,14291.000504823378,1849.7114604083993,-6.726070152405314,177.58763787219772,-3.0686501289901376,0.0640939830192241
B2,symmetric_readout,1,55,14,1.25,0.2,1.0,8686.511778960283,14810.067520869352,0.41347250667697266,101.49757693187905,-0.3326093747871368,0.6129611315928213
B2,symmetric_readout,2,58,11,1.25,0.2,0.3,2838.487008244816,8589.549533544889,0.6695418080820614,66.92766632258925,0.22527149732398777,0.5518160231454589
B2,symmetric_readout,3,55,14,1.25,0.2,0.1,12727.313027299499,25123.256124781285,0.49340511579844837,110.70136614260277,-0.6029168040018669,0.4805344025559839
B2,symmetric_readout,4,53,16,1.25,0.2,0.3,1449.4876992872084,4815.052683107518,0.6989674268004593,55.584466774666744,-0.09773921376241934,0.5993152927143309
B2,gamma,0,55,14,,,0.1,16676.7349656216,1849.7114604083993,-8.015857512143828,171.0189308225561,-2.773229822620125,0.23836756894672453
B2,gamma,1,55,14,,,3.0,8870.068640487449,14810.067520869352,0.40107844694236916,103.00255168915193,-0.37242140422377057,0.8188623908900486
B2,gamma,2,58,11,,,1.0,3140.871931566675,8589.549533544889,0.6343379918468852,56.77264483803517,0.44253651679142414,0.751295395479531
B2,gamma,3,55,14,,,1.0,13975.555397245696,25123.256124781285,0.4437203789257089,98.6294524625917,-0.2723841931730784,0.5891639567215999
B2,gamma,4,53,16,,,1.0,1559.9169186099182,4815.052683107518,0.6760332604287964,46.66972677158093,0.22613927214636198,0.7525543734693761
B2,step,0,55,14,,,0.3,15076.199429786468,1849.7114604083993,-7.150568211572729,174.52582458899587,-2.9295632323437304,0.042096999915563454
B2,step,1,55,14,,,3.0,8542.85771120267,14810.067520869352,0.4231722644637069,102.22877206146376,-0.35187894407920295,0.8260799191563197
B2,step,2,58,11,,,1.0,3185.277541500612,8589.549533544889,0.6291682667337672,60.11225247902601,0.37502280026787393,0.6957877582844355
B2,step,3,55,14,,,1.0,13264.56957572689,25123.256124781285,0.47202028630982773,98.92042117518427,-0.2799026389098922,0.6283010852079455
B2,step,4,53,16,,,1.0,1423.1385444637046,4815.052683107518,0.7044396732238357,49.94783202369703,0.11360851405852579,0.6994515688015709
B2,ramp,0,55,14,,,0.1,16712.979603096424,1849.7114604083993,-8.035452264217659,167.63169556069576,-2.625243312223111,0.30144644395508424
B2,ramp,1,55,14,,,1.0,5958.047594042011,14810.067520869352,0.5977028743693213,78.79515440843224,0.19686132976516302,0.936421338806784
B2,ramp,2,58,11,,,1.0,4505.686059276674,8589.549533544889,0.47544559331306546,49.43337343096973,0.5773521468126037,0.8064380194173577
B2,ramp,3,55,14,,,1.0,12841.46981782295,25123.256124781285,0.48886124656603425,98.85347415852553,-0.2781708090763897,0.5460718536531719
B2,ramp,4,53,16,,,1.0,2423.4106361220424,4815.052683107518,0.49670111718112453,41.191587407082515,0.39714988458979994,0.8387365089267604
B2,zero,0,55,14,1.25,0.2,0.1,1849.7114604083993,1849.7114604083993,0.0,165.8059999422971,-2.5467074613412857,0.48922323467915485
B2,zero,1,55,14,1.25,0.2,10.0,14810.067520869352,14810.067520869352,0.0,122.66383339883527,-0.9463663203089385,0.2245268234420533
B2,zero,2,58,11,1.25,0.2,0.3,8589.549533544889,8589.549533544889,0.0,74.19829734418758,0.04780466569066766,0.39051386202365657
B2,zero,3,55,14,1.25,0.2,0.1,25123.256124781285,25123.256124781285,0.0,125.50174625083423,-1.060177113589905,0.03549574085536785
B2,zero,4,53,16,1.25,0.2,0.3,4815.052683107518,4815.052683107518,0.0,64.16675027467083,-0.4628923905796434,0.35984741608802334
