dataset,stage,model,held_block,condition,channel,RMSE,R2,Corr
A1,strict_oof,step,4,Right,F3,16.805210312940094,-3.079428756256866,-0.03523070996897317
A1,strict_oof,step,4,Right,F4,18.09508387533517,-2.4910574794756024,-0.08068163506905626
A1,strict_oof,ramp,0,Left,Fz,4.12328352462019,-0.08171231150491187,-0.5169325222901974
A1,strict_oof,ramp,0,Left,F3,94.06053046580737,-8.059072246485098,0.9564589695814641
A1,strict_oof,ramp,0,Left,F4,101.26133904114381,-8.973535850666785,0.9532915146880299
A1,strict_oof,ramp,0,Right,Fz,3.5550504678348123,-0.0327713411478423,0.14371976630878097
A1,strict_oof,ramp,0,Right,F3,29.031143401029105,-5.606780828592101,-0.9686051194222208
A1,strict_oof,ramp,0,Right,F4,42.98780534547831,-8.530442099835835,-0.9654743145831794
A1,strict_oof,ramp,1,Left,Fz,11.01333768085359,-0.17691083711697986,-0.8936841132743037
A1,strict_oof,ramp,1,Left,F3,5.495199441298196,0.7450001212648367,0.912947694007852
A1,strict_oof,ramp,1,Left,F4,30.187905123179856,-2.0142994911618843,0.9755468282084578
A1,strict_oof,ramp,1,Right,Fz,11.199490871782015,0.006432922224497317,0.7066547110180934
A1,strict_oof,ramp,1,Right,F3,24.293854553456388,-3.084741468154773,-0.7929807948694526
A1,strict_oof,ramp,1,Right,F4,17.489979828231203,-0.47046602582201347,-0.821713270679123
A1,strict_oof,ramp,2,Left,Fz,5.446511407387109,0.030106052672201233,0.5340330513986382
A1,strict_oof,ramp,2,Left,F3,61.66478593416223,-44.462907378308124,-0.891221728405272
A1,strict_oof,ramp,2,Left,F4,123.54721460500652,-22.99771147146514,-0.9530748056566235
A1,strict_oof,ramp,2,Right,Fz,37.38737369071392,-7.630229750490326,-0.9128091889434768
A1,strict_oof,ramp,2,Right,F3,299.6947646121586,-16.906628393967377,-0.8787290336822755
A1,strict_oof,ramp,2,Right,F4,265.5070372350366,-16.80536626909229,-0.8639280383367391
A1,strict_oof,ramp,3,Left,Fz,7.483661499954625,-0.06295732876580695,0.2559940280079488
A1,strict_oof,ramp,3,Left,F3,16.35108740339827,-4.571838667031039,-0.08464630024229308
A1,strict_oof,ramp,3,Left,F4,21.06625161864356,-3.3991800272744426,0.5771300058872587
A1,strict_oof,ramp,3,Right,Fz,12.643624038691906,-3.655633130521224,-0.6410581281375073
A1,strict_oof,ramp,3,Right,F3,82.60852174357488,-10.536722284873623,-0.9801469211619172
A1,strict_oof,ramp,3,Right,F4,97.2694844559849,-5.67591548211263,-0.9852633039786255
A1,strict_oof,ramp,4,Left,Fz,30.55758084698569,-5.970891196183803,-0.7591469963851476
A1,strict_oof,ramp,4,Left,F3,169.13594597626692,-6.785164347414581,0.9825010417817461
A1,strict_oof,ramp,4,Left,F4,106.02738918914415,-9.321219019105055,0.9657916539309852
A1,strict_oof,ramp,4,Right,Fz,7.028063140130239,-0.3003264252816811,-0.4103511302407054
A1,strict_oof,ramp,4,Right,F3,16.44910386542319,-2.90837237444834,0.43427912240262406
A1,strict_oof,ramp,4,Right,F4,17.860472658819543,-2.4011179553915705,0.3636870037822384
A1,strict_oof,zero,0,Left,Fz,4.039435216196634,-0.03816568533369935,0.45155539663070704
A1,strict_oof,zero,0,Left,F3,95.09186104846344,-8.258818484556599,0.6606672907334388
A1,strict_oof,zero,0,Left,F4,101.9149086834879,-9.102695431815858,0.6694214164857211
A1,strict_oof,zero,0,Right,Fz,3.5826178897989114,-0.04885056776999974,0.3395790635011607
A1,strict_oof,zero,0,Right,F3,28.23227799910291,-5.2481789804520105,0.7101662919855001
A1,strict_oof,zero,0,Right,F4,42.65411776485665,-8.383058569901685,0.7304580681367069
A1,strict_oof,zero,1,Left,Fz,10.165734091221298,-0.0027279998263656235,0.5818268393873958
A1,strict_oof,zero,1,Left,F3,14.970313708557851,-0.8924955107302504,-0.8844708671486623
A1,strict_oof,zero,1,Left,F4,35.8437408373019,-3.249590716252454,-0.7413791236201003
A1,strict_oof,zero,1,Right,Fz,11.376971893672037,-0.025307189524911733,0.6257717216629247
A1,strict_oof,zero,1,Right,F3,18.555374747069813,-1.3829294241503223,-0.8864138322377519
A1,strict_oof,zero,1,Right,F4,15.406529429722665,-0.14100096945177332,-0.7615634581948696
A1,strict_oof,zero,2,Left,Fz,8.689338173018436,-1.4686573441106958,-0.5041976588404181
A1,strict_oof,zero,2,Left,F3,75.4158336352328,-66.99982911292456,-0.6668339192169749
A1,strict_oof,zero,2,Left,F4,141.5075576891568,-30.48206281559529,-0.7231387813108711
A1,strict_oof,zero,2,Right,Fz,40.21108491506276,-8.983067815717396,0.23356772429599498
A1,strict_oof,zero,2,Right,F3,330.34211606184283,-20.756217970666793,-0.8509272025506284
A1,strict_oof,zero,2,Right,F4,295.9846618376724,-21.1277497473536,-0.8471428976966212
A1,strict_oof,zero,3,Left,Fz,8.310077868269195,-0.31068324153235216,0.014200599507095998
A1,strict_oof,zero,3,Left,F3,20.43340955923951,-7.701355905901391,-0.025602105824045443
A1,strict_oof,zero,3,Left,F4,32.16626830598982,-9.256485277345487,0.48915606685239177
A1,strict_oof,zero,3,Right,Fz,9.706625550478899,-1.7439244887318477,-0.2643697113903253
A1,strict_oof,zero,3,Right,F3,62.38397850421689,-5.57928763468611,0.7443530369601669
A1,strict_oof,zero,3,Right,F4,81.98951309212688,-3.743230350946668,0.7298161192248293
A1,strict_oof,zero,4,Left,Fz,30.55826078134789,-5.97120141715418,0.6495947223040668
A1,strict_oof,zero,4,Left,F3,170.01208558124333,-6.866028970181582,0.7079211181814281
A1,strict_oof,zero,4,Left,F4,106.69071366541333,-9.450765414353828,0.7394576755562211
A1,strict_oof,zero,4,Right,Fz,6.922226734108455,-0.2614577808179026,0.3714406359947055
A1,strict_oof,zero,4,Right,F3,16.394817885605526,-2.8826178142033987,-0.4568733684157027
A1,strict_oof,zero,4,Right,F4,17.944169152657036,-2.433068803968273,-0.38673904019521854
A1,strict_all,full,-1,Left,Fz,5.498339793381614,-2.8254993686658834,0.5362931389027645
A1,strict_all,full,-1,Left,F3,42.059519941542355,-6.047991346502615,-0.3467008324337093
A1,strict_all,full,-1,Left,F4,28.398916616084943,-5.20398562405554,-0.3344857510594586
A1,strict_all,full,-1,Right,Fz,5.12675620478022,-0.6476487494923995,-0.16059406134694096
A1,strict_all,full,-1,Right,F3,24.243182265558055,-16.104818082835415,0.32341884920480635
A1,strict_all,full,-1,Right,F4,12.937080616180012,-6.63678796797716,0.6864927075052281
A1,q1_before,full,-1,Left,Fz,5.394085300703231,-0.6937023746944833,0.0895652190847517
A1,q1_before,full,-1,Left,F3,30.711872776242252,-3.697038005642346,0.2742988075027799
A1,q1_before,full,-1,Left,F4,20.725122160679643,-4.093228140095932,0.3289253783890216
A1,q1_before,full,-1,Right,Fz,4.4540075603682165,-0.3180424332884788,0.11204058501768843
A1,q1_before,full,-1,Right,F3,15.724632319866338,-6.4942597775843245,0.39704814914419817
A1,q1_before,full,-1,Right,F4,11.327741422409787,-5.013171196542881,0.4260944216812025
A1,q1_v7,full,-1,Left,Fz,5.452631685050511,-0.7246354389287575,0.09591647257830219
A1,q1_v7,full,-1,Left,F3,27.50817209606125,-3.9517240643373084,0.27359816603560855
A1,q1_v7,full,-1,Left,F4,17.89812463775773,-4.357547818766577,0.328193551747199
A1,q1_v7,full,-1,Right,Fz,4.427988953651262,-0.31870125932267124,0.09838872178188987
A1,q1_v7,full,-1,Right,F3,13.780363280934878,-6.021402279395884,0.44854568537780587
A1,q1_v7,full,-1,Right,F4,10.342091008588643,-4.5298856114233175,0.4752163197106205
A2,strict_oof,full,0,Left,Fz,25.855014412761246,0.5180612566940304,0.7199409209435114
A2,strict_oof,full,0,Left,F3,38.23676330046046,-0.3371158244613113,0.6795975865940639
A2,strict_oof,full,0,Left,F4,49.95730484393162,-0.2710513385593516,0.6288656453030274
A2,strict_oof,full,0,Right,Fz,30.658822027765982,-0.6009588015897889,0.6020372972594197
A2,strict_oof,full,0,Right,F3,29.315244215261796,0.41655305412916865,0.7439792439004982
A2,strict_oof,full,0,Right,F4,32.495278334687896,0.26867543820341955,0.6976520906208918
A2,strict_oof,full,1,Left,Fz,32.130836796989946,0.42998474238321005,0.6636636635154977
A2,strict_oof,full,1,Left,F3,30.545196415360866,0.4327742848626205,0.7044453068781278
A2,strict_oof,full,1,Left,F4,41.429616877554004,0.3414336329945823,0.6022751405850802
A2,strict_oof,full,1,Right,Fz,39.095371215647674,0.36242827669158173,0.6039523389216216
A2,strict_oof,full,1,Right,F3,72.30594865779568,0.12601622801738244,0.6543668633606853
A2,strict_oof,full,1,Right,F4,55.24070638624864,0.3528811681113331,0.6028564255636367
A2,strict_oof,full,2,Left,Fz,32.854091935960625,0.4413808134185603,0.6941176998401208
A2,strict_oof,full,2,Left,F3,160.07869859069595,-4.179623701969507,0.7762216478989047
A2,strict_oof,full,2,Left,F4,91.56177416239069,-1.1281227316436109,0.7290180500411091
A2,strict_oof,full,2,Right,Fz,31.007121961823895,0.1994492224973783,0.6285755681796084
A2,strict_oof,full,2,Right,F3,51.91074501541587,-10.351387003100132,0.5207750302371581
A2,strict_oof,full,2,Right,F4,34.80701669908547,-0.018894952561090417,0.6296596903910255
A2,strict_oof,full,3,Left,Fz,29.945951975121368,0.06136143077480505,0.49901258153622724
A2,strict_oof,full,3,Left,F3,39.20560270615096,-5.6055535943358965,0.2866751804475118
A2,strict_oof,full,3,Left,F4,38.682017927140826,-0.03203456316832076,0.45711085900329873
A2,strict_oof,full,3,Right,Fz,45.68859144460243,0.2469908904538175,0.5811461429066515
A2,strict_oof,full,3,Right,F3,57.530943501123176,-0.46064023459521675,0.5298741221594729
A2,strict_oof,full,3,Right,F4,55.28272849722377,0.274265845115771,0.5331533008637316
A2,strict_oof,full,4,Left,Fz,32.54744149708432,0.3964490956391089,0.7217497221020067
A2,strict_oof,full,4,Left,F3,48.39443603372511,-3.6053217207362023,0.549867648340817
A2,strict_oof,full,4,Left,F4,38.4388591840971,0.36779182282498923,0.6479477111637753
A2,strict_oof,full,4,Right,Fz,83.7995541365246,0.005020043985586864,0.6895328182755093
A2,strict_oof,full,4,Right,F3,183.94493923824953,-1.0757677661558098,0.7458993176782622
