dataset,trial_id,block,cue,features,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24
A1,68,3,-1,peak_latency,-8.320087795861788,0.2805957749519855,-3.677832155085737,10.5700723060407,15.082402495787434,14.797581671449379,347.65625,261.71875,347.65625,0.0,0.0,0.0,,,,,,,,,,,,
A1,69,3,1,peak_latency,1.7522366144643908,-10.559080168525217,10.623893966603955,13.387738963999638,4.672124507752166,26.2377910429298,285.15625,281.25,285.15625,0.0,0.0,0.0,,,,,,,,,,,,
A1,70,3,1,peak_latency,5.144319119249154,26.320977644753622,41.263230204386474,18.15788104552928,39.383001585105916,61.256839623826,351.5625,351.5625,417.96875,0.0,0.0,0.0,,,,,,,,,,,,
A1,71,3,-1,peak_latency,-2.5795145759661477,-30.94322675302773,-26.259706214118637,15.288974038179937,,,367.1875,,,0.0,1.0,1.0,,,,,,,,,,,,
A1,72,3,1,peak_latency,5.677422399516947,-50.919518294830816,-61.70993919783115,18.192837680314526,,,347.65625,,,0.0,1.0,1.0,,,,,,,,,,,,
A1,73,3,-1,peak_latency,1.0798568538401105,6.902568357359964,-0.9778510465129537,15.759708275206577,19.114292827289887,11.075389157458062,328.125,476.5625,332.03125,0.0,0.0,0.0,,,,,,,,,,,,
A1,74,3,1,peak_latency,6.541289003616223,-103.23150199741976,-174.91423896389836,23.037109088126755,,,363.28125,,,0.0,1.0,1.0,,,,,,,,,,,,
A1,75,3,-1,peak_latency,12.292555075470016,-8.476102772089629,-52.63504225603797,29.321913001373602,6.636889616531562,,378.90625,457.03125,,0.0,0.0,1.0,,,,,,,,,,,,
A1,76,3,1,peak_latency,11.473905992787206,-85.130335304812,-101.3893930849599,25.275162806503346,,,468.75,,,0.0,1.0,1.0,,,,,,,,,,,,
A1,84,4,1,peak_latency,3.01570231195974,-171.73119961622604,-250.02164200328747,17.745063044224615,,,351.5625,,,0.0,1.0,1.0,,,,,,,,,,,,
A1,85,4,-1,peak_latency,22.281971050775585,-133.79112482618123,-38.2438284620367,36.26074148865611,,,382.8125,,,0.0,1.0,1.0,,,,,,,,,,,,
A1,86,4,1,peak_latency,9.570144676344299,10.745518659100911,-30.821035074817186,24.921557206320635,21.76061018820363,,394.53125,410.15625,,0.0,0.0,1.0,,,,,,,,,,,,
A1,87,4,1,peak_latency,-2.2434839111342044,4.572133362121628,27.98935009818522,12.212705513740303,19.313481891531538,41.23337455660971,375.0,375.0,375.0,0.0,0.0,0.0,,,,,,,,,,,,
A1,89,4,1,peak_latency,3.0675879902644674,54.5769017628247,97.20114713356068,23.5535178333947,69.46603946942716,118.60255437633734,300.78125,382.8125,429.6875,0.0,0.0,0.0,,,,,,,,,,,,
A1,90,4,1,peak_latency,5.1385859362141,-24.40702101481977,-6.143700373745544,17.79815354706595,,10.047880664289021,359.375,,359.375,0.0,1.0,0.0,,,,,,,,,,,,
A1,91,4,-1,peak_latency,34.19149723735618,-333.0828672686503,-283.14730622548706,48.74342331653246,,,414.0625,,,0.0,1.0,1.0,,,,,,,,,,,,
A1,92,4,1,peak_latency,15.090074428162207,-2.33826402736225,-15.224551827895077,25.786246900529054,10.776631148795019,,398.4375,292.96875,,0.0,0.0,1.0,,,,,,,,,,,,
A1,93,4,1,peak_latency,-0.683692372353734,-5.204326238391156,-4.685070068826801,29.918127792296595,17.37500425716948,21.052308008673133,324.21875,324.21875,324.21875,0.0,0.0,0.0,,,,,,,,,,,,
