dataset,held_block,parameter,factor,eigenmax,delta_MSE,zero_MSE,S_delta,delta_change_RMS
B2,0,recurrence,0.8,-2.6666666666666665,14118.312087397933,1849.7114604083993,-6.632710500847922,0.3312050355545111
B2,0,recurrence,1.2,-2.6666666666666665,14277.228352541011,1849.7114604083993,-6.718624584500725,0.31900857762701806
B2,0,F4_readout,0.8,,12727.85522308477,1849.7114604083993,-5.880994952734183,9.24598771044455
B2,0,F4_readout,1.2,,15905.294234914303,1849.7114604083993,-7.598797474824837,9.245987710444552
B2,1,time_scale,0.8,-3.333333333333333,9620.034606797924,14810.067520869352,0.3504395173592546,10.06402946636455
B2,1,time_scale,1.2,-2.222222222222222,8883.348431916578,14810.067520869352,0.4001817736888261,6.892933919714452
B2,1,recurrence,0.8,-2.6666666666666665,8864.713590783462,14810.067520869352,0.4014400286634816,0.172676316564981
B2,1,recurrence,1.2,-2.6666666666666665,8823.77289689423,14810.067520869352,0.4042044113262575,0.16048800809736463
B2,1,F4_readout,0.8,,9170.40269089177,14810.067520869352,0.3807994002748837,5.2087359198347425
B2,1,F4_readout,1.2,,8590.244037671115,14810.067520869352,0.41997266213902673,5.2087359198347425
B2,2,time_scale,0.8,-3.333333333333333,2939.012341693,8589.549533544889,0.6578385944204368,16.4770005867362
B2,2,time_scale,1.2,-2.222222222222222,3648.852667736153,8589.549533544889,0.5751985999398179,11.231136582496195
B2,2,recurrence,0.8,-2.6666666666666665,3046.1866290758057,8589.549533544889,0.6453613059474783,0.2977914560183756
B2,2,recurrence,1.2,-2.6666666666666665,3032.3009159696635,8589.549533544889,0.6469778881735793,0.2508481199945912
B2,2,F4_readout,0.8,,3579.805894985222,8589.549533544889,0.5832370625485125,6.356541450702153
B2,2,F4_readout,1.2,,2607.947065509432,8589.549533544889,0.6963813928396851,6.356541450702151
B2,3,time_scale,0.8,-3.333333333333333,15051.664395294274,25123.256124781285,0.4008871970840002,18.163978440637592
B2,3,time_scale,1.2,-2.222222222222222,13608.332316954931,25123.256124781285,0.4583372374438426,12.312542338998352
B2,3,recurrence,0.8,-2.6666666666666665,13337.789992217928,25123.256124781285,0.46910583859145194,0.3743894486719458
B2,3,recurrence,1.2,-2.6666666666666665,13242.491485978418,25123.256124781285,0.47289907724515934,0.32756863391908053
B2,3,F4_readout,0.8,,13728.28965171281,25123.256124781285,0.4535624847540607,8.335509321237506
