dataset,setting,trial_id,block,cue,model,stage,channel,n_samples,MSE,zero_MSE,baseline_MSE,normalized_MSE
A1,past,10,0,1,N0,maintenance,2,362,1796.7010959321121,5594.20117988077,9574.381112261788,0.022427052566394025
A1,past,10,0,1,N0,retrieval,0,371,129.15664368117788,114.408574855226,91.84280468053095,0.03628628126615783
A1,past,10,0,1,N0,retrieval,1,371,8866.938475382743,16765.445991223052,36962.2332251677,0.11670210936434436
A1,past,10,0,1,N0,retrieval,2,371,9077.779090733375,46397.00386014159,79273.42001634678,0.11331201907480913
A1,past,11,0,1,N0,encoding,0,205,375.0061241250476,155.18378224554513,126.15681487165213,0.10535716405052581
A1,past,11,0,1,N0,encoding,1,205,78491.81746749404,100779.25339389872,111826.2001606457,1.0330691581687383
A1,past,11,0,1,N0,encoding,2,205,18346.290748636853,60821.29146857975,71713.88384156859,0.22900482887754284
A1,past,11,0,1,N0,maintenance,0,362,252.05197110865896,68.90146990328765,136.70966225137252,0.07081345919699789
A1,past,11,0,1,N0,maintenance,1,362,63297.58068859321,115586.3811584274,130593.5494483163,0.8330903845252806
A1,past,11,0,1,N0,maintenance,2,362,17543.32277258268,105565.85784331388,123216.15258195082,0.21898190127491046
A1,past,11,0,1,N0,retrieval,0,276,144.8867152727456,221.05775123397805,281.6884651708205,0.04070561104928074
A1,past,11,0,1,N0,retrieval,1,276,104647.18770587289,43839.08865201524,27441.10483084533,1.3773127645159051
A1,past,11,0,1,N0,retrieval,2,276,108004.26136190565,27858.145385189928,29131.556667342516,1.3481470303781347
A1,past,12,0,1,N0,encoding,0,205,109.82285868048919,123.73191074864357,147.26479996768686,0.030854495951217416
A1,past,12,0,1,N0,encoding,1,205,96.30350609786376,189.78539463921547,718.047628203212,0.001267497494428885
A1,past,12,0,1,N0,encoding,2,205,3212.857495443547,6377.441160927999,10027.159161862455,0.04010401290553233
A1,past,12,0,1,N0,maintenance,0,363,57.26978254875956,124.75638819792219,391.3773815907888,0.01608982223745127
A1,past,12,0,1,N0,maintenance,1,363,318.3124926120638,267.39848182962896,969.1387474765071,0.004189466232114195
A1,past,12,0,1,N0,maintenance,2,363,35913.449929545146,60048.00950349264,73510.42954078004,0.4482842645524283
A1,past,12,0,1,N0,retrieval,0,249,122.8604716239047,548.6845563270845,666.2809146992655,0.034517385267789344
A1,past,12,0,1,N0,retrieval,1,249,8104.810505452488,7057.162386663915,2353.013794223684,0.10667137080183423
A1,past,12,0,1,N0,retrieval,2,249,71578.67372720456,101449.80016819113,148434.9163717457,0.8934700835588734
A1,past,13,0,-1,N0,encoding,0,205,79.72176271596237,100.18392112741631,92.41112620304395,0.022397657778148627
A1,past,13,0,-1,N0,encoding,1,205,491.2939074545374,786.9305720338309,1906.760173072437,0.006466159145794751
A1,past,13,0,-1,N0,encoding,2,205,190.44599586537734,390.6918125197713,1494.9490692960148,0.0023772136444967485
A1,past,13,0,-1,N0,maintenance,0,362,58.60903159154562,104.83340062829073,69.8628407956147,0.016466081375710765
A1,past,13,0,-1,N0,maintenance,1,362,3704.034041120187,6399.892366580029,10477.020022615565,0.04875060168243735
A1,past,13,0,-1,N0,maintenance,2,362,1217.004337756892,4644.245591363102,8911.651896142837,0.01519107452998106
A1,past,13,0,-1,N0,retrieval,0,267,66.56712006539348,111.32966166259536,78.25456336092157,0.01870188921704672
A1,past,13,0,-1,N0,retrieval,1,267,8401.353605170883,15487.919897151254,35120.63197392284,0.11057431941827695
A1,past,13,0,-1,N0,retrieval,2,267,3032.1221752090473,11230.711479085066,29781.9680483203,0.03784801131646426
A1,past,16,0,-1,N0,encoding,0,205,70.45321276788815,91.3625242234381,113.0497830702246,0.01979367860402686
A1,past,16,0,-1,N0,encoding,1,205,35622.0367699697,27757.75037387818,22583.870435904817,0.46883902966635355
A1,past,16,0,-1,N0,encoding,2,205,6282.219765928191,7768.824925130387,4890.246870507546,0.07841686813855801
A1,past,16,0,-1,N0,maintenance,0,362,715.1913186003025,507.2047754204073,585.1545350729733,0.20093146280501267
A1,past,16,0,-1,N0,maintenance,1,362,212384.4475964576,140380.0986785255,123976.54728758772,2.7952954787608104
A1,past,16,0,-1,N0,maintenance,2,362,99094.37763673108,75533.90634625364,61898.82971878245,1.2369307400795626
A1,past,16,0,-1,N0,retrieval,0,233,473.38902101474645,176.89265823889446,217.19855271829636,0.13299762734044693
A1,past,16,0,-1,N0,retrieval,1,233,303433.7851095312,151475.91253555796,106392.13479128883,3.993640293434081
A1,past,16,0,-1,N0,retrieval,2,233,182058.86453191764,98108.57561622423,60719.07958923841,2.2725225327015672
A1,past,17,0,1,N0,encoding,0,205,554.1497770057817,216.24214836989506,264.81135841487145,0.15568718804467346
A1,past,17,0,1,N0,encoding,1,205,16514.81803666078,20537.77945394752,16037.115515688376,0.21735958876870867
A1,past,17,0,1,N0,encoding,2,205,42372.41385735183,46442.384811684344,37830.526802789784,0.528907315243124
