dataset,model,stage,MSE,zero_MSE,baseline_MSE,normalized_MSE,RMSE,NRMSE,S_zero,S_train_baseline,n_trials,setting
A1,N0,maintenance,66464.6111438135,66262.2424471788,70149.22938719629,1.3310124392213063,257.80731398432727,1.1536951240346414,-0.0030540574716593216,0.0525254272295016,65,stimulus
A1,N0,retrieval,80963.60988431436,79958.28338089834,82426.64834710919,1.7452510394087115,284.5410513165268,1.3210794977626106,-0.012573137652629685,0.01774958089565637,65,stimulus
A1,N1,encoding,14464.445233937824,14101.802634763324,14074.293121942592,0.2931365363739223,120.26822204530099,0.5414208495929228,-0.025716045569984525,-0.027720902827223615,65,stimulus
A1,N1,maintenance,67101.09971878178,66262.2424471788,70149.22938719629,1.341317280781577,259.0387996397099,1.158152529152174,-0.012659657153494042,0.04345207630991954,65,stimulus
A1,N1,retrieval,82386.32302817241,79958.28338089834,82426.64834710919,1.7687905861113933,287.0301779049938,1.329958866323088,-0.030366330348884363,0.0004892267215205193,65,stimulus
A1,N2,encoding,14410.826031717168,14101.802634763324,14074.293121942592,0.2920873116939054,120.04509999045013,0.5404510261752727,-0.021913751380412183,-0.023911176700583514,65,stimulus
A1,N2,maintenance,66942.23246768344,66262.2424471788,70149.22938719629,1.3390603119756097,258.7319703238922,1.1571777356895567,-0.010262103958324387,0.04571678046256911,65,stimulus
A1,N2,retrieval,81360.14618350125,79958.28338089834,82426.64834710919,1.7533023945162511,285.23700002541966,1.3241232550318913,-0.017532427452510824,0.012938802984160724,65,stimulus
A1,N3,encoding,14208.287848877728,14101.802634763324,14074.293121942592,0.28972925893511753,119.19852284687813,0.5382650452473368,-0.007551177453859692,-0.009520529789608378,65,stimulus
A1,N3,maintenance,68719.8734881167,66262.2424471788,70149.22938719629,1.369315905782745,262.1447567435151,1.1701777240157776,-0.03708946377564892,0.020375931589926677,65,stimulus
A1,N3,retrieval,83343.17914974791,79958.28338089834,82426.64834710919,1.7851239817065379,288.6921875453991,1.3360853197706117,-0.04233327212297566,-0.011119350610728329,65,stimulus
A1,N2_no_projection,encoding,14459.286786790457,14101.802634763324,14074.293121942592,0.2930865854731197,120.24677453799107,0.5413747181695131,-0.025350245020865136,-0.02735438728696349,65,stimulus
A1,N2_no_projection,maintenance,67107.43911482645,66262.2424471788,70149.22938719629,1.3413492549307218,259.0510357339388,1.1581663330155656,-0.012755328471133698,0.043361706164729785,65,stimulus
