dataset,setting,trial_id,block,cue,model,stage,channel,n_samples,MSE,zero_MSE,baseline_MSE,normalized_MSE
A2,stimulus,15,0,-1,N0,encoding,2,205,5595.704351092313,5280.095117721337,4429.275806915545,0.04126406623231141
A2,stimulus,15,0,-1,N0,maintenance,0,362,3115.1080169525403,3322.9640388852763,2042.468199257773,0.07372774052012786
A2,stimulus,15,0,-1,N0,maintenance,1,362,2488.1963752670417,2134.3172237946437,12809.521116621308,0.0231373101259688
A2,stimulus,15,0,-1,N0,maintenance,2,362,3833.9719075189355,4429.7754889683665,3924.640097509061,0.028272628573344855
A2,stimulus,15,0,-1,N0,retrieval,0,408,3907.730917616169,3953.410433153651,731.8201666027701,0.09248737749978171
A2,stimulus,15,0,-1,N0,retrieval,1,408,2645.7082952961364,2644.7810302985795,16288.424988483133,0.024601986378404387
A2,stimulus,15,0,-1,N0,retrieval,2,408,2487.146779515456,2408.145327847099,9478.788288009344,0.018340816991049908
A2,stimulus,16,0,-1,N0,encoding,0,205,1012.8264949976457,833.2739879867365,4177.723037501433,0.023971370690429157
A2,stimulus,16,0,-1,N0,encoding,1,205,4512.3021392759665,3624.5441001303175,7497.956697405036,0.04195912148103489
A2,stimulus,16,0,-1,N0,encoding,2,205,2943.94055660752,2242.6876138299303,4316.188958857566,0.021709323883083113
A2,stimulus,16,0,-1,N0,maintenance,0,363,6657.7774866313775,7003.489860892765,5497.213006536518,0.1575749182063068
A2,stimulus,16,0,-1,N0,maintenance,1,363,43400.39074204123,46237.32216136847,31855.202795791334,0.4035727686803105
A2,stimulus,16,0,-1,N0,maintenance,2,363,17156.81262290325,18781.687513044213,11477.898742297844,0.12651845201018141
A2,stimulus,16,0,-1,N0,retrieval,0,365,31721.28614974956,31755.286953563227,54137.95944732699,0.7507729239197977
A2,stimulus,16,0,-1,N0,retrieval,1,365,156940.8031466939,157647.00944201578,270800.50294005946,1.4593655347777625
A2,stimulus,16,0,-1,N0,retrieval,2,365,63058.050640738744,63468.556784070846,148956.29435388188,0.4650051923511576
A2,stimulus,17,0,1,N0,encoding,0,205,3020.0174789147936,3477.3600390357146,1564.1948544116917,0.07147715708089775
A2,stimulus,17,0,1,N0,encoding,1,205,3112.5568601044124,3855.3447458150454,4810.913004374084,0.028943130885004376
A2,stimulus,17,0,1,N0,encoding,2,205,2484.350104361828,3404.295769056171,2697.469705255866,0.018320193637575734
A2,stimulus,17,0,1,N0,maintenance,0,363,57643.53791868891,58462.29985217812,50280.25079177193,1.3642954861285614
A2,stimulus,17,0,1,N0,maintenance,1,363,194494.55169433745,199381.40518262782,141932.7903998633,1.8085713833098045
A2,stimulus,17,0,1,N0,maintenance,2,363,132365.80981979982,135605.63831990358,89988.68249034394,0.9760972346996053
A2,stimulus,17,0,1,N0,retrieval,0,338,195351.28568594475,195140.04051464924,149623.99808296247,4.623534343896279
A2,stimulus,17,0,1,N0,retrieval,1,338,605056.8780340545,603733.5165683281,426377.6515698155,5.626319839575338
A2,stimulus,17,0,1,N0,retrieval,2,338,442871.63869866607,441900.799840706,280829.4557735779,3.2658417037538308
A2,stimulus,2,0,-1,N1,encoding,0,205,10448.065857956113,17704.319062562845,10041.680637797777,0.24728268949921656
A2,stimulus,2,0,-1,N1,encoding,1,205,13501.277028755227,25502.861191340715,19616.95554895514,0.12554605288234216
A2,stimulus,2,0,-1,N1,encoding,2,205,20822.452795473608,39981.3242949262,33437.40089179911,0.1535497619891009
A2,stimulus,2,0,-1,N1,maintenance,0,362,102824.98946326882,89270.12535940799,101532.87736181154,2.433640856392899
A2,stimulus,2,0,-1,N1,maintenance,1,362,286673.91254775884,249270.85338202107,330557.7484352128,2.6657314051148764
A2,stimulus,2,0,-1,N1,maintenance,2,362,339718.3136048274,292974.3200044752,380746.0705452436,2.505164339174266
A2,stimulus,2,0,-1,N1,retrieval,0,480,73928.00347227474,65135.628993483966,95389.40153070005,1.7497128919809215
