dataset,setting,trial_id,block,cue,model,stage,channel,n_samples,MSE,zero_MSE,baseline_MSE,normalized_MSE
B2,stimulus,94,4,-1,N2_no_retrieval,maintenance,1,363,34028.13898569101,38206.15872146473,7321.773461950949,0.17888948334120897
B2,stimulus,94,4,-1,N2_no_retrieval,maintenance,2,363,69933.1604296621,85958.50463539505,45628.46796850922,0.34916302477285854
B2,stimulus,94,4,-1,N2_no_retrieval,retrieval,0,378,19149.430274018174,31779.91390841244,9780.337192711233,0.14930096088365186
B2,stimulus,94,4,-1,N2_no_retrieval,retrieval,1,378,40120.561579973684,67237.0631765809,1851.3175419504698,0.2109179857123151
B2,stimulus,94,4,-1,N2_no_retrieval,retrieval,2,378,57895.27691979047,95958.97223906337,15056.157386992092,0.28906015236803423
B2,stimulus,95,4,1,N2_no_retrieval,encoding,0,205,5340.819196239426,2343.4058892031276,2704.2496763032345,0.04164037396905183
B2,stimulus,95,4,1,N2_no_retrieval,encoding,1,205,4709.750005695114,1413.9888135174324,3212.417652518127,0.024759648053022835
B2,stimulus,95,4,1,N2_no_retrieval,encoding,2,205,5246.473546196688,3505.513276756675,2814.393566292711,0.026194648740682867
B2,stimulus,95,4,1,N2_no_retrieval,maintenance,0,362,31821.767373304134,64514.28148941621,17332.5629617917,0.2481024436688596
B2,stimulus,95,4,1,N2_no_retrieval,maintenance,1,362,69959.44925728856,110436.99100713676,42835.18966764738,0.36778413705593754
B2,stimulus,95,4,1,N2_no_retrieval,maintenance,2,362,66055.30447464505,112935.09355687816,69191.83454939253,0.3298016244504889
B2,stimulus,95,4,1,N2_no_retrieval,retrieval,0,265,105909.03321429163,43748.87726604736,103283.61165802888,0.825733204533317
B2,stimulus,95,4,1,N2_no_retrieval,retrieval,1,265,161631.2768043244,84039.82267316035,172257.47246434537,0.8497125162050163
B2,stimulus,95,4,1,N2_no_retrieval,retrieval,2,265,138559.61445949928,83718.12181715561,125689.82544970626,0.6918019119799365
B2,stimulus,96,4,1,N2_no_retrieval,encoding,0,205,42861.9938506598,10438.103197558074,9276.68384106873,0.33417896907226863
B2,stimulus,96,4,1,N2_no_retrieval,encoding,1,205,68575.86830751093,29968.95465373305,22035.282829884804,0.3605105073881341
B2,stimulus,96,4,1,N2_no_retrieval,encoding,2,205,62695.45575609574,20275.966789927465,29605.799132974713,0.3130265361498848
B2,stimulus,96,4,1,N2_no_retrieval,maintenance,0,363,122463.10436082337,66208.02935847294,166849.45164099048,0.9547991189415854
B2,stimulus,96,4,1,N2_no_retrieval,maintenance,1,363,184681.88526862636,125963.64197666262,269531.9676164095,0.9708919742004546
B2,stimulus,96,4,1,N2_no_retrieval,maintenance,2,363,151590.97386669644,85171.02253119617,131789.45183407402,0.7568650213770246
