dataset,setting,trial_id,block,cue,model,stage,channel,n_samples,MSE,zero_MSE,baseline_MSE,normalized_MSE
B1,past,17,0,-1,B0,maintenance,2,362,201535.8626775531,66029.31731468657,77590.6702084269,2.4996340297801622
B1,past,17,0,-1,B0,retrieval,0,224,15346.921789477909,9969.295339112296,19701.00437377756,0.18802227858925977
B1,past,17,0,-1,B0,retrieval,1,224,108048.65891840492,251865.33490824848,315551.10351956205,1.3668499481216823
B1,past,17,0,-1,B0,retrieval,2,224,3552.328132301901,50985.67142217003,34730.62549724678,0.04405925658330105
B1,past,2,0,-1,N0,encoding,0,205,266.4431568972372,1028.0596442798471,1150.1446171810605,0.0032643190707260686
B1,past,2,0,-1,N0,encoding,1,205,147.9871885344987,2427.5414767490415,861.3043737150209,0.001872085067930423
B1,past,2,0,-1,N0,encoding,2,205,1590.478071226541,275.2097722087127,1454.514898301205,0.01972657897030343
B1,past,2,0,-1,N0,maintenance,0,363,866.7647028325864,971.5772713016715,3267.8692362465126,0.010619137613580663
B1,past,2,0,-1,N0,maintenance,1,363,1035.3747633555656,21111.310490446205,13120.17498387342,0.013097820516659735
B1,past,2,0,-1,N0,maintenance,2,363,4468.6244323535,1776.3728806535803,1435.7558328932482,0.05542401014398699
B1,past,2,0,-1,N0,retrieval,0,284,3945.8289944688295,1673.5306624527198,7301.52865572354,0.04834218670302066
B1,past,2,0,-1,N0,retrieval,1,284,2181.164844081777,13291.911098313958,3125.48856440389,0.02759242996462753
B1,past,2,0,-1,N0,retrieval,2,284,32836.2898290161,16175.779236475131,7713.102997408106,0.40726601398806395
B1,past,3,0,1,N0,encoding,0,205,894.3123758486249,27073.834143808774,26492.947717736857,0.010956636971520873
B1,past,3,0,1,N0,encoding,1,205,30114.927566874623,58172.96910128798,45341.12129430885,0.38096342513196335
B1,past,3,0,1,N0,encoding,2,205,81878.74571481213,130412.34894993603,111778.51956338949,1.0155358772642735
B1,past,3,0,1,N0,maintenance,0,362,3896.5991506142864,138451.38069961197,117859.47665975617,0.047739048983085765
B1,past,3,0,1,N0,maintenance,1,362,98925.16479422658,166856.30089315234,142390.90765913122,1.2514348416765488
B1,past,3,0,1,N0,maintenance,2,362,283264.2097539715,484578.61190955836,529445.2697527512,3.5133045241316028
B1,past,3,0,1,N0,retrieval,0,254,6483.590158063074,182525.90718209045,145877.13591330728,0.0794334793439636
B1,past,3,0,1,N0,retrieval,1,254,108297.67273886282,177389.14204504734,130811.97823840042,1.3700000522597768
B1,past,3,0,1,N0,retrieval,2,254,205203.50878996364,433484.35142499296,487514.28760337224,2.545123566530454
B1,past,4,0,-1,N0,encoding,0,205,8897.892209165282,65704.85582198881,64780.75935849698,0.1090122169617047
B1,past,4,0,-1,N0,encoding,1,205,59916.17904096771,37830.415592298974,27552.3255268929,0.7579587477864195
B1,past,4,0,-1,N0,encoding,2,205,89327.0345429547,51251.20817148876,39640.09870766429,1.1079164390715006
B1,past,4,0,-1,N0,maintenance,0,362,63899.43187348202,285328.6145673192,255191.16092851805,0.7828616673897826
B1,past,4,0,-1,N0,maintenance,1,362,109187.09564372119,46513.579505836446,34273.31392968702,1.3812515352817178
