dataset,block,model,stage,MSE,zero_MSE,S_delta,n_timepoints
A1,1,N2_equal_penalty,maintenance,377.67696347195204,400.8889390730507,0.057901262266727094,362
A1,1,V1_M2,maintenance,382.2465278261673,400.8889390730507,0.04650268298743543,362
A1,1,N0,retrieval,568.6108560024495,569.728630408339,0.001961941784614729,277
A1,1,N1,retrieval,565.0528198183766,569.728630408339,0.008207083759527833,277
A1,1,N2,retrieval,534.1873161990153,569.728630408339,0.062382882502938886,277
A1,1,N3,retrieval,454.39213788398934,569.728630408339,0.20244110330506837,277
A1,1,N2_no_projection,retrieval,571.1623919392777,569.728630408339,-0.002516569212804187,277
A1,1,N2_no_retrieval,retrieval,533.2543112385861,569.728630408339,0.0640205129652881,277
A1,1,N2_fixed_target,retrieval,514.6694436205879,569.728630408339,0.0966410740992405,277
A1,1,N2_equal_penalty,retrieval,534.1873161990153,569.728630408339,0.062382882502938886,277
A1,1,V1_M2,retrieval,543.7312933734913,569.728630408339,0.04563108758675982,277
A1,2,N0,encoding,1267.200715008637,1559.6054979893213,0.1874863761109199,205
A1,2,N1,encoding,1790.6681004432742,1559.6054979893213,-0.14815451904461985,205
A1,2,N2,encoding,1591.9269493468896,1559.6054979893213,-0.020724119913168915,205
A1,2,N3,encoding,1085.6793009256746,1559.6054979893213,0.30387569015026106,205
A1,2,N2_no_projection,encoding,1781.300262089267,1559.6054979893213,-0.1421479754885191,205
A1,2,N2_no_retrieval,encoding,1595.1445739985008,1559.6054979893213,-0.02278722154737034,205
A1,2,N2_fixed_target,encoding,1592.857705986424,1559.6054979893213,-0.021320909704391378,205
A1,2,N2_equal_penalty,encoding,2039.823529854588,1559.6054979893213,-0.30790993779155995,205
A1,2,V1_M2,encoding,1984.2851927751221,1559.6054979893213,-0.27229943426931214,205
A1,2,N0,maintenance,80592.30951058281,82434.00343866895,0.02234143498145602,362
A1,2,N1,maintenance,75904.32772886696,82434.00343866895,0.07921094981951327,362
A1,2,N2,maintenance,80391.08644583338,82434.00343866895,0.02478245514735311,362
A1,2,N3,maintenance,69165.86037930162,82434.00343866895,0.16095473355529621,362
A1,2,N2_no_projection,maintenance,75970.78215058919,82434.00343866895,0.07840479678860202,362
A1,2,N2_no_retrieval,maintenance,80330.53578426749,82434.00343866895,0.025516990157665287,362
A1,2,N2_fixed_target,maintenance,80606.077439349,82434.00343866895,0.022174417389298928,362
A1,2,N2_equal_penalty,maintenance,74747.62957115729,82434.00343866895,0.09324275841134344,362
A1,2,V1_M2,maintenance,68053.57235477465,82434.00343866895,0.17444780653645398,362
