dataset,trial_id,block,cue,cue_sample,cue_end_sample,cue_duration_s,target_sample,target_status,platform_end_sample,platform_sign,click_sample,click_side,response_sample,response_status,target_s,response_s,rt_s,correctness,correctness_reason,timeout,timeout_reason,cue_platform_disagree,valid_events,n_platforms,n_clicks,retained,reason,prefix_end_sample,prefix_end_s,prefix_last_included_after_target_s,saturation_fraction,PTP,max_jump
A2,47,2,-1,107201,107253,0.203125,107768,platform_onset_hypothesis,108081,1.0,108081,1,108081,explicit_click,2.21484375,3.4375,1.22265625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,True,retained,107922,2.81640625,0.59765625,0.0,645.5481364932061,8.567994730028914
A2,48,2,-1,109365,109417,0.203125,109933,platform_onset_hypothesis,110317,-1.0,110317,-1,110317,explicit_click,2.21875,3.71875,1.5,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,True,retained,110087,2.8203125,0.59765625,0.0,423.62113430283773,10.228811304031751
A2,49,2,1,111601,111654,0.20703125,112169,platform_onset_hypothesis,112551,-1.0,112551,-1,112551,explicit_click,2.21875,3.7109375,1.4921875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,True,retained,112323,2.8203125,0.59765625,0.0,720.9046368628799,11.376797036808625
A2,50,2,1,113838,113890,0.203125,114406,platform_onset_hypothesis,114785,-1.0,114785,-1,114785,explicit_click,2.21875,3.69921875,1.48046875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,True,retained,114560,2.8203125,0.59765625,0.0,924.7936931843867,8.452298146687667
A2,51,2,-1,116071,116123,0.203125,116638,platform_onset_hypothesis,117011,1.0,117011,1,117011,explicit_click,2.21484375,3.671875,1.45703125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,True,retained,116792,2.81640625,0.59765625,0.0,700.9355536352294,25.070099519132896
A2,52,2,1,118295,118347,0.203125,118862,platform_onset_hypothesis,119158,1.0,119158,1,119158,explicit_click,2.21484375,3.37109375,1.15625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,True,retained,119016,2.81640625,0.59765625,0.0,831.6622828750294,13.765495741041548
A2,53,2,1,120443,120495,0.203125,121011,platform_onset_hypothesis,121380,-1.0,121380,-1,121380,explicit_click,2.21875,3.66015625,1.44140625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,True,retained,121165,2.8203125,0.59765625,0.0,354.220168407279,12.500496596587823
A2,54,2,-1,122664,122716,0.203125,123231,platform_onset_hypothesis,123590,1.0,123590,1,123590,explicit_click,2.21484375,3.6171875,1.40234375,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,True,retained,123385,2.81640625,0.59765625,0.0,758.434249454066,11.165543426336683
A2,55,2,-1,124876,124928,0.203125,125444,platform_onset_hypothesis,125768,1.0,125768,1,125768,explicit_click,2.21875,3.484375,1.265625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,True,retained,125598,2.8203125,0.59765625,0.0,740.6723554632272,10.14283350179636
A2,56,2,1,127057,127109,0.203125,127624,platform_onset_hypothesis,127994,1.0,127994,1,127994,explicit_click,2.21484375,3.66015625,1.4453125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,True,retained,127778,2.81640625,0.59765625,0.0,643.698831529945,11.801898137283217
A2,57,2,1,129277,129329,0.203125,129845,platform_onset_hypothesis,130217,-1.0,130217,-1,130217,explicit_click,2.21875,3.671875,1.453125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,True,retained,129999,2.8203125,0.59765625,0.0,243.19311106882026,11.754663442508729
A2,58,2,1,131502,131554,0.203125,132069,platform_onset_hypothesis,132454,1.0,132454,1,132454,explicit_click,2.21484375,3.71875,1.50390625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,False,block_boundary_24s_buffer,132223,2.81640625,0.59765625,,,
A2,59,2,1,133738,133790,0.203125,134306,platform_onset_hypothesis,134681,-1.0,134681,-1,134681,explicit_click,2.21875,3.68359375,1.46484375,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,False,block_boundary_24s_buffer,134460,2.8203125,0.59765625,,,
