dataset,rank,n_refits,kind,spatial_mode,kernel,low,median,high
B1,3,2,D,2,0,1.0467347456939522,1.139884684519176,1.2330346233443996
B1,3,2,D,2,1,1.1577857149348771,1.1845096155932617,1.2112335162516463
B1,3,2,D,2,2,1.1145417654180485,1.1149107835368584,1.1152798016556682
B2,2,72,A,0,0,-64.62953218352155,-16.778276621954713,23.485979451230214
B2,2,72,A,0,1,23.494702306351,73.21041121536503,154.42656370488027
B2,2,72,A,1,0,-0.4220191826327231,3.498391703383705,8.254233123758137
B2,2,72,A,1,1,-0.8728386948249345,5.923509208274527,14.9251672381073
B2,2,72,A,2,0,-4.955078149469119,-0.29620149200660406,12.57911994818006
B2,2,72,A,2,1,-35.58775206836738,-17.85935697640193,-8.705952455988506
B2,2,72,D,0,0,-1.6888109326338132,12.980801074876988,42.298106299989904
B2,2,72,D,0,1,-2.17651544934634,15.276775977562504,63.282192837073815
B2,2,72,D,1,0,-10.549152663030535,-2.893082476099485,0.25840026279311024
B2,2,72,D,1,1,-14.777117919311591,-3.5743590843988104,0.274430918286939
B2,2,72,D,2,0,-2.251505242564466,-0.007403851852159825,2.5726572100914904
B2,2,72,D,2,1,-6.549047025786657,-0.9973304638501137,2.403941853008078
B2,3,128,A,0,0,-35.67754923201935,14.483867469805617,110.177068060413
B2,3,128,A,0,1,-294.99721348539947,48.67043605154075,335.8383698494863
B2,3,128,A,0,2,-216.3570181018354,57.68388846445344,385.9391805887942
B2,3,128,A,1,0,-6.201149716933236,0.40773073386905184,6.116044944065239
B2,3,128,A,1,1,-7.610711862023885,1.3635183996861722,15.503870386532787
B2,3,128,A,1,2,-12.872971447593807,1.2096525617024034,8.556781168344845
B2,3,128,A,2,0,-17.79796752848771,-2.0775294277884724,4.648384933554918
B2,3,128,A,2,1,-70.84614735666503,-10.14999521576017,57.971421646794646
B2,3,128,A,2,2,-69.70448883256338,-12.038842283484268,46.95697284894081
B2,3,128,D,0,0,-3.66381189705239,7.610839525227055,29.95120663248824
B2,3,128,D,0,1,-15.930331921236847,8.65538940910941,96.52742883434655
B2,3,128,D,0,2,-11.738389616016399,6.547251385000193,56.232741036453
B2,3,128,D,1,0,-8.168062410184728,-2.216471378756564,-0.0024988160067126457
B2,3,128,D,1,1,-25.955665453045587,-2.2659077832474015,5.340134920834391
B2,3,128,D,1,2,-18.339449979340696,-1.8573931568063689,2.4124762186572157
B2,3,128,D,2,0,-1.307265186568938,0.38635885193236696,3.636711970227419
B2,3,128,D,2,1,-9.581729998349312,-0.33315448114013757,3.5918648826267012
B2,3,128,D,2,2,-5.013663743799357,-0.0026508601913303627,3.2367135903356363
