dataset,fold,cue,channel,version,MAE,positive_mean_error
B1,1,1,F3,before,17.6571228031443,6.311801032279639
B1,1,1,F4,before,31.544601766469153,31.537624897007763
B1,1,-1,Fz,old,6.288640869939703,2.5283083686352743
B1,1,-1,F3,old,12.353487288335192,7.266879722751753
B1,1,-1,F4,old,9.630193810270626,5.17354528384881
B1,1,1,Fz,old,7.490161354292316,1.810031805455926
B1,1,1,F3,old,15.607150526530477,6.311801032279639
B1,1,1,F4,old,26.30700068084392,26.300023811382527
B1,1,-1,Fz,new,6.164919178079587,2.4717319109127
B1,1,-1,F3,new,11.72518540728548,6.993449133039123
B1,1,-1,F4,new,9.727312068264476,5.217279476066344
B1,1,1,Fz,new,7.589194834180752,1.8965682764904153
B1,1,1,F3,new,15.97686276449768,6.311801032279639
B1,1,1,F4,new,26.03721364419387,26.030236774732476
B1,2,-1,Fz,before,56.95045460573968,10.071412154605923
B1,2,-1,F3,before,53.37702195820206,5.173621130159782
B1,2,-1,F4,before,97.89729895715506,97.89729895715506
B1,2,1,Fz,before,60.12923451956242,10.444544569739918
B1,2,1,F3,before,6.108691715611499,0.828429839637677
B1,2,1,F4,before,10.521044673155176,9.2951702781761
B1,2,-1,Fz,old,54.08264647151482,10.071412154605923
B1,2,-1,F3,old,47.581206767709354,5.173621130159782
B1,2,-1,F4,old,92.51340767516571,92.51340767516571
B1,2,1,Fz,old,58.82862025640423,10.444544569739918
B1,2,1,F3,old,5.814567776842614,0.5328351889999317
B1,2,1,F4,old,10.288473084705114,9.040212988260304
B1,2,-1,Fz,new,55.103572213855955,10.071412154605923
B1,2,-1,F3,new,48.25207549256764,5.173621130159782
B1,2,-1,F4,new,93.30539704102694,93.30539704102694
B1,2,1,Fz,new,59.21384416708511,10.444544569739918
B1,2,1,F3,new,5.566054240279506,0.9475326189905826
B1,2,1,F4,new,10.844142662364547,9.58596689889709
B1,3,-1,Fz,before,4.035798661718312,2.5670238505900875
B1,3,-1,F3,before,49.9654147573559,48.253493290329274
