dataset,metric,stage,mean,paired_rows,valid_rows,total_rows
VisualCogB_Task-2,trial_PTP_median,V3,192.95161753130841,6,6,6
VisualCogB_Task-2,trial_PTP_median,V4,216.60336028069173,6,6,6
VisualCogB_Task-2,trial_PTP_median,V6,267.8048525408105,6,6,6
VisualCogB_Task-2,trial_PTP_median,V7,267.32421087346347,6,6,6
VisualCogB_Task-2,SNR_proxy_dB,预处理,-13.081010212055224,6,6,6
VisualCogB_Task-2,SNR_proxy_dB,V3,-8.525075443987758,6,6,6
VisualCogB_Task-2,SNR_proxy_dB,V4,-12.031705849067512,6,6,6
VisualCogB_Task-2,SNR_proxy_dB,V6,-12.675333613800362,6,6,6
VisualCogB_Task-2,SNR_proxy_dB,V7,-12.600382057385227,6,6,6
VisualCogB_Task-2,edge_band_ratio,预处理,0.5215636096622092,6,6,6
VisualCogB_Task-2,edge_band_ratio,V3,0.3316357574187569,6,6,6
VisualCogB_Task-2,edge_band_ratio,V4,0.4148171017229249,6,6,6
VisualCogB_Task-2,edge_band_ratio,V6,0.5037283492156275,6,6,6
VisualCogB_Task-2,edge_band_ratio,V7,0.4979554765915732,6,6,6
VisualCogB_Task-2,amp_error,预处理,42.101068826299986,5,5,6
VisualCogB_Task-2,amp_error,V3,1.2035622770507008,5,5,6
VisualCogB_Task-2,amp_error,V4,20.12152959215104,5,5,6
VisualCogB_Task-2,amp_error,V6,38.62410746984527,5,5,6
VisualCogB_Task-2,amp_error,V7,37.80537070631556,5,5,6
VisualCogB_Task-2,P300_positive_mean,预处理,50.17244586746674,6,6,6
VisualCogB_Task-2,P300_positive_mean,V3,17.840920833207985,6,6,6
VisualCogB_Task-2,P300_positive_mean,V4,27.8174417730597,6,6,6
VisualCogB_Task-2,P300_positive_mean,V6,46.657211397005746,6,6,6
VisualCogB_Task-2,P300_positive_mean,V7,46.31363108699168,6,6,6
VisualCogB_Task-2,P300_positive_mean_error,预处理,32.87224401715354,6,6,6
VisualCogB_Task-2,P300_positive_mean_error,V3,0.6859582710994462,6,6,6
VisualCogB_Task-2,P300_positive_mean_error,V4,10.517239922746493,6,6,6
VisualCogB_Task-2,P300_positive_mean_error,V6,29.35700954669254,6,6,6
VisualCogB_Task-2,P300_positive_mean_error,V7,29.013429236678473,6,6,6
VisualCogB_Task-2,P300_amp,预处理,68.65379639049357,5,6,6
VisualCogB_Task-2,P300_amp,V3,27.04156521508753,5,5,6
VisualCogB_Task-2,P300_amp,V4,46.674257156344616,5,6,6
VisualCogB_Task-2,P300_amp,V6,65.17683503403885,5,6,6
VisualCogB_Task-2,P300_amp,V7,64.35809827050913,5,6,6
VisualCogB_Task-2,latency_error_ms,预处理,136.71875,5,5,6
VisualCogB_Task-2,latency_error_ms,V3,39.84375,5,5,6
VisualCogB_Task-2,latency_error_ms,V4,91.40625,5,5,6
VisualCogB_Task-2,latency_error_ms,V6,136.71875,5,5,6
VisualCogB_Task-2,latency_error_ms,V7,136.71875,5,5,6
VisualCogB_Task-2,P300_AUC_unit_ms,预处理,12531.397479103898,6,6,6
VisualCogB_Task-2,P300_AUC_unit_ms,V3,4463.657443568539,6,6,6
VisualCogB_Task-2,P300_AUC_unit_ms,V4,6946.767343834911,6,6,6
VisualCogB_Task-2,P300_AUC_unit_ms,V6,11652.818641560063,6,6,6
VisualCogB_Task-2,P300_AUC_unit_ms,V7,11567.312540346296,6,6,6
VisualCogB_Task-2,P300_AUC_error_unit_ms,预处理,8198.023921829283,6,6,6
VisualCogB_Task-2,P300_AUC_error_unit_ms,V3,169.44701344681147,6,6,6
VisualCogB_Task-2,P300_AUC_error_unit_ms,V4,2613.393786560298,6,6,6
VisualCogB_Task-2,P300_AUC_error_unit_ms,V6,7319.445084285449,6,6,6
VisualCogB_Task-2,P300_AUC_error_unit_ms,V7,7233.93898307168,6,6,6
VisualCogB_Task-2,P300_lat_ms,预处理,500.0,5,6,6
VisualCogB_Task-2,P300_lat_ms,V3,384.375,5,5,6
VisualCogB_Task-2,P300_lat_ms,V4,454.6875,5,6,6
VisualCogB_Task-2,P300_lat_ms,V6,500.0,5,6,6
VisualCogB_Task-2,P300_lat_ms,V7,500.0,5,6,6
