dataset,trial_id,block,cue,features,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24
A1,85,4,-1,peak_latency,22.28197105079159,-133.79112482595832,-38.24382846203568,36.260741488672316,,,382.8125,,,0.0,1.0,1.0,,,,,,,,,,,,
A1,86,4,1,peak_latency,9.570144676332342,10.745518659111543,-30.821035074803582,24.92155720630818,21.760610188216617,,394.53125,410.15625,,0.0,0.0,1.0,,,,,,,,,,,,
A1,87,4,1,peak_latency,-2.243483911143116,4.572133362165282,27.989350098265326,12.212705513731423,19.313481891576004,41.2333745566893,375.0,375.0,375.0,0.0,0.0,0.0,,,,,,,,,,,,
A1,89,4,1,peak_latency,3.0675879903160257,54.576901762814074,97.2011471335594,23.553517833442307,69.46603946941667,118.60255437633737,300.78125,382.8125,429.6875,0.0,0.0,0.0,,,,,,,,,,,,
A1,90,4,1,peak_latency,5.13858593623284,-24.407021014855072,-6.143700373789312,17.798153547083917,,10.04788066424484,359.375,,359.375,0.0,1.0,0.0,,,,,,,,,,,,
A1,91,4,-1,peak_latency,34.191497237429736,-333.08286726836894,-283.14730622531994,48.743423316612656,,,414.0625,,,0.0,1.0,1.0,,,,,,,,,,,,
A1,92,4,1,peak_latency,15.090074428160179,-2.3382640271434276,-15.224551827758331,25.78624690052621,10.776631148983569,,398.4375,292.96875,,0.0,0.0,1.0,,,,,,,,,,,,
A1,93,4,1,peak_latency,-0.6836923723653954,-5.204326238390202,-4.685070068808175,29.918127792286544,17.375004257172304,21.052308008687817,324.21875,324.21875,324.21875,0.0,0.0,0.0,,,,,,,,,,,,
A1,94,4,1,peak_latency,-8.638569730494241,-15.234276438397007,-10.01760471629204,2.608111048578964,,3.8735938277893585,343.75,,343.75,0.0,1.0,0.0,,,,,,,,,,,,
A1,95,4,-1,peak_latency,-3.764914496541656,-22.52203822504415,-3.98925899412498,4.541124531046751,,11.942226636435906,378.90625,,273.4375,0.0,1.0,0.0,,,,,,,,,,,,
A1,96,4,1,peak_latency,3.021330925225223,-43.77043830587354,-25.32288127047928,15.003322904743325,,,347.65625,,,0.0,1.0,1.0,,,,,,,,,,,,
A1,97,4,1,peak_latency,2.070794557503614,7.637406539105044,15.740623484327266,13.620197992747677,,,316.40625,,,0.0,1.0,1.0,,,,,,,,,,,,
A1,98,4,-1,peak_latency,89.31404324480197,-251.97867865104536,-150.16605406926166,101.18979249122808,,,398.4375,,,0.0,1.0,1.0,,,,,,,,,,,,
A1,99,4,-1,peak_latency,13.38268279605073,-5.348170981872455,-7.3505388454005125,26.313623256200646,2.505333249858637,3.613136384640878,355.46875,324.21875,355.46875,0.0,0.0,0.0,,,,,,,,,,,,
A1,2,0,1,spatial,2.896180016147378,93.60492299136907,-140.06227900637205,17.84921308404327,102.57181795718066,,289.0625,375.0,,0.0,0.0,1.0,-1.0,-233.66720199774113,,,,,,,,,,
