dataset,trial_id,cue,role,PC1,PC2
A2,94,-1,test,-8.641682859946112,-0.98342674202028
A2,95,-1,test,-2.881357668062051,-4.249798934809194
A2,96,-1,test,0.9539227276536597,2.462772603548801
A2,97,-1,test,-1.5712831789099688,-0.2569595750198643
A2,98,-1,test,-3.5893996201421627,-3.0666166117958693
A2,99,-1,test,-1.1886232109300598,2.8326448679509
B1,2,-1,train,1.2294258752493283,0.6360479866332157
B1,3,1,train,1.686725752120622,-0.7291611562131759
B1,4,-1,train,-0.09979860544889943,-0.39940035100930765
B1,5,1,train,3.9554693269746894,3.8186301100191224
B1,6,1,train,0.8547090921003293,-0.29350964278433744
B1,7,1,train,0.7893452476692184,-0.6222646977006404
B1,8,-1,train,1.6658791771954098,-1.2571387284599038
B1,9,-1,train,1.0509341742000173,-0.3220505126930056
B1,10,-1,train,1.458303838772398,-0.3544789691106342
B1,11,1,train,0.4310683344622812,-0.33941384115351303
B1,12,-1,train,1.0099598966646772,-0.3499419573857165
B1,13,1,train,0.651366188434778,1.0777661108390644
B1,15,-1,train,1.3428012435506473,-0.8936894100397891
B1,16,1,train,0.9936725958193324,-0.7062354207499226
B1,17,-1,train,0.037524562907755216,0.5845678980668207
B1,24,1,train,0.9358811202454238,-1.115001037811758
B1,25,1,train,-11.595196842596946,-1.978730914292652
B1,26,1,train,1.2423513784979712,-1.2836001948959905
B1,27,1,train,0.50161728104993,-0.18571773002583716
B1,28,1,train,0.6760716048778139,1.1431384858520304
B1,29,1,train,1.0725948721045342,-1.173842493740543
B1,30,-1,train,1.5430545986181448,3.4606176118922782
B1,31,1,train,0.7145807487063274,-1.9955135759505367
B1,32,-1,train,1.7076251944194634,-1.3528977519885113
B1,33,-1,train,-0.08159112025804448,0.037864402887025965
B1,34,1,train,-0.12670477896120078,0.5496990887592468
B1,35,-1,train,0.09141745568936074,-0.829502188716141
B1,37,-1,train,-0.6136801947455016,-0.583398819930179
B1,44,1,train,1.3729730630435895,-0.5709131147179056
B1,45,1,train,1.0601957100881065,-0.7311020716263784
B1,46,-1,train,-3.1772470507577264,-1.6571721054924315
B1,47,-1,train,-3.7782858685104723,9.223321204882769
B1,48,1,train,-1.8978484618455647,0.7268469305681864
