dataset,held_block,tau_m,train_MSE,held_retrieval_MSE,inner_huber,tau_p,target_duration,direction_penalty,delay
B1,2,1.0,60186.34971376072,233138.9090001958,0.4658513369463152,0.6,0.4,10.0,0.05
B1,2,2.0,60182.98271332026,233150.62125549055,0.4657885732900335,0.6,0.4,10.0,0.05
B1,2,4.0,60182.33185389923,233163.69203647968,0.46575021840264375,0.6,0.4,10.0,0.05
B1,2,8.0,60182.36561914012,233173.53594735762,0.46573189625877126,0.6,0.4,10.0,0.05
B1,3,0.25,79833.91144218888,60791.79668070793,0.46947162111396007,0.6,0.4,10.0,0.05
B1,3,0.5,79815.04064163,60833.19218911036,0.4694093840974444,0.6,0.4,10.0,0.05
B1,3,1.0,79806.29419957231,60901.1751011359,0.46926486833439945,0.6,0.4,10.0,0.05
B1,3,2.0,79814.3383002725,60924.3101216101,0.46913665762004025,0.6,0.4,10.0,0.05
B1,3,4.0,79819.5672736489,60919.951556249565,0.4690484591681638,0.6,0.4,10.0,0.05
B1,3,8.0,79816.78310653748,60914.431870213826,0.468989095608692,0.6,0.4,10.0,0.05
B1,4,0.25,79831.35345267395,74698.4947118981,0.47810063038989736,0.6,0.4,1.0,0.05
B1,4,0.5,79817.93887109502,74679.13270680478,0.4780871698700769,0.6,0.4,1.0,0.05
B1,4,1.0,79807.01477786191,74648.11494674491,0.4780933397188057,0.6,0.4,1.0,0.05
B1,4,2.0,79842.01924340107,74624.33642994543,0.4780730655960154,0.6,0.4,10.0,0.05
B1,4,4.0,79841.58553819412,74613.40090654125,0.4780358903758585,0.6,0.4,10.0,0.05
B1,4,8.0,79841.71791780762,74608.92012286694,0.4780144746071921,0.6,0.4,10.0,0.05
B2,0,0.25,158019.5908957645,202141.93634337714,0.453449027150881,0.6,0.4,1.0,0.05
B2,0,0.5,158489.9209260949,202372.390899929,0.453898764296236,0.6,0.4,1.0,0.05
B2,0,1.0,157651.95972264317,200553.1833815521,0.452948484292365,0.6,0.4,1.0,0.05
B2,0,2.0,158485.08778074212,200532.5845005946,0.45398342449799883,0.6,0.4,1.0,0.05
B2,0,4.0,159252.50023314296,198584.82310556417,0.4546529156928163,0.6,0.4,1.0,0.05
B2,0,8.0,159707.16816655998,200089.00912102684,0.4550335051535695,0.6,0.4,10.0,0.05
B2,1,0.25,140692.2049704175,342929.9129824924,0.45124161361438586,0.6,0.4,1.0,0.05
B2,1,0.5,140994.68794947743,343246.2926440741,0.4519129380051512,0.6,0.4,1.0,0.05
B2,1,1.0,140768.97380127097,339626.6906654812,0.45167683354337773,0.6,0.4,1.0,0.05
B2,1,2.0,141520.43898893974,344800.0798927715,0.45172027434671624,0.6,0.4,10.0,0.05
B2,1,4.0,141628.23742928615,344868.9286682832,0.4522027301342837,0.6,0.4,10.0,0.05
B2,1,8.0,141700.29152424107,345667.8248872491,0.4524778460318359,0.6,0.4,10.0,0.05
B2,2,0.25,153095.24741426235,167688.00620271653,0.46146403408988285,0.6,0.4,10.0,0.05
B2,2,0.5,153065.28815185165,167021.4555343785,0.46174853966892127,0.6,0.4,1.0,0.05
B2,2,1.0,152721.3075020807,164816.8121696458,0.461382760808895,0.6,0.4,1.0,0.05
B2,2,2.0,153438.0047973788,166001.28969481713,0.4614360101417248,0.6,0.4,1.0,0.05
B2,2,4.0,153949.62991450212,167624.3169825611,0.4620590288970369,0.6,0.4,10.0,0.05
B2,2,8.0,154092.71220652232,168057.59758838176,0.4624349987047319,0.6,0.4,10.0,0.05
B2,3,0.25,174293.798404678,94261.41948861389,0.45530862831849556,0.6,0.4,1.0,0.05
B2,3,0.5,174947.91570526556,94021.45860322498,0.4561891571720896,0.6,0.4,1.0,0.05
B2,3,1.0,174591.41396152627,92799.2574126846,0.4559421537035404,0.6,0.4,1.0,0.05
B2,3,2.0,175495.81165592335,94329.31729027808,0.4560941563785963,0.6,0.4,1.0,0.05
B2,3,4.0,176067.60137655606,93921.15811544684,0.45672711327090393,0.6,0.4,10.0,0.05
B2,3,8.0,176213.57061926599,94638.86747695216,0.45705054030230235,0.6,0.4,10.0,0.05
B2,4,0.25,157007.35097982988,212726.9551291382,0.45397294331618543,0.6,0.4,10.0,0.05
B2,4,0.5,157367.60965140094,210653.03933280733,0.4550441772318522,0.6,0.4,1.0,0.05
B2,4,1.0,157100.24739140124,211677.08203487739,0.45440983748494085,0.6,0.4,10.0,0.05
B2,4,2.0,158014.42344232637,210494.06959739537,0.45463579515694125,0.6,0.4,10.0,0.05
B2,4,4.0,158335.36620127826,210296.25343202488,0.455489930174957,0.6,0.4,10.0,0.05
B2,4,8.0,158503.5765051632,210171.1034036735,0.455939275848655,0.6,0.4,10.0,0.05
