dataset,trial_id,block,model,stage,n_samples,MSE,gap_s,identity
A1,98,4,N2,encoding,205,64858.79539012863,0.05,frozen_V2_new_scoring_window
A1,98,4,N2,maintenance,362,622886.2596991387,0.05,frozen_V2_new_scoring_window
A1,98,4,N2,retrieval,288,1067886.488745455,0.05,frozen_V2_new_scoring_window
A1,99,4,N2,encoding,205,2098.2853054449743,0.05,frozen_V2_new_scoring_window
A1,99,4,N2,maintenance,363,11481.62018429253,0.05,frozen_V2_new_scoring_window
A1,99,4,N2,retrieval,331,27363.299230220236,0.05,frozen_V2_new_scoring_window
A1,2,0,N3,encoding,205,61864.926715190864,0.05,frozen_V2_new_scoring_window
A1,2,0,N3,maintenance,362,307406.7541121282,0.05,frozen_V2_new_scoring_window
A1,2,0,N3,retrieval,290,425524.96501773514,0.05,frozen_V2_new_scoring_window
A1,5,0,N3,encoding,205,20424.34437389655,0.05,frozen_V2_new_scoring_window
A1,5,0,N3,maintenance,363,34294.26120132384,0.05,frozen_V2_new_scoring_window
A1,5,0,N3,retrieval,297,24591.68997389891,0.05,frozen_V2_new_scoring_window
A1,6,0,N3,encoding,205,39742.915399627636,0.05,frozen_V2_new_scoring_window
A1,6,0,N3,maintenance,362,33611.99424124066,0.05,frozen_V2_new_scoring_window
A1,6,0,N3,retrieval,291,145679.37413928125,0.05,frozen_V2_new_scoring_window
A1,7,0,N3,encoding,205,3781.2389152226433,0.05,frozen_V2_new_scoring_window
A1,7,0,N3,maintenance,363,18727.151102363125,0.05,frozen_V2_new_scoring_window
A1,7,0,N3,retrieval,358,4674.829024626366,0.05,frozen_V2_new_scoring_window
A1,8,0,N3,encoding,205,288.22244801030826,0.05,frozen_V2_new_scoring_window
A1,8,0,N3,maintenance,362,23040.975710202423,0.05,frozen_V2_new_scoring_window
A1,8,0,N3,retrieval,253,265709.52464161627,0.05,frozen_V2_new_scoring_window
A1,9,0,N3,encoding,205,852.3725230400074,0.05,frozen_V2_new_scoring_window
A1,9,0,N3,maintenance,362,2228.1003530183693,0.05,frozen_V2_new_scoring_window
A1,9,0,N3,retrieval,288,48479.99661436206,0.05,frozen_V2_new_scoring_window
A1,10,0,N3,encoding,205,357.31917688949034,0.05,frozen_V2_new_scoring_window
A1,10,0,N3,maintenance,362,3509.892112633024,0.05,frozen_V2_new_scoring_window
A1,10,0,N3,retrieval,384,21604.872097614774,0.05,frozen_V2_new_scoring_window
A1,11,0,N3,encoding,205,54095.52327191595,0.05,frozen_V2_new_scoring_window
A1,11,0,N3,maintenance,362,73286.00438480813,0.05,frozen_V2_new_scoring_window
A1,11,0,N3,retrieval,289,28361.67951402938,0.05,frozen_V2_new_scoring_window
A1,12,0,N3,encoding,205,2198.2883667197693,0.05,frozen_V2_new_scoring_window
A1,12,0,N3,maintenance,363,20021.674857495007,0.05,frozen_V2_new_scoring_window
