dataset,trial_id,block,model,stage,n_samples,MSE,identity
A1,57,2,N3,maintenance,362,15275.194737249718,new_nested_refit
A1,57,2,N3,retrieval,285,16589.667257942132,new_nested_refit
A1,64,3,N3,encoding,205,12047.7842398436,new_nested_refit
A1,64,3,N3,maintenance,362,54771.42083891508,new_nested_refit
A1,64,3,N3,retrieval,222,243363.64029499804,new_nested_refit
A1,65,3,N3,encoding,205,400.48207499162856,new_nested_refit
A1,65,3,N3,maintenance,363,5358.987128747612,new_nested_refit
A1,65,3,N3,retrieval,297,21259.252843222734,new_nested_refit
A1,66,3,N3,encoding,205,18447.713872147142,new_nested_refit
A1,66,3,N3,maintenance,362,63414.62533448486,new_nested_refit
A1,66,3,N3,retrieval,250,8246.18488098505,new_nested_refit
A1,67,3,N3,encoding,205,2415.7423080992285,new_nested_refit
A1,67,3,N3,maintenance,363,31588.983926826888,new_nested_refit
A1,67,3,N3,retrieval,280,51582.42005954971,new_nested_refit
A1,68,3,N3,encoding,205,1112.318466080324,new_nested_refit
A1,68,3,N3,maintenance,362,3604.5439594438444,new_nested_refit
A1,68,3,N3,retrieval,239,579.0826460417728,new_nested_refit
A1,69,3,N3,encoding,205,633.0053776932954,new_nested_refit
A1,69,3,N3,maintenance,363,748.9314803325219,new_nested_refit
A1,69,3,N3,retrieval,273,624.3077618838511,new_nested_refit
A1,70,3,N3,encoding,205,6448.304402888333,new_nested_refit
A1,70,3,N3,maintenance,362,11825.799041204953,new_nested_refit
A1,70,3,N3,retrieval,255,3895.2251794971007,new_nested_refit
A1,71,3,N3,encoding,205,1355.3116964263377,new_nested_refit
A1,71,3,N3,maintenance,362,2220.1193222900324,new_nested_refit
A1,71,3,N3,retrieval,252,4524.564363706551,new_nested_refit
A1,72,3,N3,encoding,205,228.95769069317706,new_nested_refit
A1,72,3,N3,maintenance,362,1683.9438007227914,new_nested_refit
A1,72,3,N3,retrieval,197,5930.744934075059,new_nested_refit
A1,73,3,N3,encoding,205,60406.52558984961,new_nested_refit
A1,73,3,N3,maintenance,362,191413.93516947053,new_nested_refit
A1,73,3,N3,retrieval,289,95371.22640348096,new_nested_refit
A1,74,3,N3,encoding,205,39275.709843876386,new_nested_refit
A1,74,3,N3,maintenance,362,50393.074407548396,new_nested_refit
A1,74,3,N3,retrieval,236,3565.4513421034058,new_nested_refit
A1,75,3,N3,encoding,205,56109.216308329815,new_nested_refit
A1,75,3,N3,maintenance,362,299748.0103193528,new_nested_refit
A1,75,3,N3,retrieval,251,31597.20827428389,new_nested_refit
A1,76,3,N3,encoding,205,2222.9197162838836,new_nested_refit
A1,76,3,N3,maintenance,363,7630.482669843467,new_nested_refit
A1,76,3,N3,retrieval,225,32854.01161704483,new_nested_refit
A1,84,4,N3,encoding,205,54109.927095361025,new_nested_refit
A1,84,4,N3,maintenance,362,41782.93415223925,new_nested_refit
A1,84,4,N3,retrieval,240,17623.435789261424,new_nested_refit
A1,85,4,N3,encoding,205,38895.991605395655,new_nested_refit
A1,85,4,N3,maintenance,362,48456.01211610934,new_nested_refit
A1,85,4,N3,retrieval,240,4478.806656019546,new_nested_refit
A1,86,4,N3,encoding,205,1712.370199000077,new_nested_refit
A1,86,4,N3,maintenance,362,17858.917722346283,new_nested_refit
A1,86,4,N3,retrieval,244,20965.01265769195,new_nested_refit
A1,87,4,N3,encoding,205,3890.482840473101,new_nested_refit
A1,87,4,N3,maintenance,363,19871.387144917033,new_nested_refit
A1,87,4,N3,retrieval,299,17183.762314192423,new_nested_refit
A1,89,4,N3,encoding,205,828.1177510242507,new_nested_refit
A1,89,4,N3,maintenance,363,20672.14605194669,new_nested_refit
A1,89,4,N3,retrieval,252,93571.54326998969,new_nested_refit
A1,90,4,N3,encoding,205,1014.0788367649495,new_nested_refit
A1,90,4,N3,maintenance,362,2737.605389922409,new_nested_refit
A1,90,4,N3,retrieval,234,1794.8961241704098,new_nested_refit
A1,91,4,N3,encoding,205,7342.037929109305,new_nested_refit
A1,91,4,N3,maintenance,363,88889.1707140291,new_nested_refit
A1,91,4,N3,retrieval,327,290890.90821048775,new_nested_refit
A1,92,4,N3,encoding,205,41668.30576352451,new_nested_refit
A1,92,4,N3,maintenance,362,173230.24850144045,new_nested_refit
A1,92,4,N3,retrieval,227,185980.87282743174,new_nested_refit
A1,93,4,N3,encoding,205,1406.2214721013302,new_nested_refit
A1,93,4,N3,maintenance,363,1342.2991602323605,new_nested_refit
A1,93,4,N3,retrieval,308,2192.697224716038,new_nested_refit
A1,94,4,N3,encoding,205,282.46338635003934,new_nested_refit
A1,94,4,N3,maintenance,362,826.1059777374193,new_nested_refit
A1,94,4,N3,retrieval,296,445.0583924931731,new_nested_refit
A1,95,4,N3,encoding,205,2885.233190071489,new_nested_refit
A1,95,4,N3,maintenance,363,8429.310844002883,new_nested_refit
A1,95,4,N3,retrieval,297,1100.6384374501743,new_nested_refit
