dataset,trial_id,block,setting,horizon_s,model,stage,channel,n_samples,MSE
A1,34,1,stimulus,1.5,N0,retrieval,0,377,262.22446625044745
A1,34,1,stimulus,1.5,N0,retrieval,1,377,1539.8021956576774
A1,34,1,stimulus,1.5,N0,retrieval,2,377,5006.844414774089
A1,35,1,stimulus,1.5,N0,encoding,0,205,176.85544242019233
A1,35,1,stimulus,1.5,N0,encoding,1,205,278.93475899300137
A1,35,1,stimulus,1.5,N0,encoding,2,205,276.79135376659013
A1,35,1,stimulus,1.5,N0,maintenance,0,362,309.22313148838373
A1,35,1,stimulus,1.5,N0,maintenance,1,362,355.75963565106053
A1,35,1,stimulus,1.5,N0,maintenance,2,362,171.6355237391098
A1,35,1,stimulus,1.5,N0,retrieval,0,243,239.02634312769314
A1,35,1,stimulus,1.5,N0,retrieval,1,243,1622.142434583696
A1,35,1,stimulus,1.5,N0,retrieval,2,243,2695.5886084661347
A1,37,1,stimulus,1.5,N0,encoding,0,205,993.6895969140041
A1,37,1,stimulus,1.5,N0,encoding,1,205,454.999634635256
A1,37,1,stimulus,1.5,N0,encoding,2,205,871.2350405397584
A1,37,1,stimulus,1.5,N0,maintenance,0,363,1562.7652928336329
A1,37,1,stimulus,1.5,N0,maintenance,1,363,1224.980781994163
A1,37,1,stimulus,1.5,N0,maintenance,2,363,7356.310615104207
A1,37,1,stimulus,1.5,N0,retrieval,0,266,1342.442118705187
A1,37,1,stimulus,1.5,N0,retrieval,1,266,6249.9754444806
A1,37,1,stimulus,1.5,N0,retrieval,2,266,11492.039912934262
A1,44,2,stimulus,1.5,N0,encoding,0,205,183.1586427012636
A1,44,2,stimulus,1.5,N0,encoding,1,205,579.702802676735
A1,44,2,stimulus,1.5,N0,encoding,2,205,853.6540495492901
A1,44,2,stimulus,1.5,N0,maintenance,0,362,783.2084362360155
A1,44,2,stimulus,1.5,N0,maintenance,1,362,991.0635873602699
A1,44,2,stimulus,1.5,N0,maintenance,2,362,1319.9404544831953
A1,44,2,stimulus,1.5,N0,retrieval,0,242,61.19629173920033
A1,44,2,stimulus,1.5,N0,retrieval,1,242,1090.399333907976
A1,44,2,stimulus,1.5,N0,retrieval,2,242,1221.3594601709478
A1,45,2,stimulus,1.5,N0,encoding,0,205,210.7547025838233
A1,45,2,stimulus,1.5,N0,encoding,1,205,11763.442409404692
A1,45,2,stimulus,1.5,N0,encoding,2,205,10924.603381439789
A1,45,2,stimulus,1.5,N0,maintenance,0,363,829.7204391829887
A1,45,2,stimulus,1.5,N0,maintenance,1,363,10973.732596462127
A1,45,2,stimulus,1.5,N0,maintenance,2,363,20822.235241268783
A1,45,2,stimulus,1.5,N0,retrieval,0,223,130.15411739820792
A1,45,2,stimulus,1.5,N0,retrieval,1,223,64825.86325971685
A1,45,2,stimulus,1.5,N0,retrieval,2,223,2038.6219523695775
A1,47,2,stimulus,1.5,N0,encoding,0,205,99.78666802528929
A1,47,2,stimulus,1.5,N0,encoding,1,205,529.9581786910962
A1,47,2,stimulus,1.5,N0,encoding,2,205,484.1052107116131
A1,47,2,stimulus,1.5,N0,maintenance,0,362,109.28330669796307
A1,47,2,stimulus,1.5,N0,maintenance,1,362,3204.7336243187383
A1,47,2,stimulus,1.5,N0,maintenance,2,362,3789.8627554498958
A1,47,2,stimulus,1.5,N0,retrieval,0,313,179.016790079093
A1,47,2,stimulus,1.5,N0,retrieval,1,313,19461.033299357317
A1,47,2,stimulus,1.5,N0,retrieval,2,313,36722.83817470269
A1,48,2,stimulus,1.5,N0,encoding,0,205,379.6739343325111
A1,48,2,stimulus,1.5,N0,encoding,1,205,358.1281835839299
A1,48,2,stimulus,1.5,N0,encoding,2,205,267.7193477804488
A1,48,2,stimulus,1.5,N0,maintenance,0,362,491.52267527677793
A1,48,2,stimulus,1.5,N0,maintenance,1,362,1977.5173339350933
A1,48,2,stimulus,1.5,N0,maintenance,2,362,2427.830655118296
A1,48,2,stimulus,1.5,N0,retrieval,0,298,104.56888240777765
A1,48,2,stimulus,1.5,N0,retrieval,1,298,2926.9362159112034
A1,48,2,stimulus,1.5,N0,retrieval,2,298,4454.003182781081
A1,49,2,stimulus,1.5,N0,encoding,0,205,88.3861049570987
A1,49,2,stimulus,1.5,N0,encoding,1,205,7496.8284009827
A1,49,2,stimulus,1.5,N0,encoding,2,205,7395.242836407551
A1,49,2,stimulus,1.5,N0,maintenance,0,363,162.15260612032174
A1,49,2,stimulus,1.5,N0,maintenance,1,363,6794.814633802932
A1,49,2,stimulus,1.5,N0,maintenance,2,363,2164.3712270943283
A1,49,2,stimulus,1.5,N0,retrieval,0,255,209.1226695679229
A1,49,2,stimulus,1.5,N0,retrieval,1,255,4057.673803858633
A1,49,2,stimulus,1.5,N0,retrieval,2,255,26856.964434577912
A1,50,2,stimulus,1.5,N0,encoding,0,205,138.4128439986006
