dataset,setting,held_block,requested_model,model,tau_m,tau_p,target_duration,direction_penalty,delay,lambda_ridge,edf,last_IRLS_change
B2,past,2,N3,N3,1.0,0.1,0.4,10.0,0.05,0.1,11.648908442129345,3.2207595757061114e-07
B2,past,3,B0,B0,1.0,0.3,0.2,1.0,0.05,0.1,6.679501848905403,7.261975742411941e-07
B2,past,3,N0,N0,1.0,0.3,0.1,1.0,0.05,0.1,9.405170701248021,1.14327659973823e-06
B2,past,3,N1,N1,1.0,0.6,0.4,1.0,0.05,0.1,11.970587932031062,8.217402130694662e-07
B2,past,3,N2,N2,2.0,0.1,0.1,10.0,0.05,0.1,11.57559319643926,2.001015663957717e-06
B2,past,3,N3,N3,1.0,0.3,0.1,10.0,0.05,0.1,11.891840686146216,4.4138564999768315e-06
B2,past,4,B0,B0,1.0,0.3,0.2,1.0,0.05,0.1,6.750034346876057,8.323756446514119e-06
B2,past,4,N0,N0,1.0,0.3,0.1,10.0,0.05,0.1,9.064216460402564,7.912191562202409e-06
B2,past,4,N1,N1,1.0,0.6,0.1,10.0,0.05,0.1,11.202680476609057,1.4460457268626603e-05
B2,past,4,N2,N2,1.0,0.1,0.1,10.0,0.05,0.1,11.526837403373193,1.5550104721734348e-05
B2,past,4,N3,N3,1.0,0.1,0.1,10.0,0.05,0.1,12.236371810781797,2.206631626963662e-06
B2,stimulus,0,N0,N0,1.0,0.3,0.4,1.0,0.05,1.0,1.4997987406098514,7.149481551817216e-07
B2,stimulus,0,N1,N1,1.0,0.6,0.4,1.0,0.05,0.1,5.325501858342151,7.467156930562879e-07
B2,stimulus,0,N2,N2,1.0,0.6,0.4,1.0,0.05,0.001,7.865715588007548,1.6082750869950146e-06
B2,stimulus,0,N3,N3,1.0,0.3,0.2,10.0,0.05,0.1,5.281177405736871,8.597168497659347e-07
B2,stimulus,0,N2_no_projection,N2_no_projection,0.5,0.6,0.4,1.0,0.05,0.1,5.325543029291484,7.483157493659576e-07
