dataset,branch,fold,model,target,contrast_RMSE,S_delta,delta_energy,weighted_MSE
A2,baseline,1,mechanism,branch_output,32.59683987516446,0.6114301324762317,1476643.4344843868,709.2024051392054
A2,baseline,1,training_template,branch_output,30.13751304973934,0.6678510040605752,1476643.4344843868,518.9845661341748
A2,denoised,1,mechanism,common_baseline,33.27379108449846,0.5951233862346882,1476643.4344843868,774.9245206548838
A2,denoised,1,training_template,common_baseline,31.014333814263395,0.6482427680787042,1476643.4344843868,579.4181538126577
A2,denoised,1,mechanism,branch_output,28.074264865213625,0.6443082255331172,1196566.1798276915,632.9256535746715
A2,denoised,1,training_template,branch_output,26.525493308907777,0.6824705763400357,1196566.1798276915,465.8174492166504
A2,baseline,2,mechanism,common_baseline,131.4416576223276,-1.468563420589112,3779336.182242524,5418.58473979763
A2,baseline,2,training_template,common_baseline,139.62225236371205,-1.7853996321429029,3779336.182242524,5718.855504482842
A2,baseline,2,mechanism,branch_output,131.4416576223276,-1.468563420589112,3779336.182242524,5418.58473979763
A2,baseline,2,training_template,branch_output,139.62225236371205,-1.7853996321429029,3779336.182242524,5718.855504482842
A2,denoised,2,mechanism,common_baseline,124.46505214250192,-1.2134671718056942,3779336.182242524,5334.205266841482
A2,denoised,2,training_template,common_baseline,131.6696786864369,-1.4771356298225138,3779336.182242524,5535.766582507483
A2,denoised,2,mechanism,branch_output,114.3258963949228,-1.401760828113297,2938686.3313345998,4016.240197615374
A2,denoised,2,training_template,branch_output,121.52932259082031,-1.713955242390615,2938686.3313345998,4254.704307563932
A2,baseline,3,mechanism,common_baseline,27.359270730484706,0.5100386192568911,824975.2962878224,1031.5609949758764
A2,baseline,3,training_template,common_baseline,25.686709785854273,0.5681133558792623,824975.2962878224,896.8734120207461
A2,baseline,3,mechanism,branch_output,27.359270730484706,0.5100386192568911,824975.2962878224,1031.5609949758764
A2,baseline,3,training_template,branch_output,25.686709785854273,0.5681133558792623,824975.2962878224,896.8734120207461
