dataset,branch,fold,model,target,cue,channel,RMSE,R2,positive_peak_latency_ms,positive_peak_amplitude
A1,denoised,2,mechanism,branch_output,-1,F3,74.8160434342698,-65.92251038647714,,
A1,denoised,2,mechanism,branch_output,-1,F4,138.62987920151366,-29.214652226770806,,
A1,denoised,2,mechanism,branch_output,1,Fz,39.26846693068318,-8.520512612169387,359.375,5.687163968599856
A1,denoised,2,mechanism,branch_output,1,F3,317.8977232500209,-19.14792583608114,,
A1,denoised,2,mechanism,branch_output,1,F4,284.47332282668424,-19.44004888363749,,
A1,denoised,2,training_template,branch_output,-1,Fz,10.429020188847838,-2.556103809050236,324.21875,14.998093023213325
A1,denoised,2,training_template,branch_output,-1,F3,97.40279741564035,-112.4293933289771,,
A1,denoised,2,training_template,branch_output,-1,F4,159.52101108525414,-39.0073418860922,,
A1,denoised,2,training_template,branch_output,1,Fz,39.025236060599454,-8.40293680545847,355.46875,10.938623848320647
A1,denoised,2,training_template,branch_output,1,F3,316.3771673373738,-18.955645256814503,,
A1,denoised,2,training_template,branch_output,1,F4,286.36141397589626,-19.71227650501262,,
A1,baseline,3,mechanism,common_baseline,-1,Fz,7.928056918206932,-0.19294680631003414,375.0,2.686877028883911
A1,baseline,3,mechanism,common_baseline,-1,F3,11.699191781875387,-1.8524429917476257,,
A1,baseline,3,mechanism,common_baseline,-1,F4,27.21392723559657,-6.341412705458461,,
A1,baseline,3,mechanism,common_baseline,1,Fz,11.173132891953308,-2.6356789988799116,,
A1,baseline,3,mechanism,common_baseline,1,F3,72.69710316746671,-7.934432002545126,398.4375,19.02731436417602
A1,baseline,3,mechanism,common_baseline,1,F4,91.27437561748145,-4.8783486814583705,402.34375,17.18537842305848
A1,baseline,3,training_template,common_baseline,-1,Fz,7.218216207515139,0.01111148572195797,328.125,12.143195763629324
A1,baseline,3,training_template,common_baseline,-1,F3,33.8726933663076,-22.91138401245871,,
A1,baseline,3,training_template,common_baseline,-1,F4,9.949659478479562,0.018673254073771517,,
A1,baseline,3,training_template,common_baseline,1,Fz,15.661447681178371,-6.143308574885066,355.46875,3.534621032418237
A1,baseline,3,training_template,common_baseline,1,F3,108.77634622145706,-19.00330102931629,476.5625,53.38189080407902
A1,baseline,3,training_template,common_baseline,1,F4,116.33576684213402,-8.549576574412798,359.375,43.23439800550299
A1,baseline,3,mechanism,branch_output,-1,Fz,7.928056918206932,-0.19294680631003414,375.0,2.686877028883911
