dataset,branch,fold,feature,spatial_mode,window,train_effect,test_effect,same_sign
B2,baseline,1,9,lateral,500_750,-0.24541424868009085,0.21897812325757354,False
B2,denoised,1,1,common,50_250,0.3054622152993172,0.23775275831618317,True
B2,denoised,1,2,common,250_500,0.31004354111978394,0.4888194009334335,True
B2,denoised,1,3,common,500_750,0.2929363205352114,0.7558325076810024,True
B2,denoised,1,4,midline,50_250,-0.3169392758663953,-0.5419934894395153,True
B2,denoised,1,5,midline,250_500,-0.28375439691930304,-0.8404125456631929,True
B2,denoised,1,6,midline,500_750,-0.2614014951054276,-1.064556172658934,True
B2,denoised,1,7,lateral,50_250,-0.009961527911748667,0.5636376788254276,False
B2,denoised,1,8,lateral,250_500,-0.17668667882108996,0.5431008184872607,False
B2,denoised,1,9,lateral,500_750,-0.22223892706372406,0.18320636287039513,False
B2,baseline,2,1,common,50_250,0.24425781252475734,0.4025468977292941,True
B2,baseline,2,2,common,250_500,0.29958080842815954,0.3837350793480886,True
B2,baseline,2,3,common,500_750,0.34579325827730134,0.3311271621040079,True
B2,baseline,2,4,midline,50_250,-0.4209327807772548,-0.12194273647751636,True
B2,baseline,2,5,midline,250_500,-0.48894557009876066,-0.03152411485910458,True
B2,baseline,2,6,midline,500_750,-0.5679718704687354,0.14191820695270646,False
B2,baseline,2,7,lateral,50_250,0.2666631065107257,-0.5898668496214491,False
B2,baseline,2,8,lateral,250_500,0.15878332310567195,-0.7157198505063893,False
B2,baseline,2,9,lateral,500_750,0.04209083837584326,-0.7116732892534301,False
B2,denoised,2,1,common,50_250,0.2390004737025421,0.3804767631934213,True
B2,denoised,2,2,common,250_500,0.2932082691670811,0.3790957009836972,True
B2,denoised,2,3,common,500_750,0.3627632445581104,0.3231366211374564,True
B2,denoised,2,4,midline,50_250,-0.4219287193922072,-0.1163036606402493,True
B2,denoised,2,5,midline,250_500,-0.4923817535628409,-0.03726680214400751,True
B2,denoised,2,6,midline,500_750,-0.5886253290232051,0.15355795115377016,False
B2,denoised,2,7,lateral,50_250,0.28574102139524854,-0.5485888525538624,False
B2,denoised,2,8,lateral,250_500,0.17394629313863427,-0.6891116911323935,False
B2,denoised,2,9,lateral,500_750,0.04399337784383546,-0.7028099111427485,False
B2,baseline,3,1,common,50_250,0.31840261037073664,0.27329289206233115,True
B2,baseline,3,2,common,250_500,0.33274703213081874,0.502258930606256,True
B2,baseline,3,3,common,500_750,0.30275497382529915,0.79766754063649,True
B2,baseline,3,4,midline,50_250,-0.3323815201304706,-0.6894242050300565,True
B2,baseline,3,5,midline,250_500,-0.32658722203352525,-0.9084289314893836,True
B2,baseline,3,6,midline,500_750,-0.3209779595618897,-1.0389494416395466,True
B2,baseline,3,7,lateral,50_250,-0.09642005516976447,1.3310522291059173,False
B2,baseline,3,8,lateral,250_500,-0.23019962159393256,1.1505838953203396,False
B2,baseline,3,9,lateral,500_750,-0.3128941703612525,0.8823291223485202,False
B2,denoised,3,1,common,50_250,0.30856984818618477,0.28132895291981286,True
B2,denoised,3,2,common,250_500,0.32258224837625304,0.5053983145380402,True
B2,denoised,3,3,common,500_750,0.31043016817732205,0.8527778164689518,True
B2,denoised,3,4,midline,50_250,-0.32479156112686236,-0.7165484738316232,True
B2,denoised,3,5,midline,250_500,-0.3200438260364611,-0.9398839075281487,True
B2,denoised,3,6,midline,500_750,-0.32242251440957387,-1.1141927018888693,True
B2,denoised,3,7,lateral,50_250,-0.07957276335354245,1.3286457885473906,False
B2,denoised,3,8,lateral,250_500,-0.21374412419324929,1.1431775252166523,False
B2,denoised,3,9,lateral,500_750,-0.30104765821165597,0.8589672125411985,False
B2,baseline,4,1,common,50_250,0.24644592868068693,0.29979211520028387,True
B2,baseline,4,2,common,250_500,0.33096909558503096,0.2573382931026536,True
B2,baseline,4,3,common,500_750,0.41341284759088864,0.15101541468021482,True
B2,baseline,4,4,midline,50_250,-0.3969756506432469,-0.25996884292382355,True
B2,baseline,4,5,midline,250_500,-0.45929258507000914,-0.16076689854575574,True
B2,baseline,4,6,midline,500_750,-0.4898894585201754,-0.17731890096512304,True
B2,baseline,4,7,lateral,50_250,0.3135253661362402,-0.5662344473943105,False
B2,baseline,4,8,lateral,250_500,0.2350202920283688,-1.033855572925502,False
B2,baseline,4,9,lateral,500_750,0.05719092423143392,-0.871791347992739,False
B2,denoised,4,1,common,50_250,0.2370425592864879,0.28487835891775204,True
B2,denoised,4,2,common,250_500,0.3228248122952124,0.252516470536886,True
B2,denoised,4,3,common,500_750,0.43080777155178057,0.14629830657661583,True
B2,denoised,4,4,midline,50_250,-0.40184417611517337,-0.24217723236051,True
