fold,split,contrast_RMSE,S_delta,delta_energy,weighted_MSE,dataset,stage,variant,negative_R2,mean_R2,weighted_contrast_MSE
0,test,53.40328712502434,0.0181706181469502,1568533.1987138507,3416.8572555441756,B1,independent,affine_only,6,-24.35277891975448,2722.374972547776
0,oracle_not_prediction,17.487146229426337,0.8947219267720653,1568533.1987138507,221.6219362555854,B1,independent,test_oracle_same_span,2,-0.3300627101104095,344.21646380741475
0,oracle_not_prediction,5.546807315022952,0.9894077992329273,1568533.1987138507,26.384167943033077,B1,independent,test_oracle_span_plus_affine,0,0.6905312605619564,31.181744703233637
1,train,36.07889418304239,0.38976530271954113,1151869.5513168755,580.0576763461812,B1,independent,original,4,-2.274117803839261,1256.814313804856
1,test,109.21575751606825,-0.15890754667654572,5557962.00565635,4575.307468176545,B1,independent,original,6,-6.667520241380115,11153.103601729696
1,train,16.64227739638907,0.870157767278656,1151869.5513168755,189.02368442163518,B1,independent,same_kernel_no_ridge,2,0.21180251633866073,303.1158973126441
1,test,135.33778594997727,-0.7795751023646271,5557962.00565635,6214.1221755702145,B1,independent,same_kernel_no_ridge,6,-10.152855841220637,17079.99559558619
1,train,20.333332338052415,0.8061759876468741,1151869.5513168755,372.7995829848053,B1,independent,same_kernel_equal_direction_penalty,2,-0.22717506344078556,427.78194035935036
1,test,125.96433671260667,-0.5416060091705355,5557962.00565635,5491.405362004548,B1,independent,same_kernel_equal_direction_penalty,6,-8.582623868454698,14817.495177041723
1,train,28.152236632964733,0.6284508516372583,1151869.5513168755,334.28069183068715,B1,independent,same_kernel_plus_affine,3,-1.4520867513630586,762.9730675885817
1,test,115.34957240554668,-0.29273695536686883,5557962.00565635,4830.77700983613,B1,independent,same_kernel_plus_affine,6,-6.8913774473034115,12456.565585434897
1,train,33.97733822467683,0.45878581804884566,1151869.5513168755,452.95568021160193,B1,independent,affine_only,4,-2.2557078597359936,1097.8131434599607
1,test,110.64760820426845,-0.18949397674677604,5557962.00565635,4544.6931498544345,B1,independent,affine_only,6,-6.328572152063518,11471.710417295728
1,oracle_not_prediction,29.063727707266576,0.917930683155707,5557962.00565635,927.7880261124587,B1,independent,test_oracle_same_span,4,-0.7687076170002337,867.7915297283774
1,oracle_not_prediction,9.896147055696705,0.9904849633225118,5557962.00565635,60.81793775241257,B1,independent,test_oracle_span_plus_affine,0,0.8681441444295909,94.21182792789381
2,train,13.778870864583334,0.3535979297951173,158605.51376490912,174.46499207344698,B1,independent,original,6,-0.545470658325875,181.79164806799852
2,test,184.02892688846418,-0.01895772457665479,17947740.482292067,13382.524549169473,B1,independent,original,5,-3.961529696421653,32156.053319276518
