dataset,fold,trial_id,cue,leave_one_out_ERP_change_RMS,condition_ERP_RMS,PTP
B1,0,9,-1,3.128313307906769,9.725257618822845,66.3618068560714
B1,0,10,-1,3.3100313529412237,9.725257618822845,107.59549434556523
B1,0,11,1,13.414078450046734,51.53662904525885,118.66680570270974
B1,0,12,-1,3.006163712614679,9.725257618822845,79.02970068134911
B1,0,13,1,8.837720564832427,51.53662904525885,161.2819567235528
B1,0,15,-1,2.9720106971079736,9.725257618822845,83.92171648980583
B1,0,16,1,9.996409771792058,51.53662904525885,90.27536488754649
B1,0,17,-1,8.765088967107486,9.725257618822845,274.43649789251606
B1,1,24,1,11.698311130990419,87.25672929588725,323.2081939541863
B1,1,25,1,79.50144872685615,87.25672929588725,1287.3042895875421
B1,1,26,1,13.800655128741688,87.25672929588725,87.08831298375063
B1,1,27,1,11.492676491216903,87.25672929588725,143.47262932600995
B1,1,28,1,17.775338576194212,87.25672929588725,295.4769533460674
B1,1,29,1,12.790740472367899,87.25672929588725,145.07849786852051
B1,1,30,-1,40.282485430774194,38.5459159287065,575.2865565033223
B1,1,31,1,11.797723135425423,87.25672929588725,156.93671827291172
B1,1,32,-1,31.705174298731176,38.5459159287065,435.9202727478564
B1,1,33,-1,13.807219290055139,38.5459159287065,246.2384686612657
B1,1,34,1,14.435987007062527,87.25672929588725,332.2509760718867
B1,1,35,-1,24.07615621971244,38.5459159287065,306.0176767252066
B1,1,37,-1,27.49032680857053,38.5459159287065,324.501354048514
B1,2,44,1,3.040178529071509,46.79500843384429,187.4030565876266
B1,2,45,1,6.208240705306235,46.79500843384429,60.62959063352031
B1,2,46,-1,45.737692439367045,166.1281743943828,865.4589134617172
B1,2,47,-1,88.77394490680996,166.1281743943828,1052.4380478825692
B1,2,48,1,24.78826233611966,46.79500843384429,637.6455676341001
B1,2,49,1,13.951389136124176,46.79500843384429,145.70574493273756
B1,2,50,-1,98.24278064503713,166.1281743943828,1017.3834731244223
B1,2,51,1,32.27738978956766,46.79500843384429,550.1116362309434
B1,2,52,-1,52.33740009206349,166.1281743943828,220.6889457061847
B1,2,53,1,6.420131178683653,46.79500843384429,67.50107624975207
B1,2,55,1,24.571882084488742,46.79500843384429,571.8786026902975
B1,2,56,-1,53.3931744227634,166.1281743943828,382.83807720747944
B1,2,57,1,7.800079529997658,46.79500843384429,144.42592722851228
B1,3,64,-1,12.607482193096338,34.02403789897116,268.7968797054182
B1,3,65,-1,14.046686089510539,34.02403789897116,361.1743080087873
B1,3,66,-1,33.97367834665402,34.02403789897116,660.7334096129659
B1,3,67,1,30.423643499026124,64.60802763585794,214.75467935911337
B1,3,68,1,8.822163833639157,64.60802763585794,213.2628289268693
B1,3,69,-1,13.030711021113639,34.02403789897116,269.14683909146294
B1,3,70,-1,11.77530087133524,34.02403789897116,226.02741785047942
B1,3,71,1,51.959420015952674,64.60802763585794,635.0027197351657
B1,3,72,1,43.044241667868285,64.60802763585794,447.48848856569606
B1,3,73,-1,6.469823525092864,34.02403789897116,134.96614444096878
B1,3,74,-1,7.056862752395443,34.02403789897116,84.52647688430024
B1,3,75,1,27.03071354601413,64.60802763585794,417.3368931243889
B1,3,76,-1,10.5435951132934,34.02403789897116,370.39688725747976
B1,3,77,-1,7.982463701003641,34.02403789897116,162.41439220522187
B1,4,84,-1,5.564996804656097,35.91274195517001,198.59327572412283
B1,4,85,1,16.067190976589206,27.12602165357428,263.270402956246
B1,4,86,-1,3.9484430692401142,35.91274195517001,150.87847547524524
B1,4,87,-1,5.916394069914586,35.91274195517001,67.52518214751605
B1,4,89,-1,15.229716593627607,35.91274195517001,475.257861790177
B1,4,90,-1,17.125897950043722,35.91274195517001,454.9447376651762
B1,4,91,1,3.4110623438097676,27.12602165357428,44.86227427703365
B1,4,93,-1,5.357292456073776,35.91274195517001,147.05259976333224
B1,4,94,1,9.661391726671344,27.12602165357428,112.36160597761727
B1,4,95,-1,3.257180311154604,35.91274195517001,117.95491761469756
B1,4,96,1,4.508149169552436,27.12602165357428,140.08318757010866
B1,4,97,-1,4.1591750772194,35.91274195517001,156.4975382363583
B1,4,98,1,7.04167069339027,27.12602165357428,127.49238384714762
