dataset,fold,trial_id,cue,coef_1,coef_2,coef_3,coef_4,coef_5,coef_6,coef_7,coef_8,coef_9,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9
B1,0,12,-1,-9.280256397810934,-5.575901687057741,-4.0391951554237,2.378177287706669,4.969068470409719,5.804608379454024,3.475380745793672,-0.758040947877132,-2.0601059214998036,-0.10597150037386002,-0.6798927690494444,-0.6654863549843294,0.105689359581736,0.2496152485404853,0.26679812616843984,0.26399487738695965,0.16420861774395204,0.13510333486437826
B1,0,13,1,-6.55848476631472,0.5392553744152782,7.128822741683487,8.195297798732925,6.656070548744049,5.314532568960214,-13.072890630896046,-16.77769767790913,-17.84077774516803,-0.011310181875109638,-0.5160613158151912,-0.44991879004934454,0.19305074674157116,0.2719211696088285,0.26113318024621096,-0.2334043856914171,-0.21599162876264155,-0.19379921803933345
B1,0,15,-1,1.4030894631264437,-4.010889383335882,-5.5607075961897054,0.9453384990480803,3.1969447397982673,4.067312931212453,9.389550978468145,0.6812920862794939,-1.766683408687188,0.2655878154305183,-0.6379644526594027,-0.6948549264619209,0.08417101834806799,0.2261838298326993,0.24671616220595372,0.441759904832431,0.19836882377168377,0.1412188801733395
B1,0,16,1,11.73122047573663,1.3327665327812557,-1.502876217012565,-7.0335612588342995,-0.24902635976836934,2.4705148028468225,-3.1027114988177456,4.201393439541072,6.306541232082105,0.6247930066258084,-0.49480232198627727,-0.6165297628218654,-0.03565592172247638,0.1806204245838932,0.22825825252705553,0.06627403026934268,0.28191264901041424,0.3094819442674602
B1,0,17,-1,5.070017406714774,24.32999335494278,33.64975253777519,22.63671307245386,-26.097529217332614,-47.72954614282185,-26.168172361137383,-12.964329571072128,-6.070054743585212,0.393121011075285,0.12131743630573871,0.061994094459556906,0.4099316018780786,-0.16115429631328282,-0.35202060323458495,-0.6270154967347711,-0.125487598703009,0.05152752647458388
B1,1,24,1,-33.203318673756044,22.11225919076567,43.72190897831017,54.17502908106108,-25.752777439834613,-59.50708418329544,-7.658675874010276,17.633417359564707,27.874579596052914,-0.8302216566173521,0.15269877208600854,0.31835455748095387,0.9070501811886525,-0.3359969517937465,-0.6581574308892881,-0.07447254833790175,0.6123878831135722,0.7854211756278345
B1,1,25,1,30.028650970650066,20.25495998016526,17.32159222952024,-300.5443937411674,-361.18760197961615,-375.36163088347934,7.340170073951004,6.579217756186117,6.0048118077055435,1.3828793745202153,0.107339562283713,-0.16462276096420625,-6.133448518638148,-5.7922067524537075,-4.907128412951925,0.4040478890647098,0.33703493495348946,0.30121932615585717
B1,1,26,1,-4.8384318074556445,-9.239767453864683,-10.48103105014683,-0.781499889385747,3.333340984178597,4.884559834292211,10.89525650109014,8.587374026594466,7.98994737846399,0.1625413511606804,-0.6129846170978077,-0.6732544022103313,-0.18373128119925466,0.13712018691119982,0.20805845796331926,0.5174687161084024,0.38705680621172983,0.34517069885063256
B1,1,27,1,-7.574377156898242,-5.154849329270659,-3.682356570371625,-4.548268180212467,-6.297254910291453,-6.931411568188915,-4.0564022000906625,-6.188539035938858,-6.54847555766832,0.06678403871195927,-0.5132222001532802,-0.5488768956649267,-0.25849439127401674,-0.019531859511520987,0.049106433563047926,0.04045373199516804,0.01899838773680842,0.023286564450637856
B1,1,28,1,25.646610295995647,-28.07847223116301,-44.90802984810904,-54.59187267142423,24.895945509213067,56.11912151706818,-52.69392625675076,-8.527939110529037,9.911961745091032,1.229509191840442,-1.0730659855278006,-1.3030748592818042,-1.2517637463935927,0.48785924418906146,0.8972812921543164,-1.5112689383037796,-0.03927455201248313,0.3877245531045579
